country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,1,0,0.103,0
Albania,1,0,0.347,0
Algeria,1,0,0.433,0
Andorra,0,0,12.942,0
Angola,1,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,1,0,0.066,0
Armenia,1,0,0,0
Australia,1,0,0.157,0
Austria,0,92.046,1.11,27.203
Azerbaijan,1,0,0,0
Bahamas,1,0,0,0
Bahrain,1,0,0,0
Bangladesh,1,0,0,0
Barbados,1,0,0,0
Belarus,1,0,0,0
Belgium,2,475.684,11.39,107.424
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,0
Bolivia,1,0,0.086,0
Bosnia and Herzegovina,1,0,0.305,0
Botswana,1,0,0,0
Brazil,1,0,0.165,0
Brunei,1,0,0,0
Bulgaria,1,0,0.576,0
Burkina Faso,1,0,0,0
Burundi,1,0,0,0
Cambodia,1,0,0,0
Cameroon,1,0,0.038,0
Canada,1,0,1.06,0
Cape Verde,1,0,0,0
Central African Republic,1,0,0,0
Chad,1,0,0,0
Chile,1,0,0.209,0
China,1,0,0.003,0
Colombia,1,0,0.118,0
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,1,0,0,0
Cote d'Ivoire,1,0,0,0
Croatia,1,0,0.244,0
Cuba,1,0,0,0
Cyprus,0,0,1.142,0
Czechia,1,35.111,0.84,8.217
Democratic Republic of Congo,1,0,0,0
Denmark,0,89.085,2.762,23.998
Djibouti,1,0,0,0
Dominica,1,0,0,0
Dominican Republic,1,0,0.737,0
Ecuador,1,0,1.417,0
Egypt,1,0,0.078,0
El Salvador,1,0,0,0
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,0,88.953,0.754,15.077
Eswatini,1,0,0,0
Ethiopia,1,0,0,0
Fiji,1,0,0,0
Finland,1,32.487,0.18,12.995
France,2,418.271,17.189,100.439
Gabon,1,0,0,0
Gambia,1,0,0,0
Georgia,1,0,0,0
Germany,0,0,2.005,0
Ghana,1,0,0,0
Greece,1,0,0.959,0
Grenada,1,0,0,0
Guatemala,1,0,0,0
Guinea,1,0,0,0
Guinea-Bissau,1,0,0,0
Guyana,1,0,0,0
Haiti,1,0,0,0
Honduras,1,0,0.101,0
Hungary,1,57.348,0.518,0
Iceland,0,120.147,0,32.234
India,1,0,0,0
Indonesia,1,0,0.04,0
International,1,0,0,0
Iran,1,0,1.595,0
Iraq,1,0,0,0
Ireland,0,142.574,4.455,27.745
Israel,0,0,0.578,0
Italy,2,542.64,12.669,67.282
Jamaica,1,0,0,0
Japan,1,0,0.047,0
Jordan,1,0,0,0
Kazakhstan,1,0,0.16,0
Kenya,1,0,0.019,0
Kosovo,1,0,0,0
Kuwait,1,0,0,0
Kyrgyzstan,1,0,0.153,0
Laos,1,0,0,0
Latvia,1,16.435,0.53,0
Lebanon,1,0,0.147,0
Lesotho,1,0,0,0
Liberia,1,0,0,0
Libya,1,0,0,0
Liechtenstein,1,0,0,0
Lithuania,1,0,0,0
Luxembourg,2,322.696,1.598,55.913
Madagascar,1,0,0,0
Malawi,1,0,0,0
Malaysia,1,0,0.093,0
Maldives,1,0,0,0
Mali,1,0,0,0
Malta,1,20.383,0,6.794
Marshall Islands,1,0,0,0
Mauritania,1,0,0,0
Mauritius,1,0,0,0
Mexico,1,0,0.078,0
Moldova,1,0,0.496,0
Monaco,0,0,0,0
Mongolia,1,0,0,0
Montenegro,0,0,0,0
Morocco,1,0,0.108,0
Mozambique,1,0,0,0
Myanmar,1,0,0,0
Namibia,1,0,0,0
Nepal,1,0,0,0
Netherlands,0,0,8.696,74.76
New Zealand,1,0,0,0
Nicaragua,1,0,0,0
Niger,1,0,0,0
Nigeria,1,0,0.01,0
North Macedonia,1,0,0.48,0
Norway,0,58.658,1.66,0
Oman,1,0,0,0
Pakistan,1,0,0.005,0
Palestine,1,0,0,0
Panama,1,0,1.159,0
Papua New Guinea,1,0,0,0
Paraguay,1,0,0,0
Peru,1,0,0.182,0
Philippines,1,0,0.265,0
Poland,1,0,0.37,0
Portugal,0,103.759,3.629,24.027
Qatar,0,0,0,0
Romania,1,0,0.936,4.314
Russia,1,0,0.027,0
Rwanda,1,0,0,0
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,1,0,0,0
Sao Tome and Principe,1,0,0,0
Saudi Arabia,1,0,0.115,0
Senegal,1,0,0,0
Serbia,0,0,1.176,0
Seychelles,1,0,0,0
Sierra Leone,1,0,0,0
Singapore,1,0,0.171,0
Slovakia,1,0,0,0
Slovenia,1,54.836,1.443,14.43
Solomon Islands,1,0,0,0
Somalia,1,0,0,0
South Africa,1,0,0.067,0
South Korea,1,0,0.098,0
South Sudan,1,0,0,0
Spain,0,0,18.18,0
Sri Lanka,1,0,0,0
Sudan,1,0,0,0
Suriname,1,0,1.705,0
Sweden,0,0,6.931,0
Switzerland,0,0,6.355,0
Syria,1,0,0,0
Taiwan,1,0,0,0
Tajikistan,1,0,0,0
Tanzania,1,0,0,0
Thailand,1,0,0.057,0
Timor,1,0,0,0
Togo,1,0,0.121,0
Trinidad and Tobago,1,0,0.715,0
Tunisia,1,0,0.338,0
Turkey,1,0,0.818,0
Uganda,1,0,0,0
Ukraine,1,0,0.114,0
United Arab Emirates,1,0,0.101,0
United Kingdom,2,217.291,10.856,31.229
United States,0,77.876,4.208,14.888
Uruguay,1,0,0,0
Uzbekistan,1,0,0,0
Vanuatu,1,0,0,0
Vatican,1,0,0,0
Venezuela,1,0,0.07,0
Vietnam,1,0,0,0
Yemen,1,0,0,0
Zambia,1,0,0,0
Zimbabwe,1,0,0,0
