Nation,Similarity Score
Afghanistan,47
Albania,84
Algeria,47
Andorra,54
Angola,47
Antigua and Barbuda,52
Argentina,77
Armenia,135
Australia,55
Austria,55
Azerbaijan,65
Bahamas,90
Bahrain,126
Bangladesh,47
Barbados,54
Belarus,92
Belgium,50
Belize,79
Benin,47
Bhutan,46
Bolivia,95
Bosnia and Herzegovina,115
Botswana,56
Brazil,126
Brunei,49
Bulgaria,54
Burkina Faso,47
Burundi,47
Cambodia,48
Cameroon,48
Canada,96
Cape Verde,100
Central African Republic,47
Chad,47
China,16
Colombia,81
Comoros,47
Congo,50
Costa Rica,76
Cote d'Ivoire,47
Croatia,64
Cuba,46
Cyprus,67
Czechia,65
Democratic Republic of Congo,47
Denmark,69
Djibouti,71
Dominica,59
Dominican Republic,130
Ecuador,112
Egypt,47
El Salvador,64
Equatorial Guinea,55
Eritrea,47
Estonia,49
Eswatini,63
Ethiopia,47
Fiji,46
Finland,84
France,42
Gabon,59
Gambia,50
Georgia,61
Germany,61
Ghana,47
Greece,62
Grenada,51
Guatemala,71
Guinea,48
Guinea-Bissau,48
Guyana,91
Haiti,47
Honduras,112
Hungary,65
Iceland,58
India,85
Indonesia,47
International,47
Iran,70
Iraq,133
Ireland,81
Israel,89
Italy,31
Jamaica,64
Japan,39
Jordan,60
Kazakhstan,85
Kenya,50
Kosovo,109
Kuwait,150
Kyrgyzstan,96
Laos,47
Latvia,76
Lebanon,76
Lesotho,49
Liberia,47
Libya,92
Liechtenstein,60
Lithuania,74
Luxembourg,62
Madagascar,47
Malawi,47
Malaysia,54
Maldives,113
Mali,47
Malta,93
Marshall Islands,49
Mauritania,47
Mauritius,55
Mexico,74
Moldova,128
Monaco,80
Mongolia,49
Montenegro,88
Morocco,84
Mozambique,47
Myanmar,53
Namibia,69
Nepal,83
Netherlands,58
New Zealand,59
Nicaragua,47
Niger,47
Nigeria,47
North Macedonia,99
Norway,63
Oman,120
Pakistan,48
Palestine,103
Panama,109
Papua New Guinea,47
Paraguay,114
Peru,133
Philippines,49
Poland,54
Portugal,54
Qatar,207
Romania,113
Russia,99
Rwanda,47
Saint Kitts and Nevis,53
Saint Lucia,58
Saint Vincent and the Grenadines,52
Samoa,47
San Marino,51
Sao Tome and Principe,52
Saudi Arabia,80
Senegal,46
Serbia,72
Seychelles,56
Sierra Leone,47
Singapore,49
Slovakia,65
Slovenia,58
Solomon Islands,47
Somalia,47
South Africa,92
South Korea,31
South Sudan,47
Spain,52
Sri Lanka,51
Sudan,47
Suriname,75
Sweden,63
Switzerland,58
Syria,47
Taiwan,43
Tajikistan,47
Tanzania,47
Thailand,47
Timor,47
Togo,46
Trinidad and Tobago,73
Tunisia,72
Turkey,78
Uganda,47
Ukraine,83
United Arab Emirates,118
United Kingdom,48
United States,73
Uruguay,61
Uzbekistan,47
Vanuatu,47
Vatican,46
Venezuela,49
Vietnam,46
Yemen,47
Zambia,47
Zimbabwe,47
Hong Kong,2
