country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,6,0,0.051,6.73
Albania,6,0,0,4.517
Algeria,6,0,0.137,4.515
Andorra,1,0,0,0
Angola,1,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,6,0.052,0.221,5.819
Armenia,0,0,1.687,63.782
Australia,1,1.038,0.039,0.392
Austria,6,0.568,0,4.552
Azerbaijan,4,0,0.296,13.413
Bahamas,1,0,0,0
Bahrain,0,3.902,0,122.827
Bangladesh,6,0.049,0.085,7.73
Barbados,6,0,0,6.96
Belarus,0,0,0.529,102.547
Belgium,3,0.872,4.055,25.109
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,0
Bolivia,3,0.064,0.343,22.445
Bosnia and Herzegovina,6,0,1.219,7.01
Botswana,1,0,0,0.425
Brazil,3,0,2.145,35.609
Brunei,1,0,0,0
Bulgaria,6,0.157,0.432,5.181
Burkina Faso,1,0,0,0.67
Burundi,1,0,0,0.673
Cambodia,1,0,0,0
Cameroon,1,0,0,0
Canada,3,0.807,2.729,29.834
Cape Verde,1,0,0,0
Central African Republic,1,0,0,0
Chad,5,0,0.183,1.766
Chile,0,0.689,1.517,123.089
China,1,0,0,0.007
Colombia,4,0.124,0.236,12.48
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,5,0.113,0,1.963
Cote d'Ivoire,5,0.03,0.076,1.82
Croatia,1,0.354,0,0.487
Cuba,1,0.172,0,0.883
Cyprus,5,2.567,0,2.283
Czechia,5,0.332,0.187,1.868
Democratic Republic of Congo,1,0,0,0
Denmark,4,1.221,0.691,11.913
Djibouti,0,0,0,70.85
Dominica,1,0,0,0
Dominican Republic,4,0.202,0,18.805
Ecuador,3,0.078,2.721,23.749
Egypt,6,0,0.176,4.984
El Salvador,4,0.337,0.617,11.255
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,5,0.623,0,3.015
Eswatini,1,0,0,0.862
Ethiopia,1,0.037,0,0.096
Fiji,1,0,0,0
Finland,4,0.417,0.18,11.009
France,5,0.102,8.87,0.965
Gabon,1,0,0,0
Gambia,1,0,0,0
Georgia,5,0,0,3.008
Germany,6,0,0.286,7.364
Ghana,1,0,0,0
Greece,5,0.215,0.096,1.439
Grenada,1,0,0,0
Guatemala,1,0.019,0,0
Guinea,1,0,0,0
Guinea-Bissau,4,0,0,10.671
Guyana,1,0,0,0
Haiti,6,0,0,8.595
Honduras,6,0,0.404,8.178
Hungary,5,0.384,0.311,3.727
Iceland,1,0.021,0,0
India,5,0.068,0.112,3.659
Indonesia,5,0.017,0.216,1.788
International,1,0,0,0
Iran,3,0.17,0.607,21.502
Iraq,5,0.077,0.05,3.58
Ireland,4,1.306,2.025,12.961
Israel,5,0.535,0.462,1.733
Italy,4,0.994,2.398,11.164
Jamaica,1,0.109,0,1.013
Japan,1,0.039,0.071,0.19
Jordan,1,0,0,0.588
Kazakhstan,4,1.184,0,16.35
Kenya,5,0,0,1.06
Kosovo,4,0,0,11.9
Kuwait,2,0.88,1.171,245.401
Kyrgyzstan,5,0,0,3.219
Laos,1,0,0,0
Latvia,6,0.545,0,5.832
Lebanon,5,0,0,1.319
Lesotho,1,0,0,0
Liberia,1,0,0.198,0.593
Libya,1,0.006,0,0
Liechtenstein,1,0,0,0
Lithuania,5,0.919,0.367,2.571
Luxembourg,3,0.241,4.793,23.963
Madagascar,1,0,0.036,0.758
Malawi,1,0.006,0,0.261
Malaysia,1,0.282,0,0.68
Maldives,3,0.699,0,29.6
Mali,5,0,0.198,1.235
Malta,4,2.29,0,15.854
Marshall Islands,1,0,0,0
Mauritania,6,0.063,0,4.732
Mauritius,1,0,0,0
Mexico,4,0.022,1.024,16.094
Moldova,3,0,0.992,31.235
Monaco,1,0,0,0
Mongolia,1,0,0,0.305
Montenegro,1,0,0,0
Morocco,5,0.134,0,3.495
Mozambique,1,0.009,0,0.256
Myanmar,1,0.01,0,0.037
Namibia,1,0,0,0
Nepal,1,0.05,0.034,0.137
Netherlands,6,0,0.584,7.295
New Zealand,1,0.322,0,0
Nicaragua,1,0,0,0
Niger,1,0,0.124,0.62
Nigeria,5,0.005,0.029,1.64
