country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,1.978,0.051,1.2
Albania,2,58.03,0.695,1.14
Algeria,1,3.329,0.137,0.94
Andorra,0,1656.636,12.942,1.42
Angola,1,2.221,0.122,1.12
Antigua and Barbuda,1,0,0,0.27
Argentina,0,334.08,11.395,1.04
Armenia,0,207.206,2.025,1.41
Australia,0,0.706,0,0.96
Austria,2,125.577,0.444,1.25
Azerbaijan,1,21.205,0.197,1.47
Bahamas,1,0,0,1.21
Bahrain,0,257.407,4.114,0.91
Bangladesh,1,7.76,0.103,0.97
Barbados,1,3.48,0,0.91
Belarus,1,51.75,0.529,1.26
Belgium,0,464.64,2.157,1.58
Belize,2,135.808,2.515,1.16
Benin,1,0,0,0.93
Bhutan,1,2.592,0,0.79
Bolivia,1,22.017,2.913,0.77
Bosnia and Herzegovina,2,118.568,3.962,1.16
Botswana,1,0,0,0.75
Brazil,2,129.112,3.209,0.96
Brunei,1,0,0,0
Bulgaria,2,88.077,1.007,1.5
Burkina Faso,1,0.622,0,0.99
Burundi,1,0,0,0.75
Cambodia,1,0.12,0,0.57
Cameroon,1,0,0,0.92
Canada,2,76.705,0.768,1.21
Cape Verde,2,165.471,3.597,1.07
Central African Republic,1,0,0,0.55
Chad,1,0.731,0.061,1.02
Chile,2,91.702,2.773,0.97
China,1,0.016,0,1.12
Colombia,2,159.602,6.191,1.04
Comoros,1,0,0,0.64
Congo,1,5.255,0.181,0.58
Costa Rica,0,240.474,2.945,1.02
Cote d'Ivoire,1,2.047,0,0.93
Croatia,2,111.32,0.731,1.54
Cuba,1,2.295,0,0.71
Cyprus,1,37.676,1.142,1.56
Czechia,0,804.652,3.362,1.55
Democratic Republic of Congo,1,0.145,0,1.08
Denmark,2,83.388,0,1.12
Djibouti,1,0,0,1.04
Dominica,1,13.891,0,0
Dominican Republic,2,53.927,0.184,0.99
Ecuador,2,45.514,1.927,0.97
Egypt,1,1.036,0.117,1.01
El Salvador,1,16.805,0.617,1.09
Equatorial Guinea,1,0.713,0,0.53
Eritrea,1,0,0,0.41
Estonia,1,36.938,0.754,1.01
Eswatini,1,10.343,0,0.85
Ethiopia,1,7.524,0.078,1.07
Fiji,1,0,0,0
Finland,1,42.413,0,1.29
France,0,317.587,0.95,1.3
Gabon,1,8.986,0,1.07
Gambia,1,1.655,0,0.69
Georgia,2,132.108,1.504,1.28
Germany,2,54.354,0.06,1.42
Ghana,1,1.287,0,1.06
Greece,1,37.513,0.096,1.17
Grenada,1,0,0,0
Guatemala,1,25.397,0.502,0.99
Guinea,1,4.036,0,1.09
Guinea-Bissau,1,0,0,0.43
Guyana,1,36.869,2.543,1.01
Haiti,1,0,0,0.89
Honduras,2,88.848,1.514,1.03
Hong Kong,1,0,0,0
Hungary,2,121.735,1.553,1.15
Iceland,0,310.623,0,1.36
India,2,53.095,0.671,0.92
Indonesia,1,14.968,0.355,1.01
International,1,0,0,0
Iran,2,49.314,2.5,1.1
Iraq,2,79.906,1.293,0.88
Ireland,2,124.955,0.81,1.34
Israel,0,342.324,4.621,0.66
Italy,2,88.849,0.463,1.65
Jamaica,1,30.393,1.351,0.95
Japan,1,4.649,0.047,1.07
Jordan,2,122.119,2.156,1.38
Kazakhstan,1,18.534,0.107,1.15
Kenya,1,8.22,0.074,1.39
Kosovo,1,40.874,1.552,1.18
Kuwait,2,148.692,1.639,1.08
Kyrgyzstan,2,42.151,0.613,1.31
Laos,1,0,0,0
Latvia,2,72.633,0,1.49
Lebanon,0,208.924,1.612,1.13
Lesotho,1,6.535,0.467,0.88
Liberia,1,0,0,1
Libya,2,156.594,0.728,1.09
Liechtenstein,2,104.885,0,1.73
Lithuania,1,48.856,0.367,1.34
Luxembourg,0,225.248,1.598,1.41
Madagascar,1,0.794,0.072,0.64
Malawi,1,0.209,0,0.9
Malaysia,1,10.937,0.185,1.59
Maldives,2,122.1,0,0.93
Mali,1,0.642,0,1.11
Malta,0,169.86,0,1.39
Marshall Islands,1,0,0,0
Mauritania,1,1.721,0.215,0.89
Mauritius,1,0,0,0.68
Mexico,2,42.906,3.11,1.06
Moldova,0,227.568,4.462,1.07
Monaco,2,101.926,0,1.2
Mongolia,1,0,0,0.42
Montenegro,0,547.717,4.777,1.03
Morocco,2,93.334,1.192,1.13
Mozambique,1,3.295,0.032,1.08
Myanmar,1,26.852,0.57,1.29
Namibia,1,18.891,0,0.86
Nepal,2,70.667,0.343,1.28
Netherlands,0,351.097,0.817,1.4
New Zealand,0,0.829,0,0.83
Nicaragua,1,0,0,0.46
Niger,1,0,0,1.03
Nigeria,1,0.733,0,0.97
North Macedonia,0,185.276,2.88,1.42
