Nation,Similarity Score
Afghanistan,110
Albania,193
Algeria,121
Andorra,88
Angola,124
Antigua and Barbuda,45
Armenia,45
Australia,2
Austria,41
Azerbaijan,113
Bahamas,45
Belarus,44
Belgium,32
Belize,130
Benin,81
Bosnia and Herzegovina,133
Brazil,135
Bulgaria,49
Burkina Faso,86
Burundi,31
Cambodia,77
Cameroon,159
Canada,45
Cape Verde,128
Central African Republic,169
Chad,175
Chile,86
Comoros,45
Costa Rica,151
Cote d'Ivoire,86
Croatia,48
Cuba,14
Cyprus,50
Czechia,18
Democratic Republic of Congo,142
Denmark,34
Djibouti,193
Dominica,110
Dominican Republic,134
Ecuador,154
Egypt,193
Equatorial Guinea,45
Eritrea,123
Estonia,52
Eswatini,189
Ethiopia,67
Finland,5
France,51
Gambia,128
Georgia,174
Germany,76
Ghana,93
Greece,41
Grenada,45
Guatemala,125
Guinea,161
Guinea-Bissau,45
Guyana,96
Haiti,190
Honduras,121
Hungary,58
India,66
International,45
Iran,105
Iraq,111
Ireland,44
Israel,39
Italy,29
Jamaica,22
Japan,31
Jordan,166
Kazakhstan,28
Kenya,72
Kosovo,206
Kyrgyzstan,158
Laos,124
Latvia,38
Lebanon,169
Lesotho,196
Liberia,199
Libya,66
Liechtenstein,45
Lithuania,41
Luxembourg,60
Madagascar,188
Malawi,92
Maldives,44
Mali,105
Malta,38
Marshall Islands,45
Mauritania,70
Mauritius,79
Mexico,135
Moldova,167
Monaco,16
Montenegro,45
Morocco,138
Mozambique,116
Myanmar,33
Namibia,139
Netherlands,99
Nicaragua,54
Niger,53
North Macedonia,45
Norway,17
Pakistan,115
Palestine,138
Papua New Guinea,91
Peru,128
Philippines,87
Portugal,36
Qatar,97
Romania,55
Russia,43
Saint Kitts and Nevis,45
Saint Lucia,45
Saint Vincent and the Grenadines,45
Samoa,45
San Marino,87
Sao Tome and Principe,45
Saudi Arabia,84
Senegal,71
Serbia,74
Seychelles,54
Sierra Leone,90
Slovakia,39
Slovenia,51
Solomon Islands,73
Somalia,85
South Africa,109
South Korea,7
South Sudan,93
Spain,82
Sri Lanka,24
Sudan,154
Suriname,127
Sweden,85
Switzerland,44
Syria,193
Tanzania,39
Thailand,20
Timor,43
Togo,52
Trinidad and Tobago,60
Tunisia,67
Turkey,26
Uganda,102
Ukraine,171
United Arab Emirates,12
United States,127
Uruguay,44
Vanuatu,133
Vatican,45
Venezuela,98
Vietnam,68
Yemen,78
Zambia,71
Zimbabwe,72
Gabon,128
Kuwait,144
Paraguay,43
Poland,14
Panama,97
Argentina,66
Bangladesh,81
Bhutan,81
Botswana,122
Colombia,79
Nigeria,122
Rwanda,12
Tajikistan,76
United Kingdom,21
Barbados,112
Uzbekistan,148
Nepal,25
Singapore,38
Bolivia,62
Malaysia,2
Oman,98
El Salvador,61
New Zealand,1
Fiji,109
China,86
Bahrain,89
Indonesia,117
Mongolia,101
Brunei,32
Hong Kong,53
Iceland,3
