country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,7,0.565,0,1.44
Albania,1,5.56,0,1.1
Algeria,1,2.987,0.319,2.09
Andorra,6,181.195,25.885,0.9
Angola,1,0.03,0,0
Antigua and Barbuda,4,0,0,0
Argentina,1,0,0.022,1.53
Armenia,4,13.161,0.337,1.34
Australia,3,11.882,0.078,1.11
Austria,5,58.958,1.999,0.99
Azerbaijan,1,6.016,0,1.69
Bahamas,4,17.8,2.543,0
Bahrain,3,1.175,0,1.33
Bangladesh,3,0.018,0.006,0
Barbados,7,0,0,0
Belarus,3,1.164,0.106,2.31
Belgium,2,102.592,10.613,1.61
Belize,7,0,0,0
Benin,7,0.33,0,0
Bhutan,1,0,0,0
Bolivia,1,0.685,0.086,1.27
Bosnia and Herzegovina,1,11.887,0,1.17
Botswana,7,0,0,0
Brazil,7,5.264,0.183,1.97
Brunei,7,4.572,0,0.21
Bulgaria,7,3.31,0.288,1.13
Burkina Faso,1,1.005,0.096,0.96
Burundi,4,0,0,0
Cambodia,7,0,0,0.13
Cameroon,7,1.507,0,1.3
Canada,3,27.37,0.212,1.86
Cape Verde,1,0,0,0
Central African Republic,7,0,0,0
Chad,4,0,0,0
Chile,3,15.327,0.209,1.76
China,7,0.057,0.005,0.87
Colombia,1,3.125,0.02,1.65
Comoros,4,0,0,0
Congo,1,0,0,0
Costa Rica,1,5.497,0,1
Cote d'Ivoire,1,0.417,0,1.29
Croatia,1,23.385,0,1.26
Cuba,7,2.295,0,1.33
Cyprus,1,66.218,1.142,1.28
Czechia,3,18.676,0.747,1.32
Democratic Republic of Congo,1,0.123,0.011,0
Denmark,5,43.334,2.417,1.31
Djibouti,1,3.036,0,0
Dominica,1,0,0,0
Dominican Republic,1,16.132,0.553,1.73
Ecuador,1,28.793,1.02,1.84
Egypt,1,0.674,0.059,1.55
El Salvador,1,0,0,0
Equatorial Guinea,4,2.138,0,0
Eritrea,1,0,0,0
Estonia,5,25.631,0.754,1.24
Eswatini,1,0,0,0
Ethiopia,3,0.026,0,0
Fiji,1,0,0,0
Finland,3,5.053,0,1.32
France,2,75.406,13.512,1.65
Gabon,7,0.899,0,0
Gambia,1,0,0,0
Georgia,1,1.755,0,0.86
Germany,6,72.377,1.731,1.36
Ghana,3,1.094,0,1.38
Greece,1,9.69,0.096,1.13
Grenada,4,0,0,0
Guatemala,3,0.056,0,0
Guinea,1,0.609,0,0
Guinea-Bissau,4,0.508,0,0
Guyana,7,8.9,0,0
Haiti,1,0.088,0,0
Honduras,1,3.13,0.303,1.26
Hungary,3,3.416,0.414,1.42
Iceland,6,249.084,0,1.09
India,1,0.436,0.017,2.13
Indonesia,7,0.545,0.077,1.51
International,4,0,0,0
Iran,7,35.574,1.643,1.29
Iraq,1,0.845,0.05,1.36
Ireland,5,42.934,2.835,1.67
Israel,6,80.411,0.924,1.49
Italy,2,79.091,12.024,0.98
Jamaica,3,2.702,0.675,0
Japan,7,2.214,0.04,1.97
Jordan,1,0.392,0,0.81
Kazakhstan,3,1.971,0.053,1.59
Kenya,3,0.409,0,0
Kosovo,1,3.104,0,1.07
Kuwait,1,6.557,0,2.02
Kyrgyzstan,1,0.613,0,1.19
Laos,1,0.137,0,0
Latvia,3,25.448,0,1.04
Lebanon,1,1.319,0.293,1.03
Lesotho,1,0,0,0
Liberia,1,0.593,0,0
Libya,1,0,0,0
Liechtenstein,4,0,0,0
Lithuania,3,16.163,0,1.2
Luxembourg,2,225.248,9.585,1.22
Madagascar,1,0,0,0
Malawi,7,0,0,0
Malaysia,3,4.387,0.062,1.22
Maldives,4,1.85,0,0
Mali,7,0.148,0.049,0
Malta,4,43.031,0,1.05
Marshall Islands,4,0,0,0
Mauritania,1,0,0,0
Mauritius,1,14.154,0.786,0.7
Mexico,1,1.264,0.062,1.76
Moldova,1,17.353,0.248,1.72
Monaco,6,76.445,0,0
Mongolia,7,0.61,0,0
Montenegro,4,22.291,0,1.13
Morocco,1,1.002,0.081,1.57
Mozambique,7,0.064,0,0
Myanmar,7,0,0,0
Namibia,7,1.181,0,0
Nepal,0,0,0,0
Netherlands,1,60.053,7.879,1.38
New Zealand,3,12.65,0,1.47
Nicaragua,4,0,0,0
Niger,7,1.942,0.083,0
Nigeria,1,0.189,0,1.23
North Macedonia,4,12,0.96,1.36
Norway,5,40.95,0.922,1.07
Oman,1,3.525,0,1.29
Pakistan,1,1.372,0.032,1.66
Palestine,1,2.94,0,1.12
Panama,1,0,0,1.65
Papua New Guinea,7,0,0,0
Paraguay,1,0.561,0,0
Peru,1,7.825,0.243,1.91
Philippines,1,2.072,0.073,1.85
Poland,1,6.421,0.264,1.7
Portugal,5,79.241,2.648,1.61
Qatar,3,18.743,0,2.35
Romania,1,11.176,0.52,1.7
Russia,0,3.015,0.048,2.39
Rwanda,1,0.54,0,0
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,1,0,0,1.02
Sao Tome and Principe,4,0,0,0
Saudi Arabia,3,4.51,0.172,1.67
Senegal,1,0.896,0.06,0.89
Serbia,1,23.514,1.764,1.94
Seychelles,7,0,0,0
Sierra Leone,7,0.125,0,0
Singapore,7,12.649,0,1.4
Slovakia,3,6.777,0.183,1.21
Slovenia,3,18.76,0,1.06
Solomon Islands,7,0,0,0
Somalia,7,0,0,0
South Africa,3,0.455,0,0.79
South Korea,3,1.97,0.059,0.89
South Sudan,7,0,0,0
Spain,6,175.276,19.741,1.47
Sri Lanka,3,0.14,0.047,0.92
Sudan,1,0,0,0
Suriname,7,1.705,0,0
Sweden,7,48.122,6.931,1.39
Switzerland,6,134.379,6.355,1.24
Syria,1,0,0,0
Taiwan,3,0.294,0,0.64
Tajikistan,4,0,0,0
Tanzania,7,0.017,0,0
Thailand,3,1.719,0.029,1.18
Timor,7,0,0,0
Togo,3,0.242,0.121,0
Trinidad and Tobago,1,2.144,1.429,0
Tunisia,1,2.454,0.169,1.11
Turkey,1,25.469,0.747,1.91
Uganda,1,0,0,0
Ukraine,1,3.407,0.069,1.98
United Arab Emirates,0,15.166,0.202,2.15
United Kingdom,5,73.27,9.914,1.75
United States,5,78.196,3.565,1.81
Uruguay,7,3.455,0.288,0.99
Uzbekistan,1,0.269,0,1.58
Vanuatu,1,0,0,0
Vatican,4,0,0,0
Venezuela,1,0.281,0,0.6
Vietnam,0,0.062,0,0.63
Yemen,7,0,0,0
Zambia,7,0.054,0,0
Zimbabwe,1,0,0,0
