country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,1.772,0.257,0.8
Albania,1,31.969,1.39,1.08
Algeria,1,13.728,0.319,1
Andorra,5,51.77,0,1.11
Angola,1,0.943,0.091,1.14
Antigua and Barbuda,2,0,0,0
Argentina,5,141.097,3.385,1.17
Armenia,5,87.405,1.687,0.81
Australia,4,23.726,0.275,1.23
Austria,4,11.658,0.222,1.06
Azerbaijan,1,33.435,0.296,0.82
Bahamas,2,61.03,7.629,1.6
Bahrain,7,260.933,1.175,0.99
Bangladesh,1,16.364,0.291,0.92
Barbados,6,0,0,0.52
Belarus,4,15.557,0.529,0.86
Belgium,5,57.897,0.345,1.44
Belize,1,0,0,0
Benin,6,0,0,0.95
Bhutan,6,2.592,0,0
Bolivia,5,145.635,7.367,1.03
Bosnia and Herzegovina,5,96.622,3.658,1.17
Botswana,6,0,0,0.83
Brazil,7,272.098,5.311,1.05
Brunei,6,0,0,0
Bulgaria,4,38.138,0.864,1.01
Burkina Faso,6,0.048,0,0.99
Burundi,2,0,0,0.68
Cambodia,6,0.478,0,0.39
Cameroon,6,0,0,1
Canada,4,8.479,0.318,1.01
Cape Verde,5,80.937,0,1.08
Central African Republic,6,0,0,0.6
Chad,1,0.548,0,0.84
Chile,5,102.583,5.179,0.9
China,1,0.192,0.001,1.33
Colombia,7,195.842,6.996,1.18
Comoros,2,0,0,0.67
Congo,6,0,0,0.66
Costa Rica,5,96.189,1.374,1.16
Cote d'Ivoire,6,6.255,0.038,0.89
Croatia,6,19,0.731,0.91
Cuba,3,0.795,0,1.75
Cyprus,3,11.417,0,1.79
Czechia,6,25.96,0.467,1.19
Democratic Republic of Congo,6,0.882,0.056,1.05
Denmark,3,16.574,0.173,1.35
Djibouti,6,0,0,0.87
Dominica,6,0,0,0
Dominican Republic,7,159.754,2.12,1.03
Ecuador,5,66.712,1.927,1.03
Egypt,6,3.919,0.45,0.61
El Salvador,5,59.973,1.388,1.09
Equatorial Guinea,2,0,0,0.28
Eritrea,1,3.948,0,0.28
Estonia,4,6.785,0,1.73
Eswatini,1,22.411,0,1.1
Ethiopia,1,7.002,0.087,1.27
Fiji,6,0,0,0
Finland,3,1.624,0,1.22
France,4,21.326,0.23,1.31
Gabon,6,0,0,1.07
Gambia,6,31.862,0,1.49
Georgia,6,1.253,0,0.83
Germany,6,11.804,0.107,1.24
Ghana,6,0,0,1.05
Greece,3,6.236,0,1.41
Grenada,2,8.887,0,0
Guatemala,5,68.153,1.786,1.06
Guinea,1,4.493,0,1.09
Guinea-Bissau,2,13.72,0,0.69
Guyana,1,3.814,0,1.29
Haiti,6,2.982,0.175,0.9
Honduras,1,48.664,5.351,1.06
Hungary,3,1.967,0,1.16
Iceland,4,32.234,0,1.86
India,1,38.248,0.553,1.18
Indonesia,6,6.961,0.303,1.06
International,2,0,0,0
Iran,1,31.205,2.691,1.06
Iraq,5,73.665,1.691,1.1
Ireland,3,17.214,-0.203,1.53
Israel,7,206.457,1.733,0.98
Italy,3,6.318,0.05,1.21
