country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,2,0.051,0,0
Albania,2,0,0,0
Algeria,6,0.16,0,0
Andorra,6,0,0,0
Angola,2,0,0,0
Antigua and Barbuda,6,0,0,0
Argentina,2,0,0,0
Armenia,6,0,0,0
Australia,2,0.51,0.039,0
Austria,5,0.888,0,0
Azerbaijan,2,0,0,0
Bahamas,6,0,0,0
Bahrain,2,1.763,0,0
Bangladesh,2,0,0,0
Barbados,2,0,0,0
Belarus,6,0.529,0,0
Belgium,2,0.863,0,0
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,7,0,0,0
Bosnia and Herzegovina,2,0,0,0
Botswana,2,0,0,0
Brazil,2,0.009,0,0
Brunei,2,0,0,0
Bulgaria,2,0,0,0
Burkina Faso,6,0,0,0
Burundi,6,0,0,0
Cambodia,6,0,0,0
Cameroon,6,0,0,0
Canada,6,0.079,0,0
Cape Verde,2,0,0,0
Central African Republic,6,0,0,0
Chad,6,0,0,0
Chile,6,0,0,0
China,7,0.087,0.025,0.26
Colombia,2,0,0,0
Comoros,6,0,0,0
Congo,6,0,0,0
Costa Rica,2,0,0,0
Cote d'Ivoire,6,0,0,0
Croatia,2,0.244,0,0
Cuba,2,0,0,0
Cyprus,6,0,0,0
Czechia,2,0.28,0,0
Democratic Republic of Congo,6,0,0,0
Denmark,2,0.863,0,0
Djibouti,6,0,0,0
Dominica,6,0,0,0
Dominican Republic,2,0,0,0
Ecuador,2,0.17,0,0
Egypt,6,0,0,0
El Salvador,2,0,0,0
Equatorial Guinea,6,0,0,0
Eritrea,6,0,0,0
Estonia,5,0,0,0
Eswatini,2,0,0,0
Ethiopia,6,0,0,0
Fiji,2,0,0,0
Finland,2,0,0,0
France,7,1.287,0,2.58
Gabon,2,0,0,0
Gambia,2,0,0,0
Georgia,7,0,0,0
Germany,2,0.788,0,3
Ghana,6,0,0,0
Greece,2,0.192,0,0
Grenada,6,0,0,0
Guatemala,2,0,0,0
Guinea,2,0,0,0
Guinea-Bissau,6,0,0,0
Guyana,2,0,0,0
Haiti,2,0,0,0
Honduras,2,0,0,0
Hungary,2,0.207,0,0
Iceland,1,43.956,0,0
India,2,0.017,0,0
Indonesia,7,0,0,0
International,6,0,0,0
Iran,2,6.977,0.179,2.75
Iraq,7,0.075,0.05,0
Ireland,2,0.81,0,0
Israel,5,0,0,0
Italy,7,9.709,0.463,2.64
Jamaica,2,0,0,0
Japan,7,0.277,0.008,1.51
Jordan,6,0,0,0
Kazakhstan,2,0,0,0
Kenya,2,0,0,0
Kosovo,6,0,0,0
Kuwait,2,0,0,0
Kyrgyzstan,2,0,0,0
Laos,6,0,0,0
Latvia,2,0,0,0
Lebanon,2,0,0,0
Lesotho,6,0,0,0
Liberia,6,0,0,0
Libya,6,0,0,0
Liechtenstein,3,26.221,0,0
Lithuania,2,0,0,0
Luxembourg,6,0,0,0
Madagascar,6,0,0,0
Malawi,6,0,0,0
Malaysia,2,0.433,0,0
Maldives,6,0,0,0
Mali,6,0,0,0
Malta,6,0,0,0
Marshall Islands,6,0,0,0
Mauritania,6,0,0,0
Mauritius,6,0,0,0
Mexico,5,0,0,0
Moldova,2,0,0,0
Monaco,2,0,0,0
Mongolia,7,0,0,0
Montenegro,6,0,0,0
Morocco,6,0,0,0
Mozambique,2,0,0,0
Myanmar,6,0,0,0
Namibia,6,0,0,0
Nepal,2,0,0,0
Netherlands,6,0.817,0,0
New Zealand,2,0.415,0,0
Nicaragua,2,0,0,0
Niger,6,0,0,0
Nigeria,2,0,0,0
North Macedonia,6,0,0,0
Norway,2,4.427,0,0
Oman,2,0.587,0,0
Pakistan,2,0,0,0
Palestine,6,0,0,0
Panama,2,0,0,0
Papua New Guinea,2,0,0,0
Paraguay,6,0,0,0
Peru,6,0,0,0
Philippines,2,0,0,0
Poland,2,0.026,0,0
Portugal,2,0.294,0,0
Qatar,2,0.347,0,0
Romania,2,0.052,0,0
Russia,2,0,0,0
Rwanda,2,0,0,0
Saint Kitts and Nevis,6,0,0,0
Saint Lucia,6,0,0,0
Saint Vincent and the Grenadines,6,0,0,0
Samoa,6,0,0,0
San Marino,0,176.793,0,0
Sao Tome and Principe,6,0,0,0
Saudi Arabia,2,0,0,0
Senegal,6,0.119,0,0
Serbia,2,0,0,0
Seychelles,2,0,0,0
Sierra Leone,6,0,0,0
Singapore,2,0,0,0.59
Slovakia,2,0,0,0
Slovenia,2,0,0,0
Solomon Islands,2,0,0,0
Somalia,6,0,0,0
South Africa,6,0,0,0
South Korea,7,8.485,0.137,1.24
South Sudan,6,0,0,0
Spain,2,1.219,0.021,2.55
Sri Lanka,2,0,0,0
Sudan,6,0,0,0
Suriname,6,0,0,0
Sweden,6,2.971,0,0
Switzerland,2,3.929,0,0
Syria,6,0,0,0
Taiwan,5,0,0,0
Tajikistan,2,0,0,0
Tanzania,6,0,0,0
Thailand,4,0,0,0
Timor,2,0,0,0
Togo,6,0,0,0
Trinidad and Tobago,2,0,0,0
Tunisia,2,0.085,0,0
Turkey,2,0,0,0
Uganda,2,0,0,0
Ukraine,2,0,0,0
United Arab Emirates,4,0,0,0
United Kingdom,2,0.84,0,2.34
United States,2,0.1,0.012,0
Uruguay,6,0,0,0
Uzbekistan,2,0,0,0
Vanuatu,6,0,0,0
Vatican,6,0,0,0
Venezuela,2,0,0,0
Vietnam,7,0,0,0
Yemen,6,0,0,0
Zambia,2,0,0,0
Zimbabwe,2,0,0,0
