country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,2,0,1.31,84.26
Albania,2,0,0.92,83.33
Algeria,4,0,1.03,76.85
Andorra,8,0,0.48,50
Angola,2,0,0,81.48
Antigua and Barbuda,1,0,0,0
Argentina,3,0.091,1.39,90.74
Armenia,1,0,1.42,0
Australia,6,0,0.76,67.13
Austria,0,0.008,0.89,59.26
Azerbaijan,4,0,1.29,77.78
Bahamas,1,0,0,0
Bahrain,4,0.037,1.23,75
Bangladesh,7,0.148,1.39,93.52
Barbados,2,0,0,81.48
Belarus,1,0.075,1.06,16.67
Belgium,4,0.018,0.71,75
Belize,3,0,0,85.19
Benin,0,0,0.97,57.41
Bhutan,2,0,0,83.33
Bolivia,2,0.339,1.39,84.26
Bosnia and Herzegovina,4,0,1.16,76.85
Botswana,4,0,0,78.7
Brazil,2,0,1.36,81.02
Brunei,8,0,0.01,52.78
Bulgaria,0,0.03,0.9,62.96
Burkina Faso,0,0,0.95,60.19
Burundi,1,0,0,13.89
Cambodia,0,0,0.03,57.41
Cameroon,0,0,1.23,63.89
Canada,6,0.04,0.88,70.83
Cape Verde,4,0,1.08,79.17
Central African Republic,4,0,0.9,75.93
Chad,4,0,0.9,74.07
Chile,4,0.226,1.45,78.24
China,2,0,0.81,81.94
Colombia,3,0,1.29,87.04
Comoros,1,0,0,0
Congo,2,0,0.82,82.41
Costa Rica,6,0,1.21,72.22
Cote d'Ivoire,6,0.088,1.17,64.81
Croatia,6,0.004,0.37,70.37
Cuba,7,0.007,0.67,100
Cyprus,7,0.001,0.72,92.59
Czechia,0,0.009,1.07,57.41
Democratic Republic of Congo,2,0,1.13,80.56
Denmark,6,0.005,0.82,65.74
Djibouti,0,0,1.92,59.26
Dominica,6,0,0,72.22
Dominican Republic,7,0.169,1.09,96.3
Ecuador,3,0,0.96,86.11
Egypt,2,0,1.33,84.26
El Salvador,7,0.03,1.18,100
Equatorial Guinea,1,0,0.64,0
Eritrea,7,0,0,93.52
Estonia,8,0.005,0.9,50
Eswatini,2,0,0.92,84.26
Ethiopia,2,0.005,1.7,80.56
Fiji,4,0,0,78.7
Finland,8,0.016,0.76,53.7
France,4,0,0.98,76.85
Gabon,2,0,1.14,80.56
Gambia,4,0,0,77.78
Georgia,7,0,0.87,96.3
Germany,0,0,0.76,61.57
Ghana,0,0.047,1.28,62.04
Greece,6,0.003,0.86,68.52
Grenada,1,0,0,0
Guatemala,7,0.189,1.38,96.3
Guinea,4,0,1.12,78.7
Guinea-Bissau,1,0,0.82,0
Guyana,3,0,0.53,87.04
Haiti,3,0,1.44,89.81
Honduras,7,0,1.32,100
Hungary,6,0.01,0.83,66.67
Iceland,8,0,0.42,50
India,4,0.047,1.32,79.17
Indonesia,4,0.14,1.2,74.54
International,1,0,0,0
Iran,8,0.131,1.29,45.37
Iraq,2,0.031,1.39,82.41
Ireland,2,0.027,0.57,83.33
Israel,4,0.003,0.48,77.78
Italy,0,0.014,0.64,63.89
Jamaica,3,0.01,0.81,87.04
Japan,5,0.011,0.44,40.74
Jordan,4,0,1.15,77.78
Kazakhstan,2,0.012,1.3,83.8
Kenya,3,0.018,1.41,88.89
Kosovo,3,0,0.99,87.04
Kuwait,7,0,1.29,100
Kyrgyzstan,2,0,1.23,84.72
Laos,0,0,0,56.48
Latvia,0,0.005,0.88,61.11
Lebanon,4,0,1.22,77.78
Lesotho,0,0,0,62.04
Liberia,3,0,0.98,87.96
Libya,7,0.002,0,100
Liechtenstein,1,0,0,0
Lithuania,6,0.001,0.9,71.3
Luxembourg,0,0.008,0.75,56.48
Madagascar,6,0.074,1.73,70.37
Malawi,0,0.021,0,60.19
Malaysia,6,0.001,0.96,69.44
Maldives,1,0.069,1.11,0
Mali,0,0,1.07,56.48
Malta,1,0.006,1.3,0
Marshall Islands,1,0,0,0
Mauritania,4,0.102,0,77.78
Mauritius,4,0,0.07,78.7
Mexico,2,0.343,1.28,82.41
Moldova,2,0,1.11,80.56
Monaco,6,0,0,68.52
Mongolia,6,0,0.4,71.3
Montenegro,1,0,0,0
Morocco,7,0.025,0.81,93.52
Mozambique,0,0.02,1.1,56.48
Myanmar,2,0.003,0.76,80.56
Namibia,6,0,0,66.67
Nepal,7,0.019,1.8,92.59
Netherlands,6,0,0.7,68.52
New Zealand,5,0,0.47,39.81
Nicaragua,1,0,0,18.52
Niger,5,0,0.78,33.33
Nigeria,2,0.186,1.21,84.26
North Macedonia,1,0.062,1.14,0
Norway,0,0.005,0.67,58.33
Oman,3,0,1.28,87.96
Pakistan,2,0.104,1.25,85.19
Palestine,7,0,2.4,96.3
Panama,3,0.155,1.07,89.81
Papua New Guinea,0,0,0,56.02
Paraguay,7,0.015,1.01,94.44
Peru,7,0,1.26,92.59
Philippines,7,0.024,1.06,96.3
Poland,2,0.02,1.04,83.33
Portugal,6,0.014,0.9,71.3
Qatar,2,0.338,1.18,83.33
Romania,4,0.028,0.82,75
Russia,4,0.045,0.97,78.24
Rwanda,6,0.001,1.11,73.15
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,6,0,0.68,66.67
Sao Tome and Principe,1,0,0.42,0
Saudi Arabia,3,0.12,1.19,89.81
Senegal,6,0.092,1.05,72.22
Serbia,8,0.013,0.77,51.85
Seychelles,0,0,0,59.26
Sierra Leone,6,0,0.99,70.37
Singapore,2,0.107,0.83,81.48
Slovakia,6,0.002,0.67,73.15
Slovenia,8,0.001,0.46,44.91
Solomon Islands,5,0,0,42.59
Somalia,0,0,0.86,60.19
South Africa,2,0.049,1.39,84.26
South Korea,5,0.002,0.87,43.52
South Sudan,6,0,0.86,73.15
Spain,4,0.014,0.78,79.17
Sri Lanka,2,0.016,1.12,82.41
Sudan,3,0,1.27,87.04
Suriname,4,0,0,79.63
Sweden,6,0,1.12,64.81
Switzerland,0,0.008,0.56,58.33
Syria,3,0,0,87.04
Taiwan,5,0,0.22,25.93
Tajikistan,8,0,1.81,44.44
Tanzania,5,0,0.08,38.89
Thailand,6,0,0.71,73.15
Timor,6,0,0,66.67
Togo,6,0.052,1.03,73.15
Trinidad and Tobago,3,0,0.01,90.74
Tunisia,2,0.001,0.64,83.33
Turkey,4,0.044,0.7,75.93
Uganda,3,0,1.2,86.11
Ukraine,3,0.058,0.93,88.89
United Arab Emirates,6,0.019,1.15,72.22
United Kingdom,6,0.033,0.87,71.3
United States,6,0,0.94,72.69
Uruguay,0,0.005,0.96,61.11
Uzbekistan,3,0,1.11,86.11
Vanuatu,6,0,0,66.67
Vatican,1,0,0,0
Venezuela,2,0,2.17,85.19
Vietnam,6,0,0.35,69.44
Yemen,0,0,1.06,56.48
Zambia,5,0.104,0.9,43.52
Zimbabwe,3,0.004,0,87.96
