country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,1,0,1.41,78.7
Albania,3,0,0.92,84.26
Algeria,3,0,0.95,86.57
Andorra,0,0,0.76,56.48
Angola,3,0,0,90.74
Antigua and Barbuda,2,0,0,0
Argentina,3,0.059,1.3,100
Armenia,2,0,1.09,0
Australia,1,0.012,0.51,73.15
Austria,1,0.055,0.6,81.48
Azerbaijan,3,0,1.13,88.89
Bahamas,2,0,0,0
Bahrain,1,0.016,1.37,75
Bangladesh,3,0.061,2.51,93.52
Barbados,3,0,0,88.89
Belarus,2,0.08,2.09,18.52
Belgium,1,0.192,1.18,81.48
Belize,1,0,0,75
Benin,1,0,0,70.83
Bhutan,1,0,0,83.33
Bolivia,3,0.125,1.36,84.26
Bosnia and Herzegovina,3,0,1.17,92.59
Botswana,3,0,0,86.11
Brazil,1,0,1.65,74.54
Brunei,0,0,0.15,58.33
Bulgaria,1,0,1.11,71.3
Burkina Faso,3,0,0.96,84.26
Burundi,2,0,0,13.89
Cambodia,1,0,0.12,68.52
Cameroon,1,0,1.28,68.52
Canada,1,0.112,1.36,72.69
Cape Verde,1,0,0,79.63
Central African Republic,1,0,0,68.52
Chad,0,0,0,33.33
Chile,1,0.108,1.43,73.15
China,0,0,1,56.94
Colombia,3,0,1.39,87.96
Comoros,2,0,0,0
Congo,3,0,0,97.22
Costa Rica,1,0,0.89,77.78
Cote d'Ivoire,1,0,1.28,80.56
Croatia,3,0.07,0.94,96.3
Cuba,1,0.038,1.39,73.15
Cyprus,3,0.027,0.94,92.59
Czechia,1,0.029,0.8,74.07
Democratic Republic of Congo,1,0,1.12,80.56
Denmark,1,0.069,1.09,72.22
Djibouti,3,0,1.6,94.44
Dominica,1,0,0,79.63
Dominican Republic,3,0.31,1.43,92.59
Ecuador,3,0,1.56,93.52
Egypt,3,0,1.4,84.26
El Salvador,3,0,1.16,88.89
Equatorial Guinea,2,0,0,0
Eritrea,3,0,0,93.52
Estonia,1,0.026,0.89,77.78
Eswatini,3,0,0,89.81
Ethiopia,1,0.014,0,80.56
Fiji,3,0.023,0,88.89
Finland,1,0.063,1.16,67.59
France,3,0,1.41,87.96
Gabon,1,0,0,76.85
Gambia,1,0,0,78.7
Georgia,3,0,1.07,100
Germany,1,0,0.88,76.85
Ghana,3,0.007,1.43,86.11
Greece,3,0.029,0.91,84.26
Grenada,2,0,0,0
Guatemala,3,0.105,1.24,93.52
Guinea,1,0,1.14,78.7
Guinea-Bissau,2,0,0,0
Guyana,3,0,0,87.04
Haiti,3,0,0,90.74
Honduras,3,0,1.25,100
Hungary,1,0.05,1.49,76.85
Iceland,0,0.028,0.53,53.7
India,3,0.054,1.75,100
Indonesia,1,0.148,1.46,71.76
International,2,0,0,0
Iran,0,0,0.82,50.93
Iraq,3,0,0.86,96.3
Ireland,3,0.127,1.52,90.74
Israel,3,0.056,0.91,91.67
Italy,3,0.09,0.91,87.96
Jamaica,1,0.026,0,78.7
Japan,0,0.143,1.53,45.37
Jordan,3,0,0.68,100
Kazakhstan,3,0.016,1.46,92.13
Kenya,3,0.018,0.84,88.89
Kosovo,3,0,1.26,92.59
Kuwait,3,0,1.6,93.52
Kyrgyzstan,3,0,1.23,92.13
Laos,3,0,0,96.3
Latvia,1,0.014,0.92,69.44
Lebanon,3,0,0.99,85.19
Lesotho,3,0,0,90.74
Liberia,1,0,0,84.26
Libya,3,0.027,0,88.89
Liechtenstein,2,0,0,0
Lithuania,3,0.015,0.95,87.04
Luxembourg,1,0.1,0.76,79.63
Madagascar,3,0,0,95.37
Malawi,0,0.042,0,56.48
Malaysia,1,0.034,0.95,73.15
Maldives,2,0,0,0
Mali,1,0,0,72.22
Malta,2,0.024,1,0
Marshall Islands,2,0,0,0
Mauritania,1,0.003,0,77.78
Mauritius,1,0,0.52,82.41
Mexico,1,0.192,1.63,82.41
Moldova,3,0,1.4,87.04
Monaco,3,0,0,85.19
Mongolia,1,0,0,65.74
Montenegro,2,0,0.58,0
Morocco,3,0.173,1.38,93.52
Mozambique,0,0.049,0,56.48
Myanmar,1,0.028,0,79.63
Namibia,1,0.029,0,66.67
Nepal,3,0,0,96.3
Netherlands,1,0,1.1,79.63
New Zealand,3,0.017,0.7,96.3
Nicaragua,2,0,0,15.74
Niger,0,0,0.99,61.11
Nigeria,1,0,1.36,82.87
North Macedonia,2,0.101,1.24,0
Norway,1,0.061,0.75,79.63
Oman,3,0,1.31,92.59
Pakistan,3,0.077,1.44,96.3
Palestine,3,0,0.36,96.3
Panama,3,0.255,1.35,90.74
Papua New Guinea,1,0,0,82.41
Paraguay,3,0.025,0.93,94.44
Peru,3,0,1.82,94.44
Philippines,3,0.117,1.14,100
Poland,1,0,1.21,83.33
Portugal,3,0.079,1.08,87.96
Qatar,3,0.089,1.38,86.11
Romania,3,0.103,1.28,87.04
Russia,3,0.015,2.04,85.19
Rwanda,3,0,0.55,90.74
Saint Kitts and Nevis,2,0,0,0
Saint Lucia,2,0,0,0
Saint Vincent and the Grenadines,2,0,0,0
Samoa,2,0,0,0
San Marino,3,0,1.14,87.04
Sao Tome and Principe,2,0,0,0
Saudi Arabia,3,0.037,1.68,91.67
Senegal,1,0.061,1.06,77.78
Serbia,3,0.176,1.48,100
Seychelles,3,0,0,93.52
Sierra Leone,1,0,0,75.93
Singapore,1,0,2.01,79.63
Slovakia,3,0.021,1.13,87.04
Slovenia,3,0.03,0.79,89.81
Solomon Islands,0,0,0,52.78
Somalia,0,0,0,60.19
South Africa,3,0.021,1.16,87.96
South Korea,1,0.005,0.44,82.41
South Sudan,1,0,0,73.15
Spain,3,0,1.1,85.19
Sri Lanka,3,0.013,1.1,100
Sudan,1,0,0,76.85
Suriname,1,0,0,82.41
Sweden,1,0,1.3,64.81
Switzerland,1,0.137,0.82,73.15
Syria,3,0,0,87.04
Taiwan,0,0.003,0.51,31.48
Tajikistan,2,0,0,22.22
Tanzania,0,0,0,47.22
Thailand,1,0.017,0.86,76.85
Timor,1,0,0,75
Togo,1,0.032,0,73.15
Trinidad and Tobago,1,0,0.13,79.63
Tunisia,3,0.028,0.92,90.74
Turkey,1,0.158,1.54,77.78
Uganda,3,0.002,0,93.52
Ukraine,3,0,1.74,88.89
United Arab Emirates,3,0.007,1.62,89.81
United Kingdom,1,0.291,0.89,79.63
United States,1,0.214,1.16,72.69
Uruguay,1,0.033,0.97,72.22
Uzbekistan,3,0,1.59,90.74
Vanuatu,1,0,0,77.78
Vatican,2,0,0,0
Venezuela,1,0,0.84,82.41
Vietnam,3,0,0.4,96.3
Yemen,0,0,0,40.74
Zambia,0,0.002,0,50.93
Zimbabwe,3,0,0,87.96
