country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,0.283,1.43,0
Albania,0,5.212,1.02,0
Algeria,0,1.3,1.73,0
Andorra,2,336.504,0.95,0
Angola,0,0.061,0,0
Antigua and Barbuda,1,0,0,0
Argentina,0,1.217,1.62,0
Armenia,1,5.737,1.4,0
Australia,0,13.49,1.45,0
Austria,2,57.404,1.29,0
Azerbaijan,0,2.663,1.69,0
Bahamas,1,2.543,0,0
Bahrain,0,13.517,1.32,0
Bangladesh,0,0,0,0
Barbados,0,24.359,0,0
Belarus,1,0,0,0
Belgium,2,146.856,1.85,81.28
Belize,0,0,0,0
Benin,1,0,0,0
Bhutan,0,1.296,0,0
Bolivia,0,0.6,0,0
Bosnia and Herzegovina,0,19.812,1.17,0
Botswana,0,0,0,0
Brazil,0,1.656,2.03,0
Brunei,0,13.715,0.24,0
Bulgaria,0,2.159,1.14,0
Burkina Faso,0,0.718,0.96,0
Burundi,1,0,0,0
Cambodia,0,0.239,0,0
Cameroon,0,1.808,0,0
Canada,0,18.653,2.04,0
Cape Verde,0,1.799,0,0
Central African Republic,0,0,0,0
Chad,1,0,0,0
Chile,0,12.032,1.92,0
China,0,0.085,0.92,0
Colombia,0,1.847,1.71,0
Comoros,1,0,0,0
Congo,0,2.718,0,0
Costa Rica,0,3.73,1.03,0
Cote d'Ivoire,0,2.426,1.3,0
Croatia,0,13.641,1.45,0
Cuba,0,1.766,1.34,0
Cyprus,0,39.959,1.25,0
Czechia,0,17.369,1.52,4.949
Democratic Republic of Congo,0,0,0,0
Denmark,0,34.184,1.34,22.617
Djibouti,0,4.049,0,0
Dominica,1,0,0,0
Dominican Republic,0,12.906,1.89,0
Ecuador,0,5.725,1.91,0
Egypt,0,0.322,1.47,0
El Salvador,0,0.771,0,0
Equatorial Guinea,1,0,0,0
Eritrea,0,1.692,0,0
Estonia,0,25.631,1.33,9.8
Eswatini,0,0,0,0
Ethiopia,0,0.043,0,0
Fiji,0,0,0,0
Finland,0,13.175,1.37,7.4
France,0,39.878,1.76,70.35
Gabon,0,0,0,0
Gambia,0,0.414,0,0
Georgia,0,0.251,0,0
Germany,0,52.516,1.56,0
Ghana,0,0.354,1.37,0
Greece,0,9.114,1.19,0
Grenada,1,17.775,0,0
Guatemala,0,0,0,0
Guinea,0,0.609,0,0
Guinea-Bissau,1,0,0,0
Guyana,0,0,0,0
Haiti,0,0.614,0,0
Honduras,0,1.514,0,0
Hungary,0,6.729,1.57,0
Iceland,2,167.033,1.22,29.304
India,0,0.027,2.05,0
Indonesia,0,0.475,1.6,0
International,1,0,0,0
Iran,0,34.539,1.6,0
Iraq,0,1.019,1.57,0
Ireland,0,40.504,1.79,19.442
Israel,2,61.464,1.69,0
Italy,2,86.286,1.09,64.603
Jamaica,0,0.675,0,0
Japan,1,1.415,1.95,0
Jordan,0,1.274,0.88,0
Kazakhstan,0,2.982,1.7,0
Kenya,0,0.074,0,0
Kosovo,0,1.552,0,0
Kuwait,0,4.683,1.56,0
Kyrgyzstan,0,3.985,0,0
Laos,1,0,0,0
Latvia,0,22.267,1.08,0
Lebanon,0,3.809,1.06,0
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0.728,0,0
Liechtenstein,1,0,0,0
Lithuania,0,24.244,1.28,0
Luxembourg,2,190.103,1.43,33.548
Madagascar,0,0.469,0,0
Malawi,0,0,0,0
Malaysia,0,4.634,1.32,0
Maldives,1,1.85,0,0
Mali,0,0,0,0
Malta,1,4.53,0.82,9.059
Marshall Islands,1,0,0,0
Mauritania,0,0,0,0
Mauritius,0,3.932,0.71,0
Mexico,0,1.125,1.81,0
Moldova,0,7.933,1.66,0
Monaco,2,101.926,0,0
Mongolia,0,0,0,0
Montenegro,1,1.592,0,0
Morocco,0,2.086,1.71,0
Mozambique,0,0,0,0
Myanmar,0,0.037,0,0
Namibia,0,1.181,0,0
Nepal,0,0,0,0
Netherlands,2,64.839,1.58,60.695
New Zealand,0,13.064,1.76,0
Nicaragua,1,0,0,0
Niger,0,0.33,0,0
Nigeria,0,0.107,0,0
North Macedonia,1,8.64,1.3,0
Norway,0,49.62,1.22,0
Oman,0,2.937,1.28,0
Pakistan,0,0.543,1.69,0
Palestine,0,2.156,0,0
Panama,0,26.653,1.8,0
Papua New Guinea,0,0,0,0
Paraguay,0,0.421,0,0
Peru,0,5.49,1.9,0
Philippines,0,3.13,2.18,0
Poland,0,5.919,1.81,0
Portugal,2,77.672,1.91,13.534
Qatar,0,15.272,2.11,0
Romania,0,18.869,1.93,1.975
Russia,0,1.85,2.45,0
Rwanda,0,0.772,0,0
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,32.675,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,0,0,0.98,0
Sao Tome and Principe,1,0,0,0
Saudi Arabia,0,2.758,1.72,0
Senegal,0,0.717,0.91,0
Serbia,0,12.051,2.02,0
Seychelles,1,0,0,0
Sierra Leone,0,0,0,0
Singapore,1,7.179,1.35,0
Slovakia,0,4.03,1.21,0
Slovenia,0,22.127,1.14,11.544
Solomon Islands,1,0,0,0
Somalia,0,0,0,0
South Africa,0,1.568,1.16,0
South Korea,0,2.048,0.91,0
South Sudan,0,0,0,0
Spain,2,147.044,1.62,0
Sri Lanka,0,0.187,0.87,0
Sudan,0,0.023,0,0
Suriname,0,0,0,0
Sweden,0,27.725,1.41,0
Switzerland,2,87.006,1.41,0
Syria,0,0.229,0,0
Taiwan,1,0.63,0.68,0
Tajikistan,1,0,0,0
Tanzania,0,0,0,0
Thailand,0,2.049,1.29,0
Timor,0,0,0,0
Togo,0,0,0,0
