country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,19.472,1.13,0
Albania,0,6.95,1.19,0
Algeria,0,2.44,0.75,0
Andorra,0,90.597,0.44,0
Angola,0,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,0,20.998,1.32,0
Armenia,2,173.797,1.27,0
Australia,0,0.431,0.9,0
Austria,0,1.332,0.88,2.332
Azerbaijan,0,32.054,1.43,0
Bahamas,1,0,0.05,0
Bahrain,2,296.195,1.18,0
Bangladesh,0,16.364,1.3,0
Barbados,0,0,0,0
Belarus,1,91.118,0.95,0
Belgium,0,6.04,0.71,12.511
Belize,0,0,0,0
Benin,1,0,0.97,0
Bhutan,0,0,0,0
Bolivia,0,55.427,1.29,0
Bosnia and Herzegovina,0,4.877,1.17,0
Botswana,0,0,0,0
Brazil,2,134.706,1.23,0
Brunei,0,0,0,0
Bulgaria,1,3.166,1.23,1.295
Burkina Faso,1,0.144,0.94,0
Burundi,1,0,0,0
Cambodia,1,0,0.05,0
Cameroon,0,0,1.16,0
Canada,0,18.043,0.79,0
Cape Verde,0,19.785,1.1,0
Central African Republic,0,21.533,1.01,0
Chad,0,1.035,0.79,0
Chile,2,258.524,1.19,0
China,0,-0.001,1.26,0
Colombia,0,29.892,1.27,0
Comoros,1,0,0.71,0
Congo,0,0,0.79,0
Costa Rica,0,10.208,1.46,0
Cote d'Ivoire,0,3.26,1.23,0
Croatia,0,0,0.26,0
Cuba,0,1.324,1.08,0
Cyprus,0,6.85,1,0
Czechia,1,6.91,1.03,0.934
Democratic Republic of Congo,0,1.887,1.11,0
Denmark,0,6.388,0.86,3.453
Djibouti,2,157.894,1.04,0
Dominica,0,0,0,0
Dominican Republic,0,26.549,1.08,0
Ecuador,0,31.287,1.1,0
Egypt,0,10.544,1.26,0
El Salvador,0,8.017,1.16,0
Equatorial Guinea,1,0,0.39,0
Eritrea,0,0,0,0
Estonia,1,7.538,1.05,0.754
Eswatini,0,0.862,1.22,0
Ethiopia,0,1.235,1.6,0
Fiji,0,0,0,0
Finland,1,4.332,0.71,1.263
France,0,5.393,1.11,18.062
Gabon,0,44.48,1.11,0
Gambia,0,0.414,0,0
Georgia,0,1.003,0.89,0
Germany,0,2.888,0.81,0
Ghana,0,8.078,1.23,0
Greece,0,0,1.15,0
Grenada,1,0,0,0
Guatemala,0,9.712,1.29,0
Guinea,0,3.579,1.1,0
Guinea-Bissau,1,0,0.8,0
Guyana,0,0,0.59,0
Haiti,0,24.644,1.28,0
Honduras,0,16.457,1.27,0
Hungary,0,1.035,0.72,0
Iceland,1,0,0.42,0
India,0,6.98,1.25,0
Indonesia,0,2.501,1.12,0
International,1,0,0,0
Iran,0,37.313,1.3,0
Iraq,0,19.417,1.9,0
Ireland,0,9.113,0.53,7.493
Israel,0,11.207,1.73,0
Italy,1,5.309,0.65,5.838
Jamaica,0,0.338,0.9,0
Japan,1,0.237,0.91,0
Jordan,0,0.196,1.14,0
Kazakhstan,0,26.416,1.1,0
Kenya,0,2.287,1.33,0
Kosovo,0,6.726,1.37,0
