country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,2,1.259,1.41,0
Albania,2,2.78,1,0
Algeria,2,1.984,1.05,0
Andorra,1,168.252,0.72,0
Angola,2,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,2,1.527,1.28,0
Armenia,0,9.449,1.13,0
Australia,2,2.51,0.44,0
Austria,2,20.541,0.52,26.981
Azerbaijan,2,4.833,0.91,0
Bahamas,0,5.086,0,0
Bahrain,1,98.144,1.36,0
Bangladesh,2,1.269,2.47,0
Barbados,2,0,0,0
Belarus,0,38.31,1.89,0
Belgium,1,45.731,1.09,103.886
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,2,2.056,1.39,0
Bosnia and Herzegovina,2,14.021,1.17,0
Botswana,2,0,0,0
Brazil,2,8.619,1.61,0
Brunei,2,0,0.16,0
Bulgaria,2,4.03,1.18,4.174
Burkina Faso,2,1.483,0.95,0
Burundi,0,0,0,0
Cambodia,2,0,0.1,0
Cameroon,2,1.055,1.27,0
Canada,2,35.901,1.3,0
Cape Verde,2,1.799,0,0
Central African Republic,2,0,0,0
Chad,2,0,0,0
Chile,2,20.506,1.37,0
China,2,0.065,1.02,0
Colombia,2,2.496,1.3,0
Comoros,0,0,0,0
Congo,2,0,0,0
Costa Rica,2,1.178,0.84,0
Cote d'Ivoire,2,0.455,1.26,0
Croatia,2,13.154,0.82,0
Cuba,2,3.532,1.23,0
Cyprus,2,37.676,0.86,0
Czechia,2,4.856,0.72,7.751
Democratic Republic of Congo,2,0.067,1.12,0
Denmark,2,33.321,1.04,16.056
Djibouti,1,65.789,1.69,0
Dominica,2,0,0,0
Dominican Republic,2,10.97,1.37,0
Ecuador,2,4.194,1.29,0
Egypt,2,1.564,1.36,0
El Salvador,2,1.85,1.16,0
Equatorial Guinea,0,14.255,0,0
Eritrea,2,0,0,0
Estonia,2,30.907,0.84,7.538
Eswatini,2,0,0,0
Ethiopia,2,0.07,0,0
Fiji,2,0,0,0
Finland,2,17.507,1.1,13.536
France,1,76.156,1.32,101.098
Gabon,2,0,0,0
Gambia,2,0,0,0
Georgia,2,7.019,1.31,0
Germany,2,15.361,0.8,0
Ghana,2,2.253,1.42,0
Greece,2,2.399,0.86,0
Grenada,0,0,0,0
Guatemala,2,0.614,1.25,0
Guinea,2,3.35,1.14,0
Guinea-Bissau,0,0,0,0
Guyana,2,2.543,0,0
Haiti,2,0,0,0
Honduras,2,1.01,1.26,0
Hungary,2,5.59,1.19,0
Iceland,2,26.374,0.44,23.443
India,2,0.749,1.65,0
Indonesia,2,1.031,1.35,0
International,0,0,0,0
Iran,2,18.74,0.78,0
Iraq,2,0.547,0.75,0
Ireland,1,168.496,1.36,30.175
Israel,2,46.098,0.89,0
Italy,1,49.155,0.84,52.694
Jamaica,2,0,0,0
Japan,2,3.985,1.25,0
Jordan,2,0.588,0.66,0
Kazakhstan,2,7.509,1.48,0
Kenya,2,0.149,0.94,0
Kosovo,2,7.761,1.23,0
Kuwait,2,12.879,1.23,0
Kyrgyzstan,2,1.686,1.15,0
Laos,2,0,0,0
Latvia,2,1.06,0.9,0
Lebanon,2,1.319,0.98,0
Lesotho,2,0,0,0
Liberia,2,0,0,0
Libya,2,1.31,0,0
Liechtenstein,0,0,0,0
Lithuania,2,2.939,0.92,0
Luxembourg,2,23.963,0.69,54.315
Madagascar,2,0.072,0.54,0
Malawi,2,0,0,0
Malaysia,2,5.252,0.88,0
Maldives,0,0,0,0
Mali,2,1.037,1.09,0
Malta,0,20.383,0.76,6.794
Marshall Islands,0,0,0,0
Mauritania,2,0,0,0
Mauritius,2,0,0.44,0
Mexico,2,2.986,1.58,0
Moldova,2,55.033,1.32,0
Monaco,2,0,0,0
Mongolia,2,3.965,0,0
Montenegro,0,14.33,0.6,0
Morocco,2,3.387,1.4,0
Mozambique,2,0.224,0,0
Myanmar,2,0.018,0,0
Namibia,2,0,0,0
Nepal,2,0.069,0,0
Netherlands,1,50.774,1,69.799
New Zealand,2,3.525,0.56,0
Nicaragua,0,0,0,0
Niger,2,1.694,0.93,0
Nigeria,2,0.146,1.5,0
North Macedonia,0,25.919,1.2,0
Norway,2,3.689,0.72,0
Oman,2,16.841,1.31,0
Pakistan,2,2.472,1.46,0
Palestine,2,2.156,0.76,0
Panama,2,16.687,1.23,0
Papua New Guinea,2,0,0,0
Paraguay,2,1.682,1.04,0
Peru,2,15.741,1.74,0
Philippines,2,2.656,1.12,0
Poland,2,7.081,1.11,0
Portugal,1,50.408,0.96,21.379
Qatar,1,68.378,1.41,0
Romania,2,12.787,1.16,12.527
Russia,2,19.009,2,0
Rwanda,2,0.54,0.6,0
Saint Kitts and Nevis,0,37.6,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,1,441.982,1.11,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,2,12.495,1.67,0
Senegal,2,0.478,1.2,0
Serbia,2,60.4,1.4,0
Seychelles,2,0,0,0
Sierra Leone,2,0.125,0,0
Singapore,2,57.091,2.12,0
Slovakia,2,12.089,1.12,0
Slovenia,2,3.848,0.72,16.836
Solomon Islands,2,0,0,0
Somalia,2,0,0,0
South Africa,2,2.411,1.43,0
South Korea,2,0.527,0.49,0
South Sudan,2,0,0,0
Spain,2,52.23,1.04,0
Sri Lanka,2,0.747,1.19,0
Sudan,2,0.068,0,0
Suriname,2,0,0,0
Sweden,2,47.429,1.27,0
Switzerland,2,28.655,0.74,0
Syria,2,0.229,0,0
Taiwan,0,0,0.48,0
Tajikistan,0,0,0,0
Tanzania,2,0.067,0,0
Thailand,2,0.487,0.8,0
Timor,2,1.517,0,0
Togo,2,0,0,0
Trinidad and Tobago,2,0,0.11,0
Tunisia,2,1.777,0.89,0
Turkey,2,48.163,1.15,0
Uganda,2,0.022,0,0
Ukraine,2,6.174,1.62,0
United Arab Emirates,2,41.657,1.46,0
United Kingdom,1,64.049,1.06,47.639
United States,1,86.295,1.08,42.414
Uruguay,2,2.591,0.97,0
Uzbekistan,2,4.99,1.44,0
Vanuatu,2,0,0,0
Vatican,0,0,0,0
Venezuela,2,0,0.98,0
Vietnam,2,0.01,0.34,0
Yemen,0,0,0,0
Zambia,2,0,0,0
Zimbabwe,2,0,0,0
