country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,0.976,1.42,0
Albania,0,9.73,1.09,0
Algeria,0,1.574,1.15,0
Andorra,2,452.986,0.85,0
Angola,0,0.122,0,0
Antigua and Barbuda,1,0,0,0
Argentina,0,0,1.4,0
Armenia,1,17.548,1.16,0
Australia,0,5.373,0.77,0
Austria,0,29.979,0.73,27.092
Azerbaijan,0,6.214,1.59,0
Bahamas,1,0,0,0
Bahrain,0,7.052,1.34,0
Bangladesh,0,0.109,0,0
Barbados,0,13.919,0,0
Belarus,1,12.911,2.33,0
Belgium,2,108.718,1.4,109.322
Belize,0,2.515,0,0
Benin,0,0.495,0,0
Bhutan,0,0,0,0
Bolivia,0,1.542,1.31,0
Bosnia and Herzegovina,0,9.144,1.17,0
Botswana,0,0.85,0,0
Brazil,0,3.623,1.83,0
Brunei,0,0,0.17,0
Bulgaria,0,4.03,1.09,0
Burkina Faso,0,1.292,0.96,0
Burundi,1,0,0,0
Cambodia,0,0,0.13,0
Cameroon,0,3.579,1.3,0
Canada,0,73.605,1.64,0
Cape Verde,0,0,0,0
Central African Republic,0,0,0,0
Chad,1,0,0,0
Chile,0,16.217,1.59,0
China,0,0.041,0.85,0
Colombia,0,1.553,1.53,0
Comoros,1,0,0,0
Congo,0,4.168,0,0
Costa Rica,0,3.73,0.95,0
Cote d'Ivoire,0,0.607,1.3,0
Croatia,0,13.641,0.99,0
Cuba,0,2.825,1.41,0
Cyprus,0,22.834,1.12,0
Czechia,0,10.739,1.08,7.657
Democratic Republic of Congo,0,0,1.12,0
Denmark,0,50.413,1.23,23.825
Djibouti,0,9.109,0,0
Dominica,0,0,0,0
Dominican Republic,0,23.691,1.57,0
Ecuador,0,10.259,1.64,0
Egypt,0,1.007,1.56,0
El Salvador,0,0.925,0,0
Equatorial Guinea,1,0,0,0
Eritrea,0,0,0,0
Estonia,0,43.723,1.09,10.554
Eswatini,0,0,0,0
Ethiopia,0,0.043,0,0
Fiji,0,0,0,0
Finland,0,8.122,1.3,13.717
France,2,29.292,1.53,105.081
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,3.008,0.93,0
Germany,0,48.112,1.12,0
Ghana,0,0.29,1.4,0
Greece,0,5.948,1.02,0
Grenada,1,0,0,0
Guatemala,0,0,0,0
Guinea,0,0.761,1.14,0
Guinea-Bissau,1,0,0,0
Guyana,0,1.271,0,0
Haiti,0,0.088,0,0
Honduras,0,0.404,1.26,0
Hungary,0,5.693,1.4,0
Iceland,2,202.198,0.88,32.234
India,0,0.367,2.01,0
Indonesia,0,0.662,1.5,0
International,1,0,0,0
Iran,0,29.562,0.97,0
Iraq,0,2.064,1.29,0
Ireland,2,78.983,1.57,28.15
Israel,0,67.356,1.1,0
Italy,2,71.384,0.91,65.777
Jamaica,0,1.689,0,0
Japan,1,2.775,1.74,0
Jordan,0,2.156,0.78,0
Kazakhstan,0,2.823,1.51,0
Kenya,0,0.298,0.83,0
