country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,2,0,0,0.848
Albania,4,0,0.695,52.818
Algeria,0,0,0.16,9.327
Andorra,9,0,0,271.792
Angola,2,0,0.03,0.73
Antigua and Barbuda,7,0,0,0
Argentina,9,0.434,4.713,180.526
Armenia,4,0,2.025,53.32
Australia,0,0,0.51,7.647
Austria,8,1.551,0.111,36.752
Azerbaijan,5,0,0.197,15.978
Bahamas,9,0,10.172,236.492
Bahrain,9,0,1.175,210.392
Bangladesh,5,0.079,0.237,14.579
Barbados,1,0,0,3.48
Belarus,5,0,0.529,17.038
Belgium,4,1.796,0.777,61.779
Belize,3,0,0,108.143
Benin,7,0,0,0
Bhutan,2,0,0,1.296
Bolivia,3,0.222,5.226,117.365
Bosnia and Herzegovina,3,0,3.353,111.862
Botswana,7,0,0,0
Brazil,3,0,4.959,142.807
Brunei,7,0,0,0
Bulgaria,5,0.985,1.007,24.322
Burkina Faso,7,0,0,0
Burundi,7,0,0,0.336
Cambodia,7,0,0,0
Cameroon,7,0,0,0
Canada,5,1.586,0.344,18.388
Cape Verde,4,0.653,0,79.138
Central African Republic,7,0,0,0
Chad,7,0,0,0.548
Chile,3,1.5,2.72,100.438
China,7,0,0,0.034
Colombia,3,0.602,7.566,165.458
Comoros,7,0,0,0
Congo,7,0,0,0
Costa Rica,9,0.361,1.374,207.887
Cote d'Ivoire,1,0.036,0,2.313
Croatia,4,0.401,0.244,64.551
Cuba,2,0.403,0.088,1.501
Cyprus,0,3.655,0,12.559
Czechia,8,0.907,0.467,47.25
Democratic Republic of Congo,7,0.003,0.011,0.502
Denmark,0,6.164,0,12.431
Djibouti,0,0,1.012,8.097
Dominica,7,0,0,0
Dominican Republic,4,0.363,2.581,79.001
Ecuador,4,0.156,2.721,55.149
Egypt,2,0,0.186,1.202
El Salvador,8,0.382,0.925,36.385
Equatorial Guinea,5,0,0,24.234
Eritrea,7,0,0,0
Estonia,0,1.046,0,12.815
Eswatini,5,0,0,15.515
Ethiopia,5,0.2,0.148,15.909
Fiji,7,0.059,0,0
Finland,6,2.915,0,5.234
France,9,2.527,1.134,236.329
Gabon,8,0,0,31.001
Gambia,5,0,1.241,14.897
Georgia,1,0,0,3.76
Germany,5,0,0.036,20.732
Ghana,1,0.052,0,2.092
Greece,5,0,0.288,19.572
Grenada,7,0,0,0
Guatemala,4,0.188,1.451,53.473
Guinea,6,0,0,4.264
Guinea-Bissau,7,0,0,0
Guyana,8,0,1.271,44.498
Haiti,2,0,0,1.666
Honduras,4,0,1.313,56.741
Hungary,6,0.347,0.207,5.383
Iceland,8,1.723,0,29.304
India,4,0.584,0.685,50.635
Indonesia,0,0,0.3,8.032
International,7,0,0,0
Iran,5,0,1.333,26.264
Iraq,3,0,1.865,106.607
Ireland,5,2.649,0,15.999
Israel,3,3.145,1.502,172.491
Italy,5,1.191,0.149,15.663
Jamaica,5,0.365,0.338,18.912
Japan,0,0.173,0.142,8.294
Jordan,1,0,0,3.332
Kazakhstan,4,0.816,0.32,52.139
Kenya,6,0,0.298,5.988
Kosovo,4,0,5.174,83.817
Kuwait,3,0.827,0.468,117.549
Kyrgyzstan,8,0,-67.901,30.042
Laos,7,0,0,0
Latvia,2,0.849,0,1.59
Lebanon,4,0,0.44,92.009
Lesotho,0,0,0,8.869
Liberia,7,0,0,0.198
Libya,4,0.373,1.019,60.251
Liechtenstein,7,0,0,0
Lithuania,0,1.693,0.367,13.224
Luxembourg,3,12.521,0,107.033
Madagascar,1,0.017,0.036,2.311
Malawi,1,0.023,0.052,2.091
Malaysia,7,0.255,0,0.278
Maldives,9,2.769,3.7,358.899
Mali,2,0,0,1.037
Malta,4,5.232,2.265,81.533
Marshall Islands,7,0,0,0
Mauritania,0,0,0,7.958
Mauritius,7,0,0,0
Mexico,8,0.111,3.909,45.977
Moldova,3,0,1.983,135.599
Monaco,3,0,0,101.926
Mongolia,7,0,0,0
Montenegro,4,0,1.592,76.426
Morocco,8,0.601,1.138,43.592
Mozambique,1,0.052,0,2.56
Myanmar,2,0.028,0,0.662
Namibia,3,0.542,0.394,123.971
Nepal,8,0.469,0.378,28.761
Netherlands,8,0,0.233,35.775
New Zealand,2,2.49,0,1.244
Nicaragua,7,0,0,0
Niger,7,0,0,0.124
Nigeria,2,0.018,0.019,1.649
North Macedonia,4,0.832,1.44,54.719
Norway,5,2.817,0,14.388
Oman,7,0,0,0
Pakistan,1,0.116,0.045,2.852
Palestine,4,0,0.392,63.512
Panama,3,1.001,3.476,124.456
Papua New Guinea,7,0,0,0
Paraguay,3,0.442,1.682,100.806
Peru,9,0.269,6.066,262.011
Philippines,8,0.35,0.52,39.633
Poland,5,0.757,0.343,23.859
Portugal,5,1.454,0.392,21.478
Qatar,4,1.683,0,89.203
Romania,4,1.318,2.183,72.358
Russia,8,0,0.617,33.152
Rwanda,6,0.44,0,4.864
Saint Kitts and Nevis,7,0,0,0
Saint Lucia,7,0,0,0
Saint Vincent and the Grenadines,7,0,0,0
Samoa,7,0,0,0
San Marino,7,0,0,0
Sao Tome and Principe,0,0,0,13.689
Saudi Arabia,8,1.789,0.919,34.842
Senegal,0,0.085,0.06,7.764
Serbia,5,1.707,0.441,24.836
Seychelles,7,0,0,0
Sierra Leone,7,0,0,0.376
Singapore,5,0,0,19.999
Slovakia,5,0.702,0,22.529
Slovenia,5,0.579,0.481,18.279
Solomon Islands,7,0,0,0
Somalia,7,0,0,0
South Africa,4,0.408,3.794,57.293
South Korea,6,0.331,0,6.476
South Sudan,7,0,0,0.268
Spain,3,0,0.535,174.271
Sri Lanka,2,0.129,0,1.074
Sudan,2,0,0,0.935
Suriname,3,0,1.705,160.236
Sweden,8,0.927,0.099,29.507
Switzerland,8,1.154,0.231,35.357
Syria,1,0,0.057,3.714
Taiwan,7,0.009,0,0.042
Tajikistan,6,0,0,3.984
Tanzania,7,0,0,0
Thailand,7,0.062,0,0.014
Timor,7,0,0,0
Togo,1,0.083,0,3.261
Trinidad and Tobago,4,0.332,0,69.311
Tunisia,6,0.124,0.085,5.415
Turkey,5,1.094,0.261,14.264
Uganda,1,0,0,2.142
Ukraine,8,0.499,0.526,48.887
United Arab Emirates,8,8.31,0.101,39.533
United Kingdom,5,2.656,0.029,15.614
United States,3,2.84,3.359,145.778
Uruguay,1,0,0.288,2.879
Uzbekistan,5,0,0.239,15.746
Vanuatu,7,0,0,0
Vatican,7,0,0,0
Venezuela,5,0,0.211,22.929
Vietnam,7,0,0,0.021
Yemen,7,0,0.034,0.235
Zambia,0,0.081,0.163,13.871
Zimbabwe,6,0.122,0.067,4.71
