country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,9,0,0.154,1.207
Albania,5,0,2.085,48.301
Algeria,1,0,0.296,12.565
Andorra,6,0,0,0
Angola,9,0,0.091,1.552
Antigua and Barbuda,6,0,0,0
Argentina,2,0.398,2.81,158.134
Armenia,3,0,0.675,97.191
Australia,7,2.763,0.314,17.451
Austria,1,0,0,9.438
Azerbaijan,7,0,0.296,19.035
Bahamas,3,0,0,91.545
Bahrain,2,0,1.763,224.497
Bangladesh,1,0.068,0.2,16.115
Barbados,4,0,0,3.48
Belarus,1,0,0.317,13.334
Belgium,8,2.276,0.604,44.005
Belize,5,0,0,72.934
Benin,9,0,0,1.815
Bhutan,6,0,0,0
Bolivia,2,0.295,5.568,152.488
Bosnia and Herzegovina,3,0,1.829,85.954
Botswana,6,0,0,0
Brazil,2,0,6.76,268.875
Brunei,6,0,0,0
Bulgaria,8,0,1.295,43.607
Burkina Faso,6,0,0,0
Burundi,6,0,0,0
Cambodia,6,0,0,0
Cameroon,6,0,0,0
Canada,1,0.956,0.132,9.909
Cape Verde,3,0.604,1.799,104.319
Central African Republic,6,0,0,0
Chad,6,0,0,0.061
Chile,3,1.119,2.459,92.121
China,6,0,0.001,0.085
Colombia,2,0.752,6.073,210.975
Comoros,6,0,0,0
Congo,6,0,0,0
Costa Rica,3,0.353,1.963,113.857
Cote d'Ivoire,9,0,0,2.123
Croatia,1,0.288,0,14.128
Cuba,9,0.342,0,2.207
Cyprus,7,3.576,0,17.125
Czechia,7,0.649,0.467,22.691
Democratic Republic of Congo,6,0.005,0,0.837
Denmark,7,4.295,0,21.753
Djibouti,3,0,0,82.996
Dominica,6,0,0,0
Dominican Republic,3,0.322,0.83,125.831
Ecuador,5,0.122,2.211,51.182
Egypt,9,0,0.176,1.202
El Salvador,5,0.376,1.85,67.682
Equatorial Guinea,6,0,0,0
Eritrea,6,0,0,0
Estonia,7,0.86,0,16.585
Eswatini,8,0,3.448,45.683
Ethiopia,4,0.064,0.113,3.993
Fiji,6,0.189,0,0
Finland,4,1.541,0,5.234
France,0,1.633,0,0
Gabon,5,0,0,63.35
Gambia,5,0,0.828,52.966
Georgia,4,0,0,3.76
Germany,1,0,0.191,15.337
Ghana,8,0.07,0.257,40.646
Greece,1,0.947,0.096,11.417
Grenada,6,0,0,0
Guatemala,5,0.186,1.954,63.855
Guinea,4,0,0.076,6.548
