country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,1,0,0.077,2.466
Albania,8,0,1.042,52.471
Algeria,5,0,0.137,6.59
Andorra,9,0,0,595.354
Angola,4,0,0.091,0.487
Antigua and Barbuda,4,0,0,0
Argentina,2,0.465,5.974,203.891
Armenia,6,0,1.012,20.923
Australia,1,1.415,0.314,2.039
Austria,3,1.155,1.11,32.199
Azerbaijan,7,0,0.296,8.778
Bahamas,0,0,5.086,101.717
Bahrain,9,0,0.588,388.462
Bangladesh,7,0.094,0.225,13.371
Barbados,1,0,0,3.48
Belarus,6,0,0.529,18.202
Belgium,3,1.996,0.173,34.686
Belize,9,0,2.515,284.19
Benin,4,0,0,0
Bhutan,5,0,0,6.48
Bolivia,0,0.219,141.865,71.532
Bosnia and Herzegovina,3,0,2.743,30.48
Botswana,8,0,0.425,52.729
Brazil,8,0,1.458,48.33
Brunei,4,0,0,0
Bulgaria,7,0,0.144,8.203
Burkina Faso,4,0,0.048,0.526
Burundi,4,0,0,0.336
Cambodia,4,0,0,0
Cameroon,4,0,0,0
Canada,7,1.612,0.053,10.731
Cape Verde,8,0.656,0,50.361
Central African Republic,4,0,0,0
Chad,4,0,0,0.061
Chile,0,1.621,3.139,92.278
China,4,0,0.001,0.014
Colombia,0,0.43,3.99,104.691
Comoros,4,0,0,0
Congo,8,0,0,47.661
Costa Rica,9,0.538,6.282,365.127
Cote d'Ivoire,5,0.029,0,4.284
Croatia,3,0.437,0.731,28.5
Cuba,5,0.669,0.088,3.796
Cyprus,1,2.339,1.142,1.142
Czechia,8,1.084,0.093,52.293
Democratic Republic of Congo,4,0.003,0,0.257
Denmark,3,8.254,0.173,39.709
Djibouti,4,0,0,0
Dominica,4,0,0,0
Dominican Republic,8,0.23,1.751,52.084
Ecuador,4,0.042,218.329,-450.772
Egypt,1,0,0.107,1.739
El Salvador,6,0.375,0.771,16.188
Equatorial Guinea,7,0,0,9.266
Eritrea,4,0,0,0
Estonia,7,1.66,0,12.061
Eswatini,3,0,0,26.72
Ethiopia,7,0.169,0.13,8.49
Fiji,4,0.013,0,0
Finland,5,1.315,0,6.497
France,9,3.743,0.031,304.963
Gabon,1,0,0,3.145
Gambia,4,0,0,0
Georgia,7,0,0,8.523
