country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,7,0,1.079,16.903
Albania,6,0,0.347,22.934
Algeria,2,0,0.274,2.668
Andorra,7,0,0,12.942
Angola,8,0,0.03,0.335
Antigua and Barbuda,8,0,0,0
Argentina,5,0.184,0.774,43.323
Armenia,9,0,2.362,224.417
Australia,1,2.015,0,0.706
Austria,2,0.59,0.111,2.221
Azerbaijan,5,0,0.592,33.336
Bahamas,8,0,0,0
Bahrain,9,0,3.526,275.626
Bangladesh,6,0.099,0.231,23.092
Barbados,8,0,0,0
Belarus,4,0,0.741,66.142
Belgium,0,1.204,0.69,8.974
Belize,8,0,0,0
Benin,2,0,0.165,2.062
Bhutan,8,0,0,0
Bolivia,4,0.122,1.542,69.733
Bosnia and Herzegovina,0,0,0,10.058
Botswana,8,0,0,0
Brazil,3,0,5.824,107.099
Brunei,8,0,0,0
Bulgaria,6,0,0.864,18.997
Burkina Faso,8,0,0,0
Burundi,8,0,0,0
Cambodia,8,0,0,0.06
Cameroon,8,0,0,0
Canada,0,1.085,1.298,10.227
Cape Verde,4,0.309,0,55.757
Central African Republic,0,0,0.207,8.489
Chad,8,0,0,0
Chile,9,0.889,11.822,234.095
China,8,0,0,0.025
Colombia,4,0.302,1.69,62.32
Comoros,7,0,2.3,14.949
Congo,8,0,0,0
Costa Rica,7,0.088,0,13.349
Cote d'Ivoire,7,0.06,0.038,14.444
Croatia,2,0.069,0,2.679
Cuba,2,0.225,0.088,1.324
Cyprus,1,1.195,1.142,0
Czechia,7,0.411,0.093,11.019
Democratic Republic of Congo,2,0.007,0.022,2.043
Denmark,0,3.024,0.345,8.632
Djibouti,7,0,0,12.146
Dominica,8,0,0,0
Dominican Republic,5,0.203,0.184,49.779
Ecuador,5,0.083,4.534,34.404
Egypt,7,0,0.86,11.902
El Salvador,6,0.373,0.463,20.659
Equatorial Guinea,8,0,0,0
Eritrea,2,0,0,3.102
Estonia,1,1.188,0,0
Eswatini,6,0,0,19.825
Ethiopia,2,0.042,0.017,1.696
Fiji,8,0,0,0
Finland,8,0.373,0,0.361
France,0,0.582,0.429,7.155
Gabon,5,0,0.899,49.871
Gambia,8,0,0,0.828
Georgia,8,0,0,1.253
Germany,7,0,0.286,14.478
Ghana,7,0.115,0,10.91
Greece,2,0.519,0.096,2.303
Grenada,8,0,0,0
Guatemala,5,0.107,0.949,34.439
Guinea,7,0,0,13.173
Guinea-Bissau,8,0,0,0
Guyana,7,0,0,15.256
Haiti,6,0,0.175,19.996
Honduras,5,0,0.707,44.424
Hungary,8,0.358,0.104,0.104
Iceland,0,0.114,0,5.861
India,0,0.12,0.243,9.845
Indonesia,0,0.038,0.23,4.866
International,8,0,0,0
Iran,6,0.294,1.036,30.907
Iraq,5,0.263,2.064,36.373
Ireland,2,0.68,0.81,2.835
Israel,5,2.009,0,34.891
Italy,0,0.962,1.092,5.475
Jamaica,2,0.388,0,4.052
Japan,8,0.049,0,0.459
Jordan,2,0,0,1.372
Kazakhstan,1,1.468,0.16,0
Kenya,2,0,0.186,3.961
Kosovo,5,0,0,39.839
Kuwait,3,0.772,0.468,126.681
Kyrgyzstan,8,0,0,0
Laos,8,0,0,0
Latvia,2,1.013,0,2.121
Lebanon,8,0,0,0.879
Lesotho,8,0,0,0
Liberia,0,0,0,5.141
Libya,2,0.198,0,1.455
Liechtenstein,8,0,0,0
Lithuania,2,1.887,0,2.204
Luxembourg,0,9.844,0,9.585
Madagascar,8,0,0.036,0.903
Malawi,8,0.023,0.105,1.045
Malaysia,8,0.162,0,0.433
Maldives,6,2.094,0,31.45
Mali,8,0,0,0.79
Malta,2,1.93,0,2.265
Marshall Islands,8,0,0,0
Mauritania,5,0,0.43,43.229
Mauritius,8,0,0,0
Mexico,5,0.092,5.173,43.914
Moldova,4,0,2.727,92.713
Monaco,8,0,0,0
Mongolia,8,0,0,0.915
Montenegro,0,0,0,6.369
Morocco,2,0.466,0,2.086
Mozambique,8,0.025,0,0.352
Myanmar,8,0.035,0,0.441
Namibia,8,0.098,0,1.181
Nepal,6,0.197,0.069,23.029
Netherlands,0,0,0.233,6.711
New Zealand,1,1.309,0,0
Nicaragua,8,0,0,0
Niger,8,0,0,0
Nigeria,2,0,0.029,3.614
North Macedonia,4,0.647,2.88,87.358
Norway,2,0.84,0.184,2.951
Oman,3,0.46,0.587,144.714
Pakistan,6,0.141,0.616,22.382
Palestine,0,0,0,8.821
Panama,3,0.568,1.159,174.749
Papua New Guinea,8,0,0,0
Paraguay,2,0.206,0,3.084
Peru,3,0.143,6.187,105.545
Philippines,0,0.102,0.073,5.119
Poland,0,0.552,0.793,8.297
Portugal,5,1.343,0.098,40.896
Qatar,9,1.69,1.388,439.769
Romania,7,0.642,1.144,16.634
Russia,5,2.263,1.247,53.257
Rwanda,8,0.197,0,0.54
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
San Marino,8,0,0,0
Sao Tome and Principe,6,0,0,22.814
Saudi Arabia,3,0.747,1.379,136.641
Senegal,0,0.084,0.179,6.331
Serbia,7,0.886,0.147,13.814
Seychelles,8,0,0,0
Sierra Leone,2,0,0,2.883
Singapore,5,0,0,43.929
Slovakia,8,0.148,0,0.183
Slovenia,2,0.434,0,3.848
Solomon Islands,8,0,0,0
Somalia,2,0,0,1.447
South Africa,4,0.35,1.062,58.642
South Korea,8,0.247,0,0.956
South Sudan,2,0,0.089,1.519
Spain,7,0,0,12.512
Sri Lanka,8,0.064,0,1.074
Sudan,8,0,0,0
Suriname,6,0,1.705,27.274
Sweden,3,0,2.871,148.13
Switzerland,2,0.974,0,1.502
Syria,8,0,0,0.514
Taiwan,8,0.006,0,0.042
Tajikistan,0,0,0,6.081
Tanzania,8,0,0,0
Thailand,8,0.117,0,0.086
Timor,8,0,0,0
Togo,8,0.038,0,0.362
Trinidad and Tobago,8,0.015,0,0
Tunisia,8,0.129,0,0.338
Turkey,7,0.574,0.249,15.461
Uganda,8,0,0,0.197
Ukraine,6,0,0.526,19.367
United Arab Emirates,5,3.474,0.303,39.23
United Kingdom,7,1.275,0.987,15.025
United States,4,2.132,2.139,84.19
Uruguay,8,0.406,0,0.288
Uzbekistan,2,0,0,2.54
Vanuatu,8,0,0,0
Vatican,8,0,0,0
Venezuela,2,0,0,3.411
Vietnam,8,0,0,0.072
Yemen,8,0,0.134,0.235
Zambia,8,0.02,0,0.218
Zimbabwe,2,0.035,0,4.171
