country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,6,0,0,27.78
Albania,1,0,0,8.33
Algeria,1,0,0,5.56
Andorra,4,0,0,0
Angola,1,0,0,8.33
Antigua and Barbuda,4,0,0,0
Argentina,7,0.029,0,11.11
Armenia,4,0,0,0
Australia,6,0,0,19.44
Austria,7,0.012,0,11.11
Azerbaijan,6,0,0,30.56
Bahamas,4,0,0,0
Bahrain,6,0,0,30.56
Bangladesh,7,0,0,13.89
Barbados,7,0,0,16.67
Belarus,4,0,0,0
Belgium,7,0,0,13.89
Belize,7,0,0,11.11
Benin,7,0,0,13.89
Bhutan,7,0,0,13.89
Bolivia,3,0,0,62.04
Bosnia and Herzegovina,7,0,0,11.11
Botswana,7,0,0,13.89
Brazil,7,0,0,11.11
Brunei,6,0,0,19.44
Bulgaria,6,0,0,21.3
Burkina Faso,4,0,0,0
Burundi,7,0,0,11.11
Cambodia,4,0,0,0
Cameroon,4,0,0,0
Canada,2,0,0,2.78
Cape Verde,6,0,0,19.44
Central African Republic,4,0,0,0
Chad,4,0,0,0
Chile,4,0,0,0
China,3,0,0.26,81.02
Colombia,7,0,0,12.04
Comoros,4,0,0,0
Congo,1,0,0,5.56
Costa Rica,7,0,0,11.11
Cote d'Ivoire,4,0,0,0
Croatia,7,0,0,13.89
Cuba,7,0,0,13.89
Cyprus,7,0,0,11.11
Czechia,6,0.038,0,19.44
Democratic Republic of Congo,2,0,0,2.78
Denmark,6,0.019,0,20.37
Djibouti,4,0,0,0
Dominica,4,0,0,0
Dominican Republic,7,0,0,11.11
Ecuador,1,0,0,8.33
Egypt,4,0,0,0
El Salvador,6,0,0,19.44
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,4,0.012,0,0
Eswatini,7,0,0,13.89
Ethiopia,2,0,0,2.78
Fiji,6,0,0,19.44
Finland,6,0.016,0,19.44
France,3,0,2.58,43.98
Gabon,7,0,0,13.89
Gambia,7,0,0,11.11
Georgia,3,0,0,41.67
Germany,6,0,3.07,25
Ghana,2,0,0,2.78
Greece,6,0,0,28.7
Grenada,4,0,0,0
Guatemala,7,0,0,11.11
Guinea,7,0,0,11.11
Guinea-Bissau,4,0,0,0
Guyana,7,0,0,13.89
Haiti,1,0,0,8.33
Honduras,7,0,0,11.11
Hungary,7,0,0,11.11
Iceland,7,0.113,0,16.67
India,6,0,0,26.85
Indonesia,6,0,0,37.04
International,4,0,0,0
Iran,3,0,2.36,42.59
Iraq,3,0,0,52.78
Ireland,7,0,0,11.11
Israel,6,0.015,0,33.33
Italy,3,0.157,2.59,74.54
Jamaica,6,0,0,19.44
Japan,3,0.028,1.57,43.52
Jordan,7,0,0,11.11
Kazakhstan,1,0,0,8.33
Kenya,7,0,0,13.89
Kosovo,4,0,0,0
Kuwait,6,0,0,27.78
Kyrgyzstan,6,0,0,22.22
Laos,4,0,0,0
Latvia,1,0,0,8.33
Lebanon,6,0,0,25
Lesotho,1,0,0,5.56
Liberia,1,0,0,5.56
Libya,1,0,0,5.56
Liechtenstein,4,0,0,0
Lithuania,7,0,0,11.11
Luxembourg,7,0.072,0,11.11
Madagascar,4,0,0,0
Malawi,1,0,0,5.56
Malaysia,6,0.046,0,19.44
Maldives,4,0,0,0
Mali,4,0,0,0
Malta,4,0,0,0
Marshall Islands,4,0,0,0
Mauritania,1,0,0,5.56
Mauritius,4,0,0,0
Mexico,0,0.003,0,2.78
Moldova,1,0,0,8.33
Monaco,6,0,0,27.78
Mongolia,3,0,0,57.41
Montenegro,4,0,0,0
Morocco,1,0.095,0,5.56
Mozambique,1,0,0,8.33
Myanmar,2,0,0,2.78
Namibia,2,0,0,2.78
Nepal,6,0,0,22.22
Netherlands,4,0,0,0
New Zealand,6,0,0,19.44
Nicaragua,1,0,0,8.33
Niger,4,0,0,0
Nigeria,7,0,0,11.11
North Macedonia,4,0,0,0
Norway,7,0.039,0,11.11
Oman,6,0,0,19.44
Pakistan,6,0,0,28.7
Palestine,3,0,0,55.56
Panama,1,0,0,8.33
Papua New Guinea,7,0,0,13.89
Paraguay,1,0,0,5.56
Peru,7,0,0,11.11
Philippines,6,0,0,25
Poland,7,0,0,11.11
Portugal,7,0,0,11.11
Qatar,7,0,0,13.89
Romania,7,0,0,16.67
Russia,6,0,0,22.22
Rwanda,7,0,0,13.89
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,6,0,0,33.33
Sao Tome and Principe,4,0,0,0
Saudi Arabia,7,0,0,11.11
Senegal,4,0,0,0
Serbia,7,0,0,13.89
Seychelles,7,0,0,16.67
Sierra Leone,4,0,0,0
Singapore,6,0,0.73,25
Slovakia,7,0,0,11.11
Slovenia,7,0,0,11.11
Solomon Islands,1,0,0,8.33
Somalia,4,0,0,0
South Africa,7,0.018,0,13.89
South Korea,3,0.049,1.1,55.56
South Sudan,1,0,0,5.56
Spain,7,0,2.55,11.11
Sri Lanka,7,0,0,11.11
Sudan,1,0,0,5.56
Suriname,4,0,0,0
Sweden,4,0,0,0
Switzerland,6,0.031,0,25
Syria,2,0,0,2.78
Taiwan,6,0.004,0,28.7
Tajikistan,7,0,0,13.89
Tanzania,2,0,0,2.78
Thailand,4,0.001,0,0
Timor,7,0,0,11.11
Togo,4,0,0,0
Trinidad and Tobago,7,0,0,16.67
Tunisia,7,0,0,13.89
Turkey,6,0,0,19.44
Uganda,7,0,0,16.67
Ukraine,7,0,0,11.11
United Arab Emirates,7,0.001,0,15.74
United Kingdom,7,0,1.97,11.11
United States,6,0,3.72,20.37
Uruguay,4,0,0,0
Uzbekistan,7,0,0,16.67
Vanuatu,4,0,0,0
Vatican,4,0,0,0
Venezuela,7,0,0,11.11
Vietnam,3,0,0,47.22
Yemen,4,0,0,0
Zambia,7,0,0,16.67
Zimbabwe,1,0,0,8.33
