country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,5,0,0.79,78.7
Albania,2,0,1.1,62.96
Algeria,3,0,1.13,74.07
Andorra,4,0,0.96,45.37
Angola,5,0,1.14,76.39
Antigua and Barbuda,6,0,0,0
Argentina,5,0.4,1.2,90.74
Armenia,6,0,0.85,0
Australia,3,0.005,1.31,68.06
Austria,7,0.008,1.15,35.19
Azerbaijan,5,0,0.82,96.3
Bahamas,6,0,2.67,0
Bahrain,3,0.043,0.99,69.44
Bangladesh,5,0.231,0.93,80.09
Barbados,4,0,0.41,50.93
Belarus,1,0.017,0.82,16.67
Belgium,4,0.019,1.48,50
Belize,3,0,0,69.44
Benin,7,0,0.95,41.67
Bhutan,2,0,0,62.96
Bolivia,5,0.606,1.06,84.26
Bosnia and Herzegovina,0,0,1.17,56.48
Botswana,0,0,0.86,57.41
Brazil,5,0,1.08,81.02
Brunei,4,0,0,49.07
Bulgaria,7,0.054,1.09,36.11
Burkina Faso,4,0,0.98,45.37
Burundi,1,0,0.67,13.89
Cambodia,7,0,0.36,38.89
Cameroon,2,0,1,60.19
Canada,3,0.011,1.11,67.13
Cape Verde,3,0.109,1.08,68.06
Central African Republic,0,0,0.64,53.7
Chad,3,0,0.81,67.59
Chile,5,0.134,0.88,84.72
China,5,0,1.74,78.24
Colombia,5,0,1.2,87.04
Comoros,6,0,0.68,0
Congo,2,0,0.7,62.04
Costa Rica,3,0,1.24,73.61
Cote d'Ivoire,2,0.156,0.93,60.65
Croatia,7,0.068,1.01,35.19
Cuba,3,0.001,1.59,66.67
Cyprus,4,0.001,1.49,47.22
Czechia,7,0.036,1.33,37.5
Democratic Republic of Congo,0,0.118,1.06,55.56
Denmark,0,0.003,1.28,54.63
Djibouti,4,0,0.71,50.93
Dominica,4,0,0,44.44
Dominican Republic,5,0.352,1.11,78.7
Ecuador,5,0,1.04,81.02
Egypt,2,0,0.72,60.19
El Salvador,5,0.141,1.1,89.81
Equatorial Guinea,6,0,0.27,0
Eritrea,5,0,0.28,89.81
Estonia,1,0.004,1.32,25.93
Eswatini,5,0,1.17,80.56
Ethiopia,5,0.073,1.5,80.56
Fiji,4,0.004,0,51.85
Finland,7,0.003,1.19,35.19
France,4,0.012,1.27,46.3
Gabon,3,0,1.08,66.67
Gambia,7,0,1.48,35.65
Georgia,4,0,1.58,51.85
Germany,0,0,1.2,55.09
Ghana,0,0.139,1.08,52.78
Greece,0,0.005,1.23,57.41
Grenada,6,0,0,0
Guatemala,5,0.435,1.1,96.3
Guinea,3,0,1.09,68.52
Guinea-Bissau,6,0,0.7,0
Guyana,5,0,1.2,77.31
Haiti,1,0,0.9,28.7
Honduras,5,0,1.08,96.3
Hungary,0,0.007,1.26,54.63
Iceland,7,0.01,1.43,39.81
India,5,0.122,1.23,77.78
Indonesia,2,0.129,1.07,62.5
International,6,0,0,0
Iran,0,0.094,1.06,58.8
Iraq,5,0.14,1.08,92.59
Ireland,7,0.003,1.25,38.89
Israel,0,0.065,1.12,54.63
Italy,0,0.005,1.16,58.33
Jamaica,2,0.013,1.29,64.81
Japan,1,0.06,1.49,30.56
Jordan,4,0,1.33,48.15
Kazakhstan,5,0.128,0.9,83.33
Kenya,5,0.124,1.24,81.48
Kosovo,0,0,1.14,54.63
Kuwait,5,0.166,1.02,77.78
Kyrgyzstan,5,0,0.82,76.39
Laos,1,0,0,20.37
Latvia,4,0.002,1.16,50
Lebanon,7,0,1.32,42.59
Lesotho,3,0,1.03,71.3
Liberia,2,0,0.93,64.81
Libya,5,0.079,1.3,90.74
Liechtenstein,6,0,0,0
Lithuania,1,0.006,1.35,31.48
Luxembourg,1,0.009,1.19,23.15
Madagascar,3,0.489,1.13,68.98
Malawi,2,0.233,1.07,60.19
Malaysia,4,0.002,1.23,47.22
Maldives,6,0.045,1.24,0
Mali,4,0,1.02,52.78
Malta,6,0.001,0.77,0
Marshall Islands,6,0,0,0
Mauritania,1,0.087,0.75,29.63
Mauritius,1,0,0.05,16.67
Mexico,3,0.488,1.04,70.83
Moldova,0,0,1.11,57.41
Monaco,6,0,1.07,0
Mongolia,2,0,0.28,60.19
Montenegro,6,0,0.81,0
Morocco,2,0.013,1.38,64.81
Mozambique,3,0.031,1.11,75
Myanmar,5,0,0.91,76.85
Namibia,2,0.144,1.27,62.5
Nepal,3,0.033,0.97,74.07
Netherlands,7,0,1.45,39.81
New Zealand,1,0.001,0.8,22.22
Nicaragua,1,0,0.31,20.37
Niger,1,0,0.73,25.93
