country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,1,0,0.257,4.778
Albania,0,0,2.78,142.47
Algeria,1,0,0.41,19.407
Andorra,5,0,0,634.181
Angola,1,0,0.091,3.043
Antigua and Barbuda,1,0,0,0
Argentina,4,0.558,5.554,246.992
Armenia,5,0,10.799,719.484
Australia,1,2.191,0,0.039
Austria,3,4.244,4.885,1028.38
Azerbaijan,0,0,1.973,159.974
Bahamas,0,0,2.543,162.747
Bahrain,2,6.64,0,88.153
Bangladesh,1,0.104,0.079,11.203
Barbados,1,0,0,0
Belarus,0,0,0.529,116.199
Belgium,4,2.42,11.476,431.593
Belize,0,0,0,191.137
Benin,1,0,0,0
Bhutan,1,0,0,6.48
Bolivia,1,0.088,0.6,9.68
Bosnia and Herzegovina,5,0,14.935,526.698
Botswana,0,0,0,165.843
Brazil,0,0,4.295,159.588
Brunei,1,0,0,0
Bulgaria,5,1.559,10.362,491.333
Burkina Faso,1,0,0,0
Burundi,1,0,0,0.252
Cambodia,1,0,0,0
Cameroon,1,0,0,0
Canada,0,1.636,2.12,145.037
Cape Verde,4,0.883,0,241.012
Central African Republic,1,0,0,0.828
Chad,1,0,0.061,0.791
Chile,2,1.868,3.453,85.477
China,1,0,0,0.022
Colombia,0,0.605,3.518,170.706
Comoros,1,0,0,5.75
Congo,1,0,0,0
Costa Rica,0,0,2.748,229.873
Cote d'Ivoire,1,0.033,0,1.024
Croatia,5,2.474,7.795,750.743
Cuba,1,0.77,0.088,5.121
Cyprus,0,3.301,1.142,211.212
Czechia,5,2.911,17.275,734.897
Democratic Republic of Congo,1,0,0.022,0.402
Denmark,0,12.789,0.345,174.718
Djibouti,1,0,0,6.073
Dominica,1,0,0,0
Dominican Republic,2,0,0.184,34.2
Ecuador,2,0.193,1.474,50.048
Egypt,1,0,0.117,2.091
El Salvador,0,0.376,0.617,136.444
Equatorial Guinea,1,0,0,1.426
Eritrea,1,0,0,0.564
Estonia,4,3.619,0,281.183
Eswatini,1,0,0,13.791
Ethiopia,1,0.048,0.078,4.532
Fiji,1,0,0,0
Finland,2,2.861,0,35.555
France,5,5.502,6.511,511.877
Gabon,1,0,0,0
Gambia,1,0,0,0
Georgia,5,0,8.272,782.117
Germany,4,0,2.65,295.259
Ghana,1,0.081,0,21.079
Greece,4,2.391,4.797,318.141
Grenada,1,0,0,0
Guatemala,2,0.254,0.726,40.858
Guinea,1,0,0,1.599
Guinea-Bissau,1,0,0,0
Guyana,2,0,1.271,55.94
Haiti,1,0,0,0.702
Honduras,1,0,0.707,30.188
Hungary,4,2.435,9.006,406.507
Iceland,2,2.409,2.93,52.747
India,2,0.865,0.396,32.521
Indonesia,1,0.133,0.355,15.256
International,1,0,0,0
Iran,0,0,5.441,137.119
Iraq,2,0.517,1.243,81.994
Ireland,2,2.644,0,77.97
Israel,2,4.66,1.386,96.586
Italy,5,3.881,10.519,628.115
Jamaica,1,0.338,0,17.898
Japan,1,0.237,0.055,12.998
Jordan,5,2.365,7.841,557.181
Kazakhstan,2,1.858,2.343,41.275
Kenya,1,0,0.428,17.091
Kosovo,4,0,4.139,396.839
Kuwait,0,1.703,0.937,181.007
Kyrgyzstan,2,0,0.766,80.776
Laos,1,0,0,0
Latvia,4,3.623,1.06,282.578
Lebanon,4,0,1.758,274.561
Lesotho,1,0,0,0
Liberia,1,0,0,1.384
Libya,0,0.562,2.183,133.745
Liechtenstein,5,0,0,734.195
Lithuania,5,5.196,3.306,569.373
Luxembourg,3,20.109,20.768,2409.038
Madagascar,1,0,0,0
Malawi,1,0,0,0.157
Malaysia,1,0.623,0.031,28.394
Maldives,2,2.671,0,48.1
Mali,1,0,0,1.926
Malta,4,6.874,0,246.864
Marshall Islands,1,0,0,0
Mauritania,1,0,0,3.226
Mauritius,1,0,0,11.795
Mexico,2,0.134,4.855,43.883
Moldova,4,0,4.71,329.948
Monaco,0,0,0,203.853
Mongolia,1,0,0,1.83
Montenegro,3,0,12.738,1025.376
Morocco,0,0.638,1.734,167.838
Mozambique,1,0.027,0,3.295
Myanmar,1,0,0.515,21.044
Namibia,1,0.499,0.394,20.859
Nepal,2,0.344,0.515,65.656
Netherlands,4,0,5.194,331.488
New Zealand,1,1.365,0,0.829
Nicaragua,1,0,0,0
Niger,1,0,0,0.785
Nigeria,1,0,0,1.028
North Macedonia,5,1.486,12.48,621.586
Norway,0,4.368,1.107,132.258
Oman,2,0,0.979,50.131
Pakistan,1,0.166,0.168,10.43
Palestine,0,0.9,0.784,140.941
Panama,0,1.644,1.622,205.573
Papua New Guinea,1,0,0,0
Paraguay,2,0.37,1.542,76.691
Peru,2,0.287,1.183,78.097
Philippines,1,0.225,0.1,12.812
Poland,5,1.489,7.266,599.34
Portugal,5,4.35,7.65,572.636
Qatar,2,1.84,0.347,85.038
Romania,5,0,6.29,527.194
Russia,0,4.364,2.94,146.182
Rwanda,1,0,0,0.54
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,1,0,0,0
Sao Tome and Principe,1,0,0,4.563
Saudi Arabia,1,1.798,0.431,8.933
Senegal,1,0.043,0,0.538
Serbia,5,1.912,2.792,490.992
Seychelles,1,0,0,20.338
Sierra Leone,1,0,0,0.125
Singapore,1,0,0,1.88
Slovakia,5,1.966,9.158,474.573
Slovenia,3,2.772,19.722,928.842
Solomon Islands,1,0,0,0
Somalia,1,0,0,0
South Africa,2,0.433,1.096,39.421
South Korea,1,0.247,0.02,3.725
South Sudan,1,0.078,0,0
Spain,4,0,7.614,417.305
Sri Lanka,1,0.447,0.093,17.419
Sudan,1,0,0,1.254
Suriname,1,0,1.705,11.932
Sweden,5,3.687,3.961,461.221
