country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,0.899,1.02,0
Albania,4,56.988,1.09,0
Algeria,4,5.815,0.84,0
Andorra,3,0,1.49,0
Angola,4,1.704,1.13,0
Antigua and Barbuda,0,0,0,0
Argentina,1,238.429,1.08,0
Armenia,0,58.045,1.12,0
Australia,4,1.725,0.58,0
Austria,2,96.487,1.42,4.663
Azerbaijan,4,13.315,0.96,0
Bahamas,1,289.893,1.14,0
Bahrain,1,439.003,1.03,0
Bangladesh,4,7.784,0.85,0
Barbados,3,0,0.72,0
Belarus,0,20.213,1.12,0
Belgium,2,81.193,1.34,5.867
Belize,4,57.844,1.15,0
Benin,3,0,0.94,0
Bhutan,4,3.888,0.77,0
Bolivia,2,69.391,0.86,0
Bosnia and Herzegovina,2,92.66,1.16,0
Botswana,3,0,0.78,0
Brazil,2,157.711,0.94,0
Brunei,3,0,0,0
Bulgaria,3,13.24,1.06,7.628
Burkina Faso,3,0.718,1,0
Burundi,0,0.168,0.73,0
Cambodia,3,0.06,0.22,0
Cameroon,3,0,0.99,0
Canada,4,12.93,1.26,0
Cape Verde,2,107.916,1.08,0
Central African Republic,3,0,0.6,0
Chad,4,0.122,1.04,0
Chile,2,111.476,0.99,0
China,3,0.016,0.88,0
Colombia,2,135.134,0.92,0
Comoros,0,0,0.65,0
Congo,3,0,0.56,0
Costa Rica,1,291.513,1.09,0
Cote d'Ivoire,3,0,0.92,0
Croatia,2,63.577,0.89,0
Cuba,4,5.297,1.08,0
Cyprus,3,3.425,1.09,0
Czechia,2,143.898,1.6,6.537
Democratic Republic of Congo,3,0.268,1.06,0
Denmark,2,59.218,1.32,0.691
Djibouti,3,0,1.03,0
Dominica,3,0,0,0
Dominican Republic,2,79.278,0.99,0
Ecuador,2,97.432,1.24,0
Egypt,4,1.446,0.94,0
El Salvador,4,12.026,1.04,0
Equatorial Guinea,0,0,0.47,0
Eritrea,4,0,0.25,0
Estonia,0,17.338,1.25,1.508
Eswatini,4,21.549,0.84,0
Ethiopia,4,4.532,0.66,0
Fiji,3,0,0,0
Finland,3,8.122,1.3,0
France,3,14.11,1.29,10.035
Gabon,4,0,1.04,0
Gambia,4,5.793,0.74,0
Georgia,4,39.607,2.42,0
Germany,3,12.914,1.1,0
Ghana,3,1.48,0.99,0
Greece,4,28.974,1.14,0
Grenada,0,0,0,0
Guatemala,4,36.225,0.98,0
Guinea,4,3.122,1.08,0
Guinea-Bissau,0,0,0.51,0
Guyana,2,62.297,1.16,0
Haiti,0,1.842,0.93,0
Honduras,2,109.747,1.03,0
Hong Kong,4,0,0,0
Hungary,2,94.821,1.61,0
Iceland,3,2.93,1.32,0
India,2,68.385,1.06,0
Indonesia,4,13.915,1.12,0
International,0,0,0,0
Iran,4,25.466,1.04,0
Iraq,2,102.082,1,0
Ireland,4,32.201,1.3,1.823
Israel,1,314.134,1.34,0
Italy,4,24.826,1.07,3.01
Jamaica,4,37.823,1.21,0
Japan,3,5.123,0.9,0
Jordan,4,11.467,1.67,0
Kazakhstan,4,19.972,0.71,0
Kenya,4,3.273,0.85,0
Kosovo,4,36.217,0.84,0
Kuwait,2,172.343,0.99,0
Kyrgyzstan,4,10.269,0.88,0
Laos,3,0,0,0
Latvia,3,2.651,1.28,0
Lebanon,2,100.506,1.16,0
Lesotho,4,0,0.97,0
Liberia,3,0.198,0.95,0
Libya,2,64.035,1.15,0
Liechtenstein,0,52.443,0.46,0
Lithuania,3,19.469,1.24,0
Luxembourg,2,113.423,1.26,0
Madagascar,3,2.456,0.81,0
Malawi,3,0.47,0.81,0
Malaysia,3,1.792,1.78,0
Maldives,2,114.7,0.92,0
Mali,3,0.198,1.09,0
Malta,0,61.15,1.24,0
Marshall Islands,0,0,0,0
Mauritania,0,1.721,0.93,0
Mauritius,0,0,0.29,0
Mexico,4,44.007,0.98,0
Moldova,2,131.632,1.06,0
Monaco,0,25.482,1.13,0
Mongolia,3,0,0.31,0
Montenegro,1,230.869,1.33,0
Morocco,2,60.633,1.15,0
Mozambique,4,3.903,1.11,0
Myanmar,4,6.874,1.77,0
Namibia,2,65.724,0.9,0
Nepal,4,41.219,1.15,0
Netherlands,2,78.145,1.36,3.56
New Zealand,3,0.415,0.67,0
Nicaragua,0,0,0.44,0
Niger,0,0,0.83,0
Nigeria,3,0.776,0.85,0
North Macedonia,0,66.719,1.06,0
Norway,3,14.019,1.16,0
Oman,4,0,1.15,0
Pakistan,3,2.381,1.05,0
Palestine,2,127.416,1.15,0
Panama,2,164.783,0.95,0
Papua New Guinea,3,0,0.72,0
Paraguay,2,113.845,1.1,0
Peru,1,200.262,0.96,0
Philippines,4,44.707,1.06,0
Poland,3,15.933,1.02,0
Portugal,4,48.741,1.3,5.786
Qatar,2,81.914,1,0
Romania,2,68.148,1.04,24.275
Russia,3,37.044,1.06,0
Rwanda,4,2.393,0.67,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0.32,0
Sao Tome and Principe,0,0,0.52,0
Saudi Arabia,4,18.47,0.83,0
Senegal,3,2.628,0.88,0
Serbia,3,10.581,0.89,0
Seychelles,3,10.169,0.26,0
Sierra Leone,3,1.128,0.97,0
Singapore,3,7.179,0.91,0
Slovakia,3,36.816,1.35,0
Slovenia,4,50.988,1.42,2.886
Solomon Islands,3,0,0,0
Somalia,3,0,0.71,0
South Africa,4,30.619,0.87,0
South Korea,3,2.36,0.68,0
South Sudan,4,0.893,1.03,0
Spain,3,0,1.22,0
Sri Lanka,3,1.214,1.14,0
Sudan,4,0,0.99,0
Suriname,2,85.232,0.83,0
Sweden,3,0,1.26,0
Switzerland,4,53.729,1.16,0
Syria,3,1.714,0.85,0
Taiwan,0,0,1.09,0
Tajikistan,3,3.879,1.05,0
Tanzania,0,0,0,0
Thailand,3,0.172,1.11,0
Timor,3,0,0,0
Togo,3,0.846,1.04,0
Trinidad and Tobago,2,120.044,1.15,0
Tunisia,3,31.814,1.48,0
Turkey,4,17.892,0.98,0
Uganda,4,7.127,1.27,0
Ukraine,2,72.827,1.13,0
United Arab Emirates,2,101.816,1.23,0
United Kingdom,4,51.616,1.43,1.267
United States,2,123.875,1,19.489
Uruguay,3,2.015,1.12,0
Uzbekistan,3,16.762,1.13,0
Vanuatu,0,0,0,0
Vatican,0,0,0,0
Venezuela,4,34.006,0.98,0
Vietnam,4,0,0.56,0
Yemen,3,0.067,0.72,0
Zambia,3,7.779,0.89,0
Zimbabwe,4,1.951,0.94,0
