country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,0,0.103,0,0.873
Albania,1,2.085,0,32.316
Algeria,0,0.182,0,7.731
Andorra,2,0,0,103.54
Angola,0,0.03,0,2.282
Antigua and Barbuda,0,0,0,0
Argentina,3,5.731,0,232.411
Armenia,1,0.675,0,32.735
Australia,0,0.235,0,4.078
Austria,1,0.111,3.331,22.651
Azerbaijan,5,0.197,0,14.104
Bahamas,2,0,0,150.033
Bahrain,3,0,0,275.038
Bangladesh,5,0.213,0,11.84
Barbados,0,0,0,6.96
Belarus,5,0.529,0,12.593
Belgium,5,0.173,5.867,21.657
Belize,2,0,0,108.143
Benin,0,0,0,0
Bhutan,0,0,0,2.592
Bolivia,4,6.339,0,57.312
Bosnia and Herzegovina,4,3.353,0,82.297
Botswana,1,0,0,38.697
Brazil,3,5.716,0,200.692
Brunei,0,0,0,0
Bulgaria,1,1.871,8.923,27.056
Burkina Faso,0,0,0,0.096
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,5,0.113,0,10.058
Canada,5,0.159,0,13.354
Cape Verde,2,0,0,154.68
Central African Republic,0,0,0,0
Chad,0,0,0,0.244
Chile,4,1.674,0,74.23
China,0,0.001,0,0.013
Colombia,3,7.625,0,175.54
Comoros,0,0,0,4.6
Congo,0,0,0,0
Costa Rica,3,1.374,0,176.086
Cote d'Ivoire,0,0,0,1.365
Croatia,1,0.244,0,35.32
Cuba,0,0.088,0,2.913
Cyprus,0,1.142,0,2.283
Czechia,4,0.093,3.735,46.596
Democratic Republic of Congo,0,0.011,0,0.078
Denmark,5,0.173,0.691,17.092
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,1,2.581,0,24.336
Ecuador,1,0.85,0,30.72
Egypt,0,0.186,0,1.72
El Salvador,5,1.079,0,14.03
Equatorial Guinea,5,0,0,17.106
Eritrea,0,0,0,0
Estonia,5,0,0,15.077
Eswatini,1,2.586,0,35.34
Ethiopia,5,0.165,0,10.203
Fiji,0,0,0,1.116
Finland,5,0,0,10.107
France,4,0.398,6.404,76.325
Gabon,0,0,0,0
Gambia,1,0,0,27.31
Georgia,0,0,0,5.766
Germany,5,0.048,0,14.478
Ghana,0,0,0,5.214
Greece,5,0.48,0,19.86
Grenada,0,0,0,0
Guatemala,4,1.005,0,45.714
Guinea,0,0,0,5.33
Guinea-Bissau,0,0,0,0
Guyana,2,2.543,0,85.181
Haiti,0,0.175,0,0.526
Honduras,4,1.514,0,76.227
Hong Kong,0,0,0,0
Hungary,5,0.104,0,12.215
Iceland,1,0,0,26.374
India,4,0.757,0,56.78
Indonesia,5,0.322,0,10.145
International,0,0,0,0
Iran,5,1.202,0,20.025
Iraq,2,2.014,0,84.629
Ireland,1,0,1.215,43.339
Israel,3,1.733,0,260.18
Italy,5,0.132,1.77,16.126
Jamaica,0,0,0,0
Japan,0,0.119,0,4.957
Jordan,0,0,0,6.175
Kazakhstan,4,1.811,0,49.157
Kenya,0,0,0,2.12
Kosovo,4,4.139,0,76.056
Kuwait,2,0.702,0,164.381
Kyrgyzstan,5,0.153,0,9.197
Laos,0,0,0,0
Latvia,0,0,0,4.241
Lebanon,4,0.586,0,68.713
Lesotho,0,0,0,0
Liberia,0,0,0,0.198
Libya,2,0.728,0,95.761
Liechtenstein,0,0,0,0
Lithuania,5,0,0,8.449
Luxembourg,0,0,1.598,0
Madagascar,0,0.108,0,3.395
Malawi,0,0,0,0.523
Malaysia,0,0.031,0,0.433
Maldives,3,1.85,0,368.149
Mali,0,0,0,0.049
Malta,4,0,0,58.885
Marshall Islands,0,0,0,0
Mauritania,0,0,0,5.807
Mauritius,0,0,0,0
Mexico,4,6.414,0,50.228
Moldova,4,3.223,0,71.394
Monaco,0,0,0,0
Mongolia,0,0,0,0.61
Montenegro,2,3.184,0,130.56
Morocco,1,1.165,0,32.267
Mozambique,0,0,0,3.935
Myanmar,0,0,0,0.68
Namibia,4,2.361,0,55.885
Nepal,1,0.378,0,36.689
Netherlands,1,0.467,2.568,33.265
New Zealand,0,0,0,1.037
Nicaragua,1,0.604,0,26.266
Niger,0,0,0,0
Nigeria,0,0.049,0,1.159
North Macedonia,4,0.48,0,54.719
Norway,5,0,0,16.417
Oman,1,0.783,0,40.34
Pakistan,0,0.018,0,1.358
Palestine,2,1.372,0,108.205
Panama,2,3.708,0,132.104
Papua New Guinea,0,0,0,0.112
Paraguay,2,3.084,0,94.777
Peru,2,4.731,0,147.732
Philippines,1,0.356,0,31.438
Poland,5,0.502,0,14.532
Portugal,1,0.196,4.315,22.654
Qatar,4,0.347,0,74.972
Romania,4,3.119,27.134,54.736
Russia,1,0.836,0,32.001
Rwanda,0,0,0,6.099
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,5,0,0,9.013
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,1,0.919,0,25.794
Senegal,0,0,0,2.628
Serbia,5,0.294,0,11.169
Seychelles,0,0,0,0
Sierra Leone,0,0.125,0,0.752
Singapore,0,0,0,6.837
Slovakia,5,0,0,13.188
Slovenia,5,0,1.443,19.722
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,5,1.922,0,20.537
South Korea,0,0.039,0,5.208
