country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,0,0.128,0,6.499
Albania,2,3.822,0,273.125
Algeria,1,0.41,0,23.329
Andorra,4,0,0,621.239
Angola,0,0.03,0,6.45
Antigua and Barbuda,0,0,0,0
Argentina,3,4.093,0,223.406
Armenia,2,10.462,0,512.953
Australia,0,0,0,0.275
Austria,4,6.884,75.835,776.67
Azerbaijan,3,2.268,0,256.135
Bahamas,1,0,0,63.573
Bahrain,5,0,0,79.338
Bangladesh,0,0.182,0,14.354
Barbados,0,0,0,3.48
Belarus,3,0.741,0,146.254
Belgium,2,14.755,110.961,386.294
Belize,3,5.03,0,150.897
Benin,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,1.199,0,16.02
Bosnia and Herzegovina,2,19.507,0,359.667
Botswana,3,0.425,0,208.792
Brazil,3,2.851,0,168.979
Brunei,0,0,0,0
Bulgaria,4,17.126,49.507,561.133
Burkina Faso,0,0,0,0.765
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,1,0.075,0,23.808
Canada,5,2.014,0,127.02
Cape Verde,3,0,0,147.485
Central African Republic,0,0,0,1.449
Chad,0,0,0,0.244
Chile,5,3.034,0,76.061
China,0,0,0,0.02
Colombia,3,3.891,0,147.142
Comoros,0,0,0,1.15
Congo,1,0.181,0,21.203
Costa Rica,3,2.159,0,239.296
Cote d'Ivoire,0,0,0,1.441
Croatia,4,11.936,0,770.717
Cuba,0,0,0,1.854
Cyprus,2,0,0,305.971
Czechia,4,12.513,85.256,604.259
Democratic Republic of Congo,0,0,0,1.005
Denmark,3,0.518,7.078,223.922
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,5,0.737,0,94.58
Ecuador,1,1.19,0,56.453
Egypt,0,0.127,0,3.342
El Salvador,1,0.771,0,22.201
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,2.538
Estonia,2,0.754,11.308,309.829
Eswatini,0,0,0,10.343
Ethiopia,0,0.052,0,4.341
Fiji,0,0,0,0
Finland,1,0,0,63.349
France,2,6.572,71.04,327.529
Gabon,0,0.449,0,14.377
Gambia,0,0,0,0
Georgia,4,9.526,0,926.758
Germany,2,3.246,0,286.94
Ghana,0,0,0,5.6
Greece,2,5.661,0,309.602
Grenada,0,0,0,0
Guatemala,1,2.344,0,38.235
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,5,1.271,0,78.824
Haiti,0,0,0,1.491
Honduras,0,0,0,0
Hungary,2,9.523,0,467.064
Iceland,0,0,0,14.652
India,1,0.423,0,33.248
Indonesia,0,0.355,0,17.541
International,0,0,0,0
Iran,3,5.667,0,157.43
Iraq,1,0.97,0,59.022
Ireland,5,0.81,6.481,84.046
Israel,5,0.924,0,88.96
Italy,4,10.8,61.394,598.328
