country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,1,0,0,16.055
Albania,1,0,0,7.297
Algeria,4,0,0,3.649
Andorra,4,0,0,0
Angola,4,0,0,0.03
Antigua and Barbuda,4,0,0,0
Argentina,1,0,0,15.599
Armenia,7,0,0,125.539
Australia,4,0,0,0.431
Austria,2,9.327,3.553,3.775
Azerbaijan,1,0,0,16.274
Bahamas,4,0,0,0
Bahrain,5,0,0,191.586
Bangladesh,1,0,0,9.357
Barbados,4,0,0,0
Belarus,7,0,0,94.927
Belgium,6,90.598,18.033,11.821
Belize,4,0,0,0
Benin,4,0,0,0.165
Bhutan,4,0,0,1.296
Bolivia,0,0,0,54.142
Bosnia and Herzegovina,4,0,0,5.791
Botswana,4,0,0,0
Brazil,7,0,0,96.909
Brunei,4,0,0,0
Bulgaria,2,32.957,3.166,2.447
Burkina Faso,4,0,0,0.622
Burundi,4,0,0,0
Cambodia,4,0,0,0
Cameroon,4,0,0,0
Canada,0,0,0,23.82
Cape Verde,4,0,0,0
Central African Republic,1,0,0,6.419
Chad,4,0,0,0.913
Chile,5,0,0,226.405
China,4,0,0,0.002
Colombia,1,0,0,21.638
Comoros,4,0,0,0
Congo,1,0,0,15.223
Costa Rica,4,0,0,5.497
Cote d'Ivoire,4,0,0,2.995
Croatia,2,9.256,0,0
Cuba,4,0,0,0.971
Cyprus,4,0,0,0
Czechia,2,8.031,1.587,3.362
Democratic Republic of Congo,4,0,0,1.597
Denmark,2,18.473,3.798,9.15
Djibouti,5,0,0,231.781
Dominica,4,0,0,0
Dominican Republic,0,0,0,42.312
Ecuador,0,0,0,42.396
Egypt,1,0,0,8.892
El Salvador,1,0,0,10.33
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,2,23.369,0.754,4.523
Eswatini,1,0,0,9.481
Ethiopia,4,0,0,0.261
Fiji,4,0,0,0
Finland,2,15.702,1.985,11.551
France,3,239.408,22.475,2.926
Gabon,0,0,0,36.393
Gambia,4,0,0,0
Georgia,4,0,0,0.752
Germany,4,0,0,3.867
Ghana,1,0,0,5.986
Greece,4,0,0,1.055
Grenada,4,0,0,0
Guatemala,1,0,0,10.661
Guinea,4,0,0,0
Guinea-Bissau,1,0,0,8.638
Guyana,4,0,0,0
Haiti,1,0,0,12.804
Honduras,0,0,0,24.13
Hungary,6,44.512,0,2.277
Iceland,4,0,0,2.93
India,4,0,0,5.285
Indonesia,4,0,0,2.508
International,4,0,0,0
Iran,0,0,0,24.764
Iraq,1,0,0,7.135
Ireland,6,53.263,9.721,13.771
Israel,4,0,0,4.621
Italy,3,136.185,8.352,9.659
Jamaica,4,0,0,1.689
Japan,4,0,0,0.206
Jordan,4,0,0,0.196
Kazakhstan,1,0,0,17.841
Kenya,4,0,0,2.287
Kosovo,4,0,0,4.657
Kuwait,5,0,0,162.04
Kyrgyzstan,1,0,0,7.97
Laos,4,0,0,0
Latvia,2,13.254,0,2.121
Lebanon,4,0,0,3.077
Lesotho,4,0,0,0
Liberia,4,0,0,0
Libya,4,0,0,3.202
Liechtenstein,4,0,0,0
Lithuania,4,0,0,2.939
Luxembourg,6,52.718,6.39,9.585
Madagascar,4,0,0,0.939
Malawi,4,0,0,0
Malaysia,4,0,0,0.463
Maldives,0,0,0,35.15
Mali,4,0,0,1.926
Malta,4,0,0,2.265
Marshall Islands,4,0,0,0
Mauritania,4,0,0,5.162
Mauritius,4,0,0,0
Mexico,0,0,0,26.859
Moldova,0,0,0,57.512
Monaco,4,0,0,0
Mongolia,4,0,0,2.135
Montenegro,4,0,0,0
Morocco,4,0,0,0.65
Mozambique,4,0,0,0.448
Myanmar,4,0,0,0
Namibia,4,0,0,0.394
Nepal,4,0,0,3.913
