country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,4.778
Albania,1,0,0,142.47
Algeria,4,0,0,19.407
Andorra,2,0,0,634.181
Angola,0,0,0,3.043
Antigua and Barbuda,0,0,0,0
Argentina,6,0,0,246.992
Armenia,2,0,0,719.484
Australia,0,0,0,0.039
Austria,7,362.52,60.624,1028.38
Azerbaijan,1,0,0,159.974
Bahamas,1,0,0,162.747
Bahrain,3,0,0,88.153
Bangladesh,0,0,0,11.203
Barbados,0,0,0,0
Belarus,1,0,0,116.199
Belgium,5,604.852,125.63,431.593
Belize,1,0,0,191.137
Benin,0,0,0,0
Bhutan,0,0,0,6.48
Bolivia,0,0,0,9.68
Bosnia and Herzegovina,2,0,0,526.698
Botswana,1,0,0,165.843
Brazil,1,0,0,159.588
Brunei,0,0,0,0
Bulgaria,5,686.197,40.872,491.333
Burkina Faso,0,0,0,0
Burundi,0,0,0,0.252
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,1,0,0,145.037
Cape Verde,1,0,0,241.012
Central African Republic,0,0,0,0.828
Chad,0,0,0,0.791
Chile,3,0,0,85.477
China,0,0,0,0.022
Colombia,1,0,0,170.706
Comoros,0,0,0,5.75
Congo,0,0,0,0
Costa Rica,1,0,0,229.873
Cote d'Ivoire,0,0,0,1.024
Croatia,5,389.256,0,750.743
Cuba,0,0,0,5.121
Cyprus,1,0,0,211.212
Czechia,5,675.788,103.651,734.897
Democratic Republic of Congo,0,0,0,0.402
Denmark,1,41.262,7.596,174.718
Djibouti,0,0,0,6.073
Dominica,0,0,0,0
Dominican Republic,4,0,0,34.2
Ecuador,3,0,0,50.048
Egypt,0,0,0,2.091
El Salvador,1,0,0,136.444
Equatorial Guinea,0,0,0,1.426
Eritrea,0,0,0,0.564
Estonia,6,63.323,6.785,281.183
Eswatini,4,0,0,13.791
Ethiopia,0,0,0,4.532
Fiji,0,0,0,0
Finland,4,0,0,35.555
France,5,500.264,74.824,511.877
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,2,0,0,782.117
Germany,6,0,0,295.259
Ghana,4,0,0,21.079
Greece,6,0,0,318.141
Grenada,0,0,0,0
Guatemala,4,0,0,40.858
Guinea,0,0,0,1.599
Guinea-Bissau,0,0,0,0
Guyana,3,0,0,55.94
Haiti,0,0,0,0.702
Honduras,4,0,0,30.188
Hungary,5,665.193,0,406.507
Iceland,3,178.755,5.861,52.747
India,4,0,0,32.521
Indonesia,4,0,0,15.256
International,0,0,0,0
Iran,1,0,0,137.119
Iraq,3,0,0,81.994
Ireland,3,57.718,7.696,77.97
Israel,3,0,0,96.586
Italy,5,546.51,52.43,628.115
Jamaica,4,0,0,17.898
Japan,4,0,0,12.998
Jordan,2,0,0,557.181
Kazakhstan,4,0,0,41.275
Kenya,4,0,0,17.091
Kosovo,6,0,0,396.839
Kuwait,1,0,0,181.007
Kyrgyzstan,3,0,0,80.776
Laos,0,0,0,0
Latvia,6,165.412,0,282.578
Lebanon,6,0,0,274.561
Lesotho,0,0,0,0
Liberia,0,0,0,1.384
Libya,1,0,0,133.745
Liechtenstein,2,0,0,734.195
Lithuania,5,401.133,0,569.373
Luxembourg,7,351.451,65.498,2409.038
Madagascar,0,0,0,0
Malawi,0,0,0,0.157
Malaysia,4,0,0,28.394
Maldives,3,0,0,48.1
Mali,0,0,0,1.926
Malta,6,0,0,246.864
Marshall Islands,0,0,0,0
Mauritania,0,0,0,3.226
Mauritius,4,0,0,11.795
Mexico,3,0,0,43.883
Moldova,6,0,0,329.948
Monaco,1,0,0,203.853
Mongolia,0,0,0,1.83
Montenegro,2,0,0,1025.376
Morocco,1,0,0,167.838
Mozambique,0,0,0,3.295
Myanmar,4,0,0,21.044
Namibia,4,0,0,20.859
Nepal,3,0,0,65.656
Netherlands,6,0,38.168,331.488
New Zealand,0,0,0,0.829
Nicaragua,0,0,0,0
Niger,0,0,0,0.785
Nigeria,0,0,0,1.028
North Macedonia,2,0,0,621.586
Norway,1,20.291,0,132.258
Oman,3,0,0,50.131
Pakistan,0,0,0,10.43
Palestine,1,0,0,140.941
Panama,1,0,0,205.573
Papua New Guinea,0,0,0,0
Paraguay,3,0,0,76.691
Peru,3,0,0,78.097
Philippines,4,0,0,12.812
Poland,5,578.625,0,599.34
Portugal,5,274.01,37.561,572.636
Qatar,3,0,0,85.038
Romania,2,0,59.882,527.194
Russia,1,0,0,146.182
Rwanda,0,0,0,0.54
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,4.563
Saudi Arabia,0,0,0,8.933
Senegal,0,0,0,0.538
Serbia,6,0,0,490.992
Seychelles,4,0,0,20.338
Sierra Leone,0,0,0,0.125
Singapore,0,0,0,1.88
Slovakia,6,0,0,474.573
Slovenia,7,582.03,92.836,928.842
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,4,0,0,39.421
South Korea,0,0,0,3.725
South Sudan,0,0,0,0
Spain,5,438.993,66.795,417.305
Sri Lanka,4,0,0,17.419
Sudan,0,0,0,1.254
Suriname,4,0,0,11.932
Sweden,6,0,0,461.221
Switzerland,2,0,0,800.035
Syria,0,0,0,3.714
Taiwan,0,0,0,0.21
Tajikistan,0,0,0,4.194
Tanzania,0,0,0,0
Thailand,0,0,0,0.129
Timor,0,0,0,0
Togo,0,0,0,1.449
Trinidad and Tobago,4,0,0,18.578
Tunisia,1,0,0,134.026
Turkey,4,0,0,33.685
Uganda,0,0,0,4.897
Ukraine,6,0,0,259.113
United Arab Emirates,1,0,0,114.859
United Kingdom,6,221.96,18.781,493.725
United States,6,203.119,39.006,486.845
Uruguay,4,0,0,27.348
Uzbekistan,0,0,0,4.87
Vanuatu,0,0,0,0
Vatican,0,0,0,0
Venezuela,4,0,0,13.715
Vietnam,0,0,0,0.01
Yemen,0,0,0,0
Zambia,0,0,0,1.088
Zimbabwe,0,0,0,1.951
