country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,0,0.154,0,1.439
Albania,3,1.39,0,58.03
Algeria,0,0.182,0,5.519
Andorra,2,0,0,1216.592
Angola,0,0.061,0,1.552
Antigua and Barbuda,0,0,0,0
Argentina,1,6.97,0,219.246
Armenia,0,1.012,0,36.109
Australia,0,0,0,1.843
Austria,3,0.111,5.219,42.414
Azerbaijan,0,0.197,0,7.496
Bahamas,1,2.543,0,203.434
Bahrain,1,0.588,0,386.699
Bangladesh,0,0.158,0,11.003
Barbados,0,0,0,6.96
Belarus,0,0.635,0,19.79
Belgium,3,0.173,6.212,73.428
Belize,3,0,0,52.814
Benin,0,0,0,0
Bhutan,0,0,0,0
Bolivia,3,4.283,0,70.933
Bosnia and Herzegovina,3,2.743,0,51.816
Botswana,3,0.425,0,89.725
Brazil,3,1.792,0,71.298
Brunei,0,0,0,0
Bulgaria,0,1.295,7.052,20.58
Burkina Faso,0,0,0,0.478
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,2.298
Canada,0,0.238,0,38.631
Cape Verde,3,1.799,0,46.764
Central African Republic,0,0,0,4.762
Chad,0,0.061,0,0.061
Chile,3,3.348,0,88.145
China,0,0.001,0,0.015
Colombia,3,3.911,0,109.526
Comoros,0,0,0,1.15
Congo,0,0,0,1.087
Costa Rica,1,6.085,0,374.354
Cote d'Ivoire,0,0,0,2.009
Croatia,0,0.731,0,15.833
Cuba,0,0,0,3.708
Cyprus,0,0,0,9.133
Czechia,3,0.84,7.284,96.554
Democratic Republic of Congo,0,0,0,0
Denmark,3,0.345,0.691,59.908
Djibouti,0,0,0,1.012
Dominica,0,0,0,0
Dominican Republic,3,1.475,0,41.483
Ecuador,0,1.077,0,17.967
Egypt,0,0.127,0,1.642
El Salvador,0,0.463,0,12.488
Equatorial Guinea,0,0,0,2.851
Eritrea,0,0,0,0
Estonia,0,0,0.754,16.585
Eswatini,0,2.586,0,24.996
Ethiopia,0,0.078,0,4.219
Fiji,0,0,0,0
Finland,0,0,0.541,8.483
France,1,0.843,10.801,352.011
Gabon,0,0,0,4.942
Gambia,0,0,0,0
Georgia,3,0,0,41.362
Germany,0,0.024,0,17.724
Ghana,0,0.257,0,5.374
Greece,0,0.48,0,17.269
Grenada,0,0,0,0
Guatemala,0,0.837,0,14.68
Guinea,0,0,0,1.218
Guinea-Bissau,0,0,0,0
Guyana,3,0,0,39.412
Haiti,0,0,0,0.526
Honduras,3,0.808,0,83.9
Hong Kong,0,0,0,0
Hungary,3,0.518,0,87.367
Iceland,0,0,0,8.791
India,3,0.764,0,60.731
Indonesia,0,0.431,0,11.483
International,0,0,0,0
Iran,0,1.857,0,31.181
Iraq,3,1.79,0,103.648
Ireland,3,0,2.228,41.922
Israel,2,2.311,0,555.136
Italy,0,0.232,3.258,16.672
Jamaica,3,0.675,0,54.708
Japan,0,0.055,0,2.119
Jordan,0,0.196,0,20.974
Kazakhstan,0,0.373,0,6.87
Kenya,0,0.037,0,0.893
Kosovo,0,2.07,0,28.457
Kuwait,1,0.702,0,165.786
Kyrgyzstan,0,0,0,7.204
Laos,0,0,0,0
Latvia,0,0,0,1.59
Lebanon,1,0.733,0,159.843
Lesotho,0,0,0,0
Liberia,0,0,0,0.395
Libya,3,0.873,0,106.821
Liechtenstein,0,0,0,0
Lithuania,0,0,0,18.734
Luxembourg,3,0,0,135.788
Madagascar,0,0.072,0,0.433
Malawi,0,0.052,0,0.366
Malaysia,0,0,0,0.958
Maldives,3,1.85,0,129.5
Mali,0,0,0,0.543
Malta,3,2.265,0,120.035
Marshall Islands,0,0,0,0
Mauritania,0,0,0,4.086
Mauritius,0,0,0,0
Mexico,0,1.768,0,25.866
Moldova,3,1.487,0,56.768
Monaco,1,0,0,152.89
Mongolia,0,0,0,0
Montenegro,1,1.592,0,299.334
Morocco,3,0.975,0,41.099
Mozambique,0,0,0,6.815
Myanmar,0,0.147,0,3.308
Namibia,0,0.787,0,38.962
Nepal,3,0.515,0,40.155
Netherlands,3,0.233,4.26,76.919
New Zealand,0,0,0,0.622
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0.005,0,0.64
North Macedonia,0,1.92,0,17.28
Norway,0,0,0,22.504
Oman,3,1.958,0,93.212
