country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,6,0.976,0.051,1.42
Albania,6,9.73,0,1.09
Algeria,6,1.574,0.502,1.15
Andorra,7,452.986,12.942,0.85
Angola,6,0.122,0,0
Antigua and Barbuda,0,0,0,0
Argentina,6,0,0.022,1.4
Armenia,0,17.548,0,1.16
Australia,6,5.373,0.196,0.77
Austria,3,29.979,1.999,0.73
Azerbaijan,6,6.214,0.197,1.59
Bahamas,0,0,0,0
Bahrain,2,7.052,0,1.34
Bangladesh,2,0.109,0.006,0
Barbados,3,13.919,3.48,0
Belarus,0,12.911,0.317,2.33
Belgium,4,108.718,14.151,1.4
Belize,6,2.515,0,0
Benin,6,0.495,0,0
Bhutan,6,0,0,0
Bolivia,6,1.542,0,1.31
Bosnia and Herzegovina,6,9.144,0.61,1.17
Botswana,6,0.85,0,0
Brazil,6,3.623,0.193,1.83
Brunei,8,0,0,0.17
Bulgaria,6,4.03,0.432,1.09
Burkina Faso,6,1.292,0.048,0.96
Burundi,0,0,0,0
Cambodia,8,0,0,0.13
Cameroon,6,3.579,0,1.3
Canada,5,73.605,1.086,1.64
Cape Verde,6,0,0,0
Central African Republic,6,0,0,0
Chad,8,0,0,0
Chile,3,16.217,0.366,1.59
China,6,0.041,0.002,0.85
Colombia,6,1.553,0.059,1.53
Comoros,0,0,0,0
Congo,6,4.168,0.544,0
Costa Rica,6,3.73,0,0.95
Cote d'Ivoire,6,0.607,0.076,1.3
Croatia,6,13.641,0.731,0.99
Cuba,6,2.825,0.177,1.41
Cyprus,3,22.834,-2.283,1.12
Czechia,6,10.739,0.747,1.08
Democratic Republic of Congo,6,0,0,1.12
Denmark,5,50.413,3.108,1.23
Djibouti,6,9.109,0,0
Dominica,6,0,0,0
Dominican Republic,3,23.691,1.291,1.57
Ecuador,6,10.259,0.453,1.64
Egypt,6,1.007,0.068,1.56
El Salvador,6,0.925,0,0
Equatorial Guinea,0,0,0,0
Eritrea,6,0,0,0
Estonia,3,43.723,1.508,1.09
Eswatini,6,0,0,0
Ethiopia,6,0.043,0.017,0
Fiji,6,0,0,0
Finland,6,8.122,0.541,1.3
France,4,29.292,7.951,1.53
Gabon,8,0,0,0
Gambia,6,0,0,0
Georgia,6,3.008,0.251,0.93
Germany,5,48.112,1.671,1.12
Ghana,2,0.29,0,1.4
Greece,6,5.948,0.48,1.02
Grenada,0,0,0,0
Guatemala,6,0,0,0
Guinea,6,0.761,0,1.14
Guinea-Bissau,0,0,0,0
Guyana,6,1.271,0,0
Haiti,6,0.088,0.088,0
Honduras,6,0.404,0.707,1.26
Hungary,6,5.693,0.207,1.4
Iceland,7,202.198,0,0.88
India,6,0.367,0.009,2.01
Indonesia,8,0.662,0.026,1.5
International,0,0,0,0
Iran,3,29.562,1.798,0.97
Iraq,6,2.064,0.124,1.29
Ireland,5,78.983,4.253,1.57
Israel,5,67.356,0.809,1.1
Italy,4,71.384,8.683,0.91
Jamaica,6,1.689,0,0
Japan,8,2.775,0.047,1.74
Jordan,6,2.156,0,0.78
Kazakhstan,2,2.823,0.053,1.51
Kenya,6,0.298,0,0.83
Kosovo,6,2.587,0,1.12
Kuwait,3,18.03,0,2.32
Kyrgyzstan,6,0.46,0,1.27
Laos,6,0.137,0,0
Latvia,6,12.724,0,0.97
Lebanon,6,1.026,0.147,1
Lesotho,6,0,0,0
Liberia,6,0.593,0.395,0
Libya,6,0,0,0
Liechtenstein,0,0,0,0
Lithuania,6,14.694,0.735,1.09
Luxembourg,4,119.813,7.988,0.98
Madagascar,6,0.072,0,0
Malawi,8,0,0,0
