country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,8,0,1.2,5.56
Albania,9,0,1.12,54.63
Algeria,7,0,1.25,75
Andorra,0,0,1.18,62.96
Angola,0,0,1.09,65.74
Antigua and Barbuda,8,0,0.31,0
Argentina,4,0.501,0.95,81.94
Armenia,8,0,1.26,0
Australia,2,0,0.81,45.83
Austria,0,0.126,1.55,64.81
Azerbaijan,0,0,1.39,64.35
Bahamas,8,0,0.73,0
Bahrain,0,0.03,0.88,63.89
Bangladesh,4,0.114,1.03,80.09
Barbados,1,0,0.8,29.63
Belarus,3,0.04,1.21,16.67
Belgium,9,0.254,1.21,54.63
Belize,0,0,1.16,66.67
Benin,2,0,0.94,43.52
Bhutan,4,0,0.86,77.78
Bolivia,4,0.166,0.82,84.26
Bosnia and Herzegovina,2,0,1.17,40.74
Botswana,0,0,0.74,63.89
Brazil,9,0,1,57.87
Brunei,1,0,0,35.19
Bulgaria,2,0.217,1.52,39.35
Burkina Faso,3,0,0.99,22.22
Burundi,3,0,0.78,14.81
Cambodia,1,0,0.85,34.26
Cameroon,2,0,0.9,45.37
Canada,5,0.044,1.15,60.65
Cape Verde,7,0.149,1.06,71.3
Central African Republic,3,0,0.58,24.07
Chad,7,0,0.97,74.07
Chile,4,0.044,0.96,81.94
China,4,0,1.2,81.94
Colombia,0,0,1.06,65.74
Comoros,8,0,0.63,0
Congo,6,0,0.58,47.22
Costa Rica,9,0,0.99,58.33
Cote d'Ivoire,1,0.025,0.96,30.56
Croatia,1,0.247,1.52,31.48
Cuba,0,0.007,1.12,64.81
Cyprus,0,0.039,1.34,63.89
Czechia,7,0.32,1.16,73.15
Democratic Republic of Congo,3,0.119,1.1,22.22
Denmark,2,0.015,1.2,39.81
Djibouti,2,0,1.05,43.52
Dominica,1,0,0,31.48
Dominican Republic,0,0.114,1.01,67.59
Ecuador,6,0,1.04,52.78
Egypt,7,0,1.12,75.93
El Salvador,6,0.047,1.12,52.78
Equatorial Guinea,8,0,0.49,0
Eritrea,4,0,0.4,77.78
Estonia,3,0.025,1.44,25.93
Eswatini,6,0,0.94,48.15
Ethiopia,9,0.083,0.85,57.41
Fiji,6,0,0,49.07
Finland,2,0.013,1.11,40.74
France,6,0.156,1.25,49.54
Gabon,7,0,1.09,72.22
Gambia,9,0,0.71,56.48
Georgia,5,0,1.29,59.26
Germany,5,0,1.44,60.65
Ghana,2,0.023,1.15,44.44
Greece,5,0.054,1.4,59.72
Grenada,8,0,0,0
Guatemala,6,0.15,1,49.54
Guinea,1,0,1.09,35.65
Guinea-Bissau,8,0,0.39,0
Guyana,7,0,0.99,72.22
Haiti,6,0,0.85,47.22
Honduras,4,0,1.01,87.04
Hong Kong,6,0,0,51.85
Hungary,2,0.16,1.39,40.74
Iceland,2,0.039,0.92,45.37
India,5,0.04,0.9,61.57
Indonesia,6,0.143,0.93,50.46
International,8,0,0,0
Iran,7,0.195,1.29,70.83
Iraq,6,0.2,0.99,51.85
Ireland,4,0.057,0.91,81.48
Israel,2,0.025,0.6,40.74
Italy,0,0.118,1.55,66.67
Jamaica,7,0.113,0.91,71.3
Japan,2,0.032,1.17,38.89
Jordan,4,0,1.36,78.7
Kazakhstan,0,0.013,1.48,68.06
Kenya,7,0.142,1.3,68.52
Kosovo,6,0,1.63,52.78
Kuwait,0,0.114,1.01,62.96
Kyrgyzstan,9,0,1.15,57.87
Laos,1,0,0,36.11
Latvia,2,0.039,1.35,42.59
Lebanon,9,0,1.11,57.41
Lesotho,6,0,0.8,47.22
Liberia,9,0,1.01,57.41
Libya,4,0,1.04,78.7
Liechtenstein,8,0,1.46,0
Lithuania,5,0.066,1.54,59.72
Luxembourg,6,0.062,1.61,52.78
Madagascar,1,0.081,0.27,37.04
Malawi,6,0.017,0.9,50.93
Malaysia,0,0.052,1.18,64.81
Maldives,8,0.025,0.96,0
Mali,1,0,1.13,37.96
Malta,8,0.035,1,0
Marshall Islands,8,0,0,0
Mauritania,3,0.026,1.16,17.59
Mauritius,3,0,0.8,16.67
Mexico,7,0.371,1.02,71.76
Moldova,6,0,1.06,48.15
Monaco,8,0,1.5,0
Mongolia,1,0,0.74,35.19
Montenegro,8,0,1.28,0
Morocco,0,0.162,1.12,65.74
Mozambique,0,0.076,1.07,62.96
Myanmar,4,0,1.05,78.24
Namibia,2,0.065,0.95,44.44
Nepal,0,0.235,0.94,63.89
Netherlands,5,0,1.09,62.04
New Zealand,3,0.001,0.85,22.22
Nicaragua,8,0,0.5,8.33
Niger,3,0,1.18,14.81
Nigeria,6,0.031,1.03,50.93
North Macedonia,8,0.274,1.38,0
Norway,2,0.019,1.45,43.52
Oman,2,0,1.04,44.44
Pakistan,6,0.028,1.21,53.24
Palestine,2,0.118,1.1,40.74
Panama,9,0.104,1.06,58.33
Papua New Guinea,2,0,0.7,45.37
Paraguay,0,0.236,0.99,64.81
Peru,7,0,0.94,74.07
Philippines,7,0.059,0.92,68.98
Poland,7,0.249,1.49,71.3
Portugal,0,0.105,1.35,66.2
Qatar,0,0.029,1,64.81
Romania,9,0.152,1.25,54.63
Russia,2,0.032,1.1,44.91
Rwanda,0,0.009,1.2,63.89
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
