country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,3,1.413,0.051,0.91
Albania,5,61.853,1.39,1.06
Algeria,3,9.076,0.251,0.89
Andorra,6,194.137,0,1.42
Angola,3,1.552,0.122,1.12
Antigua and Barbuda,4,0,0,0
Argentina,6,192.783,8.43,1.13
Armenia,4,11.136,0.675,0.88
Australia,0,5.412,0.314,0.63
Austria,2,26.87,0.111,1.18
Azerbaijan,3,14.991,0.099,1.03
Bahamas,4,35.601,38.144,0.96
Bahrain,6,228.611,0.588,1.02
Bangladesh,3,15.089,0.255,0.94
Barbados,4,0,0,0.8
Belarus,2,18.732,0.423,1.14
Belgium,2,13.46,0.345,0.98
Belize,5,67.904,10.06,1.17
Benin,4,0,0,0.94
Bhutan,3,1.296,0,0.75
Bolivia,5,85.582,5.911,0.89
Bosnia and Herzegovina,5,95.708,4.572,1.16
Botswana,5,108.01,0,0.78
Brazil,5,80.345,2.658,0.96
Brunei,4,0,0,0
Bulgaria,2,14.248,2.591,0.95
Burkina Faso,3,0.861,0,1
Burundi,4,0,0,0.72
Cambodia,4,0,0,0.24
Cameroon,3,0,0,1.01
Canada,2,20.587,0.265,1.12
Cape Verde,3,41.368,0,1.08
Central African Republic,3,0,0,0.6
Chad,3,0.061,0,0.98
Chile,5,99.549,3.348,0.97
China,3,0.016,0,0.58
Colombia,6,207.319,5.817,0.97
Comoros,4,0,0,0.66
Congo,3,23.378,0.181,0.58
Costa Rica,5,126.224,1.374,1.13
Cote d'Ivoire,4,1.327,0.038,0.94
Croatia,4,33.128,0.487,1.33
Cuba,2,3.09,0,0.97
Cyprus,2,34.251,0,1
Czechia,4,24.092,0.28,1.19
Democratic Republic of Congo,4,0.134,0,1.05
Denmark,0,18.3,0.173,1.16
Djibouti,3,1.012,0,0.37
Dominica,4,13.891,0,0
Dominican Republic,3,41.206,0.553,0.84
Ecuador,3,29.473,0.68,0.96
Egypt,3,1.349,0.176,0.95
El Salvador,3,29.139,1.233,1.02
Equatorial Guinea,4,0,0,0.42
Eritrea,3,0,0,0.25
Estonia,2,2.262,0.754,1.32
Eswatini,5,68.094,0,0.87
Ethiopia,3,12.804,0.122,1.17
Fiji,3,0,0,0
Finland,0,3.249,0.18,1.19
France,2,29.951,0.23,1.24
Gabon,3,9.435,0,1.04
Gambia,3,-41.379,0,1.04
Georgia,3,2.507,0.251,1.01
Germany,3,19.431,0.012,1.11
Ghana,3,3.765,0.064,0.97
Greece,2,14.871,0,1.18
Grenada,4,0,0,0
Guatemala,3,19.257,0.949,1
Guinea,3,8.3,0.152,1.08
Guinea-Bissau,4,0,0,0.59
Guyana,5,94.081,0,1.27
Haiti,4,2.456,0,0.93
Honduras,5,97.732,2.928,1.05
Hungary,2,3.727,0,1.55
Iceland,2,26.374,0,0.96
India,3,44.185,0.614,1.09
Indonesia,3,6.862,0.289,1.1
International,4,0,0,0
