country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,4,1.618,0.077,1.4
Albania,5,4.865,0,1.08
Algeria,5,2.166,0.182,1.08
Andorra,2,116.482,12.942,0.64
Angola,5,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,5,1.792,0.066,1.25
Armenia,0,14.511,0,1.23
Australia,3,1.647,0,0.42
Austria,2,8.661,0.999,0.46
Azerbaijan,5,2.466,0.099,0.78
Bahamas,0,0,0,0
Bahrain,2,63.47,0,1.32
Bangladesh,5,1.894,0.043,1.97
Barbados,5,0,0,0
Belarus,0,53.972,0.212,1.65
Belgium,1,113.291,19.845,0.97
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,0
Bolivia,4,2.313,0.086,1.41
Bosnia and Herzegovina,5,5.182,0.305,1.16
Botswana,4,2.126,0,0
Brazil,4,9.39,0.508,1.54
Brunei,6,2.286,0,0.22
Bulgaria,6,2.303,0.144,1.24
Burkina Faso,4,0.526,0,0.95
Burundi,0,0,0,0
Cambodia,6,0,0,0.07
Cameroon,4,0,0.753,1.27
Canada,2,33.835,4.345,1.21
Cape Verde,4,5.396,0,0
Central African Republic,4,0,0,0
Chad,5,0,0,0
Chile,4,18.728,0.366,1.34
China,6,0.013,0,0.76
Colombia,4,3.361,0.255,1.3
Comoros,0,0,0,0
Congo,5,0,0,0.79
Costa Rica,4,0.982,0.196,0.8
Cote d'Ivoire,4,1.744,0.038,1.24
Croatia,5,9.5,1.949,0.65
Cuba,4,4.326,0.177,1.11
Cyprus,2,6.85,0,0.68
Czechia,2,13.073,0.467,0.76
Democratic Republic of Congo,4,0.223,0,1.13
Denmark,2,24.688,1.554,0.98
Djibouti,2,115.384,0,1.28
Dominica,4,0,0,0
Dominican Republic,5,31.803,0.83,1.27
Ecuador,5,25.279,1.02,1.14
Egypt,4,1.094,0.147,1.3
El Salvador,2,1.696,0,1.17
Equatorial Guinea,0,0,0,0
Eritrea,5,0,0,0
Estonia,2,12.061,1.508,0.76
Eswatini,4,0,0,0
Ethiopia,2,0.026,0,0.24
Fiji,2,0,0,0
Finland,6,18.409,0.722,1.05
France,1,75.452,6.051,1.16
Gabon,4,0.449,0,1.15
Gambia,4,0.414,0,0
Georgia,5,1.504,0,0.9
Germany,4,21.985,1.516,0.74
Ghana,2,6.694,0,1.42
Greece,2,0,0.288,0.87
Grenada,0,0,0,0
Guatemala,5,1.228,0,1.28
Guinea,4,4.645,0.152,1.14
Guinea-Bissau,0,2.033,0,0
Guyana,4,2.543,1.271,0
Haiti,5,0.263,0,0
Honduras,5,1.514,0,1.3
Hungary,4,8.488,1.76,1.1
Iceland,2,32.234,0,0.35
India,5,1.372,0.028,1.54
Indonesia,4,1.196,0.172,1.19
International,0,0,0,0
Iran,6,15.989,1.036,0.77
Iraq,2,0.646,0,0.9
Ireland,1,99.842,7.898,1.08
Israel,2,31.887,0.924,0.77
Italy,1,50.395,7.162,0.83
Jamaica,4,3.377,0,0.97
Japan,6,2.894,0.15,0.98
Jordan,5,0.392,0,0.73
Kazakhstan,2,3.249,0,1.39
Kenya,2,0.149,0.037,1.07
Kosovo,5,15.522,0,1.14
Kuwait,5,38.402,0.234,1.4
Kyrgyzstan,5,7.357,0,1.09
Laos,5,0,0,0
Latvia,2,7.952,0,0.91
Lebanon,4,0.147,0,0.98
Lesotho,5,0,0,0
Liberia,5,2.966,0.198,0
Libya,5,0.291,0,0
Liechtenstein,0,52.443,0,0
Lithuania,2,21.673,0.735,0.92
Luxembourg,1,20.768,1.598,0.64
Madagascar,5,0.036,0,0.59
Malawi,6,0,0,0
Malaysia,6,2.595,0.031,0.76
Maldives,0,31.45,0,0
Mali,4,0.395,0.049,1.09
Malta,6,2.265,0,0.57
Marshall Islands,0,0,0,0
Mauritania,4,0,0,0
Mauritius,4,2.359,0,0.35
Mexico,4,5.926,0.279,1.54
Moldova,4,23.302,2.479,1.18
Monaco,4,0,0,0
Mongolia,4,0.305,0,0
Montenegro,0,1.592,0,0.41
Morocco,5,4.606,0.108,1.29
Mozambique,6,0.128,0,0
Myanmar,4,0.239,0,0
Namibia,4,0,0,0
Nepal,2,0,0,0
Netherlands,2,62.562,4.902,0.91
New Zealand,3,1.866,0.207,0.43
Nicaragua,0,0.151,0,0
Niger,6,0.372,0.041,0.86
Nigeria,4,0.412,0.01,1.67
North Macedonia,0,17.76,0.96,0.93
Norway,4,7.747,0.184,0.72
Oman,5,16.841,0.196,1.29
Pakistan,5,0.317,0.036,1.47
Palestine,5,1.176,0,0.8
