country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,2,1.439,0.026,1.41
Albania,6,8.34,0.347,1.1
Algeria,6,2.463,0.274,1.21
Andorra,2,0,0,0.69
Angola,6,0,0,0
Antigua and Barbuda,0,0,10.212,0
Argentina,6,2.832,0.089,1.27
Armenia,0,16.199,0.337,1.18
Australia,4,0.863,0,0.43
Austria,6,15.545,1.888,0.49
Azerbaijan,6,2.959,0.197,0.83
Bahamas,0,10.172,0,0
Bahrain,6,17.043,0,1.34
Bangladesh,6,2.071,0.061,2.31
Barbados,6,6.96,0,0
Belarus,0,50.374,0.423,1.79
Belgium,1,106.647,35.98,1.05
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,6,3.769,0.086,1.4
Bosnia and Herzegovina,6,17.374,0.61,1.17
Botswana,6,0.85,0,0
Brazil,2,9.903,0.884,1.59
Brunei,2,0,0,0.18
Bulgaria,2,7.628,0.288,1.24
Burkina Faso,2,0.191,0,0.95
Burundi,0,0,0,0
Cambodia,2,0,0,0.09
Cameroon,2,5.575,0.188,1.27
Canada,3,68.888,6.65,1.28
Cape Verde,2,0,0,0
Central African Republic,2,0,0,0
Chad,6,0.244,0,0
Chile,6,27.934,0.575,1.36
China,2,0.033,0,1.03
Colombia,2,2.516,0.255,1.29
Comoros,0,0,0,0
Congo,6,0,0,0.79
Costa Rica,2,3.141,0,0.82
Cote d'Ivoire,2,0.607,0,1.25
Croatia,6,12.179,0.487,0.73
Cuba,6,4.238,0.265,1.19
Cyprus,6,22.834,0,0.78
Czechia,6,20.263,0.28,0.77
Democratic Republic of Congo,2,0.145,0.011,1.12
Denmark,6,34.184,2.072,1.01
Djibouti,3,157.894,0,1.62
Dominica,2,0,0,0
Dominican Republic,6,12.998,0.645,1.33
Ecuador,6,20.801,0.85,1.22
Egypt,2,1.642,0.127,1.34
El Salvador,6,0.771,0,1.16
Equatorial Guinea,0,0,0,0
Eritrea,6,0,0,0
Estonia,6,25.631,0.754,0.82
Eswatini,2,0.862,0.862,0
Ethiopia,4,0.061,0,0
Fiji,6,1.116,0,0
Finland,2,23.824,0.541,1.08
France,1,191.349,11.536,1.25
Gabon,2,0,0,0
Gambia,2,0,0,0
Georgia,6,10.528,0,1.36
Germany,6,35.15,2.96,0.78
Ghana,4,0.161,0,1.42
Greece,4,1.439,0.288,0.85
Grenada,0,0,0,0
Guatemala,6,0.893,0,1.26
Guinea,2,2.589,0,1.14
Guinea-Bissau,0,0,0,0
Guyana,6,0,0,0
Haiti,6,0,0,0
