country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,6,19.472,0.617,1.13
Albania,0,6.95,0,1.19
Algeria,0,2.44,0.137,0.75
Andorra,6,90.597,0,0.44
Angola,0,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,6,20.998,0.31,1.32
Armenia,3,173.797,4.05,1.27
Australia,5,0.431,0,0.9
Austria,2,1.332,0.111,0.88
Azerbaijan,6,32.054,0.493,1.43
Bahamas,1,0,0,0.05
Bahrain,3,296.195,0.588,1.18
Bangladesh,0,16.364,0.225,1.3
Barbados,0,0,0,0
Belarus,6,91.118,0.529,0.95
Belgium,4,6.04,1.467,0.71
Belize,0,0,0,0
Benin,0,0,0,0.97
Bhutan,0,0,0,0
Bolivia,6,55.427,2.056,1.29
Bosnia and Herzegovina,0,4.877,0,1.17
Botswana,0,0,0,0
Brazil,6,134.706,6.346,1.23
Brunei,0,0,0,0
Bulgaria,4,3.166,0.288,1.23
Burkina Faso,0,0.144,0,0.94
Burundi,1,0,0,0
Cambodia,0,0,0,0.05
Cameroon,0,0,0,1.16
Canada,6,18.043,2.676,0.79
Cape Verde,6,19.785,0,1.1
Central African Republic,6,21.533,0,1.01
Chad,0,1.035,0,0.79
Chile,3,258.524,4.551,1.19
China,0,-0.001,0,1.26
Colombia,6,29.892,0.708,1.27
Comoros,1,0,0,0.71
Congo,0,0,0,0.79
Costa Rica,0,10.208,0,1.46
Cote d'Ivoire,0,3.26,0.076,1.23
Croatia,5,0,0,0.26
Cuba,4,1.324,0,1.08
Cyprus,5,6.85,0,1
Czechia,4,6.91,0.187,1.03
Democratic Republic of Congo,0,1.887,0.033,1.11
Denmark,2,6.388,0,0.86
Djibouti,3,157.894,1.012,1.04
Dominica,0,0,0,0
Dominican Republic,6,26.549,0.092,1.08
Ecuador,6,31.287,2.721,1.1
Egypt,0,10.544,0.352,1.26
El Salvador,6,8.017,0.308,1.16
Equatorial Guinea,1,0,0,0.39
Eritrea,0,0,0,0
Estonia,2,7.538,0.754,1.05
Eswatini,0,0.862,0,1.22
Ethiopia,6,1.235,0.026,1.6
Fiji,0,0,0,0
Finland,4,4.332,0.18,0.71
France,4,5.393,1.241,1.11
Gabon,6,44.48,0,1.11
Gambia,0,0.414,0,0
Georgia,0,1.003,0,0.89
Germany,0,2.888,0.465,0.81
Ghana,0,8.078,0,1.23
Greece,5,0,0,1.15
Grenada,1,0,0,0
Guatemala,6,9.712,1.116,1.29
Guinea,0,3.579,0,1.1
Guinea-Bissau,1,0,0,0.8
Guyana,0,0,0,0.59
Haiti,6,24.644,0.263,1.28
Honduras,6,16.457,0.909,1.27
Hungary,4,1.035,0.207,0.72
Iceland,5,0,0,0.42
India,0,6.98,0.188,1.25
Indonesia,0,2.501,0.128,1.12
International,1,0,0,0
Iran,6,37.313,0.833,1.3
Iraq,6,19.417,0.522,1.9
Ireland,4,9.113,0.203,0.53
Israel,4,11.207,0.116,1.73
