country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,2,0.154,0.051,1.04
Albania,2,37.529,0.695,0.93
Algeria,2,3.649,0.091,0.78
Andorra,2,0,0,1.46
Angola,2,2.495,0.122,1.12
Antigua and Barbuda,2,0,0,0
Argentina,1,248.895,7.412,1.06
Armenia,0,144.774,0.337,1.33
Australia,4,0.941,0.078,0.6
Austria,0,79.277,0.111,1.09
Azerbaijan,2,10.652,0.197,0.89
Bahamas,2,0,0,1.04
Bahrain,1,343.798,1.763,0.96
Bangladesh,2,6.716,0.219,0.88
Barbados,2,0,0,0.66
Belarus,2,35.135,0.635,1.23
Belgium,0,157.641,0.431,1.37
Belize,2,42.754,2.515,1.16
Benin,2,0,0,0.94
Bhutan,2,10.368,0,0.78
Bolivia,2,31.697,2.399,0.81
Bosnia and Herzegovina,0,71.019,3.658,1.16
Botswana,2,0,0,0.76
Brazil,0,133.506,4.088,0.97
Brunei,2,0,0,0
Bulgaria,2,24.322,0,1.26
Burkina Faso,2,0.526,0,0.99
Burundi,2,0.168,0,0.74
Cambodia,2,0.06,0,0.31
Cameroon,2,0.866,0,0.95
Canada,2,27.9,0.185,1.29
Cape Verde,0,131.298,1.799,1.07
Central African Republic,2,0,0,0.55
Chad,2,0.122,0,1
Chile,0,110.43,3.348,1.01
China,2,0.01,0,0.95
Colombia,0,151.741,3.793,0.97
Comoros,2,4.6,0,0.65
Congo,2,0,0,0.56
Costa Rica,1,242.044,3.141,1.03
Cote d'Ivoire,2,1.668,0,0.92
Croatia,2,51.641,0.731,0.98
Cuba,3,5.474,0.177,0.94
Cyprus,3,14.842,0,1.42
Czechia,0,184.518,0.934,1.25
Democratic Republic of Congo,2,0.167,0,1.07
Denmark,0,107.213,0.173,1.2
Djibouti,2,0,0,0.86
Dominica,2,0,0,0
Dominican Republic,2,33.186,0.553,0.9
Ecuador,0,85.359,2.097,1.02
Egypt,2,1.085,0.156,0.91
El Salvador,2,0,0,1.07
Equatorial Guinea,2,7.128,0,0.49
Eritrea,2,1.692,0,0.3
Estonia,3,35.431,0,1.23
Eswatini,2,17.239,0,0.83
Ethiopia,2,4.584,0.087,0.88
Fiji,2,0,0,0
Finland,3,16.785,0,1.34
France,2,0.506,0,1.27
Gabon,2,0,0,1.05
Gambia,2,0,0,0.64
Georgia,0,74.201,0.251,1.47
