country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,2.081,0.103,1.17
Albania,1,50.038,1.39,1.09
Algeria,1,3.056,0.182,0.83
Andorra,2,3365.042,0,1.47
Angola,1,3.895,0.122,1.12
Antigua and Barbuda,1,0,0,0.26
Argentina,4,248.74,9.957,1.05
Armenia,1,61.082,2.362,1.36
Australia,0,0.98,0.039,0.86
Austria,1,83.274,0.555,1.19
Azerbaijan,1,9.567,0.197,1.2
Bahamas,4,109.346,0,1.17
Bahrain,4,266.81,0.588,0.92
Bangladesh,1,8.756,0.164,0.96
Barbados,1,3.48,0,0.85
Belarus,1,89.319,1.164,1.28
Belgium,4,169.807,1.208,1.48
Belize,4,163.472,2.515,1.16
Benin,1,0,0,0.93
Bhutan,1,1.296,0,0.78
Bolivia,1,20.475,2.399,0.78
Bosnia and Herzegovina,1,28.956,2.743,1.16
Botswana,1,0,0,0.75
Brazil,1,56.201,1.52,0.97
Brunei,1,0,0,0
Bulgaria,1,40.729,1.439,1.43
Burkina Faso,1,0.813,0,0.99
Burundi,1,0.084,0,0.74
Cambodia,1,0.12,0,0.48
Cameroon,1,0,0,0.92
Canada,1,76.387,0.715,1.25
Cape Verde,4,131.298,5.396,1.07
Central African Republic,1,0,0,0.56
Chad,1,0.365,0,1.02
Chile,1,81.972,3.034,0.97
China,1,0.016,0,1.07
Colombia,4,139.654,2.594,1.02
Comoros,1,0,0,0.65
Congo,1,0,0,0.57
Costa Rica,4,382.206,7.263,1.03
Cote d'Ivoire,1,0.114,0,0.92
Croatia,1,33.615,0.487,1.28
Cuba,3,3.178,0.088,0.78
Cyprus,3,26.259,0,1.46
Czechia,4,291.344,2.895,1.43
Democratic Republic of Congo,1,0.201,0,1.08
Denmark,3,65.26,0.173,1.12
Djibouti,1,2.024,0,0.98
Dominica,1,0,0,0
Dominican Republic,1,52.913,0.922,0.99
Ecuador,1,17.287,1.927,0.95
Egypt,1,0.958,0.088,0.97
El Salvador,1,13.721,0.308,1.09
Equatorial Guinea,1,0,0,0.51
Eritrea,1,0,0,0.37
Estonia,1,7.538,0,1.05
Eswatini,1,8.619,0.862,0.86
Ethiopia,1,5.376,0.07,1.04
Fiji,1,0,0,0
Finland,3,29.599,0.18,1.32
France,2,532.835,2.237,1.29
Gabon,1,4.942,0,1.06
Gambia,1,0,0,0.68
Georgia,4,144.892,1.003,1.45
Germany,1,37,0.251,1.32
Ghana,1,0,0,1.05
Greece,1,28.782,0.768,1.15
Grenada,1,0,0,0
Guatemala,1,12.224,0.502,0.99
Guinea,1,3.503,0.076,1.08
Guinea-Bissau,1,11.687,0.508,0.44
Guyana,4,120.779,3.814,1.04
Haiti,1,0.702,0,0.89
Honduras,1,39.477,1.111,1.03
Hong Kong,1,0,0,0
Hungary,1,93.682,1.139,1.1
Iceland,4,172.894,0,1.44
India,1,44.396,0.641,0.93
Indonesia,1,13.242,0.373,1.01
International,1,0,0,0
Iran,1,46.456,2.798,1.12
Iraq,1,94.673,1.616,0.92
Ireland,4,104.703,0,1.31
Israel,2,660.964,3.119,0.86
Italy,1,37.329,0.265,1.39
Jamaica,1,39.512,0,0.96
Japan,1,2.222,0.032,0.97
Jordan,4,178.768,0.882,1.53
