country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,5,0.077,0,1.618
Albania,5,0,0,4.865
Algeria,5,0.182,0,2.166
Andorra,3,12.942,0,116.482
Angola,1,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,5,0.066,0,1.792
Armenia,0,0,0,14.511
Australia,5,0,0,1.647
Austria,2,0.999,22.651,8.661
Azerbaijan,5,0.099,0,2.466
Bahamas,1,0,0,0
Bahrain,4,0,0,63.47
Bangladesh,5,0.043,0,1.894
Barbados,1,0,0,0
Belarus,4,0.212,0,53.972
Belgium,7,19.845,92.41,113.291
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,0
Bolivia,5,0.086,0,2.313
Bosnia and Herzegovina,2,0.305,0,5.182
Botswana,5,0,0,2.126
Brazil,2,0.508,0,9.39
Brunei,5,0,0,2.286
Bulgaria,5,0.144,5.181,2.303
Burkina Faso,1,0,0,0.526
Burundi,1,0,0,0
Cambodia,1,0,0,0
Cameroon,6,0.753,0,0
Canada,4,4.345,0,33.835
Cape Verde,2,0,0,5.396
Central African Republic,1,0,0,0
Chad,1,0,0,0
Chile,0,0.366,0,18.728
China,1,0,0,0.013
Colombia,5,0.255,0,3.361
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,1,0.196,0,0.982
Cote d'Ivoire,5,0.038,0,1.744
Croatia,2,1.949,0,9.5
Cuba,5,0.177,0,4.326
Cyprus,2,0,0,6.85
Czechia,0,0.467,7.564,13.073
Democratic Republic of Congo,1,0,0,0.223
Denmark,0,1.554,14.502,24.688
Djibouti,3,0,0,115.384
Dominica,1,0,0,0
Dominican Republic,4,0.83,0,31.803
Ecuador,0,1.02,0,25.279
Egypt,1,0.147,0,1.094
El Salvador,5,0,0,1.696
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,2,1.508,10.554,12.061
Eswatini,1,0,0,0
Ethiopia,1,0,0,0.026
Fiji,1,0,0,0
Finland,0,0.722,12.273,18.409
France,7,6.051,86.467,75.452
Gabon,1,0,0,0.449
Gambia,1,0,0,0.414
Georgia,5,0,0,1.504
Germany,0,1.516,0,21.985
Ghana,2,0,0,6.694
Greece,1,0.288,0,0
Grenada,1,0,0,0
Guatemala,1,0,0,1.228
Guinea,5,0.152,0,4.645
Guinea-Bissau,5,0,0,2.033
Guyana,5,1.271,0,2.543
Haiti,1,0,0,0.263
Honduras,5,0,0,1.514
Hungary,2,1.76,0,8.488
Iceland,4,0,14.652,32.234
India,5,0.028,0,1.372
