country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,1,0,0,27.78
Albania,2,0,0,8.33
Algeria,2,0,0,5.56
Andorra,5,0,0,0
Angola,2,0,0,8.33
Antigua and Barbuda,5,0,0,0
Argentina,4,0.057,0,11.11
Armenia,5,0,0,0
Australia,3,0,0,19.44
Austria,4,0.016,0,11.11
Azerbaijan,1,0,0,30.56
Bahamas,5,0,0,0
Bahrain,1,0,0,30.56
Bangladesh,6,0,0,13.89
Barbados,3,0,0,16.67
Belarus,5,0,0,0
Belgium,6,0,0,13.89
Belize,4,0,0,11.11
Benin,6,0,0,13.89
Bhutan,1,0,0,31.48
Bolivia,0,0,0,62.04
Bosnia and Herzegovina,4,0,0,11.11
Botswana,6,0,0,13.89
Brazil,4,0,0,11.11
Brunei,3,0,0,19.44
Bulgaria,3,0,0,21.3
Burkina Faso,5,0,0,0
Burundi,4,0,0,11.11
Cambodia,5,0,0,0
Cameroon,5,0,0,0
Canada,5,0,0,2.78
Cape Verde,3,0,0,19.44
Central African Republic,5,0,0,0
Chad,5,0,0,0
Chile,5,0,0,0
China,0,0,0.24,81.02
Colombia,4,0,0,12.04
Comoros,5,0,0,0
Congo,2,0,0,5.56
Costa Rica,4,0,0,11.11
Cote d'Ivoire,5,0,0,0
Croatia,6,0,0,13.89
Cuba,6,0,0,13.89
Cyprus,4,0,0,11.11
Czechia,3,0.045,0,19.44
Democratic Republic of Congo,2,0,0,5.56
Denmark,3,0.039,0,25.93
Djibouti,5,0,0,0
Dominica,5,0,0,0
Dominican Republic,4,0,0,11.11
Ecuador,2,0,0,8.33
Egypt,5,0,0,0
El Salvador,3,0,0,19.44
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,5,0.041,0,0
Eswatini,6,0,0,13.89
Ethiopia,5,0,0,2.78
Fiji,3,0,0,19.44
Finland,3,0.034,0,19.44
France,1,0,2.58,43.98
Gabon,6,0,0,13.89
Gambia,4,0,0,11.11
Georgia,1,0,0,41.67
Germany,3,0,3.01,25
Ghana,5,0,0,2.78
Greece,1,0,0,28.7
Grenada,5,0,0,0
Guatemala,3,0,0,25
Guinea,4,0,0,11.11
Guinea-Bissau,5,0,0,0
Guyana,6,0,0,13.89
Haiti,2,0,0,8.33
Honduras,4,0,0,11.11
Hungary,4,0,0,11.11
Iceland,3,0.12,0,16.67
India,1,0,0,26.85
Indonesia,1,0,0,37.04
International,5,0,0,0
Iran,1,0,2.88,42.59
Iraq,0,0,0,52.78
Ireland,4,0,0,11.11
Israel,1,0.023,0,33.33
Italy,0,0.181,2.55,74.54
Jamaica,3,0,0,19.44
Japan,1,0.032,1.63,43.52
Jordan,4,0,0,11.11
Kazakhstan,2,0,0,8.33
Kenya,6,0,0,13.89
Kosovo,5,0,0,0
Kuwait,1,0,0,27.78
Kyrgyzstan,3,0,0,22.22
Laos,5,0,0,0
Latvia,2,0,0,8.33
Lebanon,1,0,0,37.96
Lesotho,4,0,0,11.11
Liberia,2,0,0,5.56
Libya,2,0,0,5.56
Liechtenstein,5,0,0,0
Lithuania,4,0,0,11.11
Luxembourg,4,0.095,0,11.11
Madagascar,5,0,0,0
Malawi,2,0,0,5.56
Malaysia,3,0.084,0,19.44
Maldives,5,0,0,0
Mali,5,0,0,0
Malta,5,0,0,0
Marshall Islands,5,0,0,0
Mauritania,2,0,0,5.56
Mauritius,5,0,0,0
Mexico,5,0.004,0,2.78
Moldova,2,0,0,8.33
Monaco,1,0,0,27.78
Mongolia,0,0,0,57.41
Montenegro,5,0,0,0
Morocco,2,0.072,0,5.56
Mozambique,2,0,0,8.33
Myanmar,5,0,0,2.78
Namibia,5,0,0,2.78
Nepal,3,0,0,22.22
Netherlands,5,0,0,1.85
New Zealand,3,0,0,19.44
Nicaragua,2,0,0,8.33
Niger,5,0,0,0
Nigeria,4,0,0,11.11
North Macedonia,5,0,0,0
Norway,4,0.044,0,11.11
Oman,3,0,0,19.44
Pakistan,1,0,0,28.7
Palestine,0,0,0,74.07
Panama,2,0,0,8.33
Papua New Guinea,6,0,0,13.89
Paraguay,2,0,0,5.56
Peru,6,0,0,13.89
Philippines,3,0,0,25
Poland,4,0,0,11.11
Portugal,4,0,0,11.11
Qatar,6,0,0,13.89
Romania,3,0,0,16.67
Russia,3,0,0,22.22
Rwanda,6,0,0,13.89
Saint Kitts and Nevis,5,0,0,0
Saint Lucia,5,0,0,0
Saint Vincent and the Grenadines,5,0,0,0
Samoa,5,0,0,0
San Marino,1,0,0,33.33
Sao Tome and Principe,5,0,0,0
Saudi Arabia,4,0,0,11.11
Senegal,5,0.286,0,0
Serbia,6,0.029,0,13.89
Seychelles,3,0,0,16.67
Sierra Leone,5,0,0,0
Singapore,3,0,0.87,25
Slovakia,3,0,0,16.67
Slovenia,4,0,0,11.11
Solomon Islands,2,0,0,8.33
Somalia,5,0,0,0
South Africa,6,0.016,0,13.89
South Korea,0,0.045,1.04,55.56
South Sudan,2,0,0,5.56
Spain,4,0,2.56,11.11
Sri Lanka,4,0,0,11.11
Sudan,2,0,0,5.56
Suriname,5,0,0,0
Sweden,5,0,0,0
Switzerland,3,0.052,2.87,25
Syria,5,0,0,2.78
Taiwan,1,0.003,0,28.7
Tajikistan,6,0,0,13.89
Tanzania,5,0,0,2.78
Thailand,3,0.001,0,16.67
Timor,4,0,0,11.11
Togo,5,0,0,0
Trinidad and Tobago,3,0,0,16.67
Tunisia,6,0,0,13.89
Turkey,3,0,0,19.44
Uganda,3,0,0,16.67
Ukraine,4,0,0,11.11
United Arab Emirates,6,0,0,15.74
United Kingdom,4,0,2.19,11.11
United States,3,0,3.6,20.37
Uruguay,5,0,0,0
Uzbekistan,3,0,0,16.67
Vanuatu,5,0,0,0
Vatican,5,0,0,0
Venezuela,4,0,0,11.11
Vietnam,1,0,0,47.22
Yemen,5,0,0,0
Zambia,3,0,0,16.67
Zimbabwe,2,0,0,8.33
