country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,5,0,0.93,21.3
Albania,4,0,0.91,54.63
Algeria,6,0,0.88,79.63
Andorra,4,0,1.46,45.37
Angola,6,0,1.13,76.39
Antigua and Barbuda,3,0,0,0
Argentina,6,0.479,1.12,87.96
Armenia,1,0,0.95,0
Australia,6,0.002,0.61,75.46
Austria,2,0.024,1.13,35.19
Azerbaijan,6,0,0.98,85.19
Bahamas,1,0,0.96,0
Bahrain,0,0.035,1.04,60.19
Bangladesh,6,0.169,0.91,80.09
Barbados,2,0,0.79,38.89
Belarus,5,0.024,1.11,16.67
Belgium,4,0.021,1.03,52.78
Belize,0,0,1.16,72.69
Benin,2,0,0.94,41.67
Bhutan,6,0,0.77,97.22
Bolivia,6,0.361,0.87,84.26
Bosnia and Herzegovina,4,0,1.16,46.3
Botswana,4,0,0.78,52.78
Brazil,0,0,0.96,69.91
Brunei,2,0,0,40.74
Bulgaria,2,0.024,0.97,38.89
Burkina Faso,4,0,1,48.15
Burundi,1,0,0.72,11.11
Cambodia,2,0,0.27,44.44
Cameroon,4,0,1.01,57.41
Canada,0,0.01,1.18,64.35
Cape Verde,0,0.138,1.08,65.28
Central African Republic,4,0,0.62,54.63
Chad,0,0,1,64.81
Chile,6,0.06,0.99,81.94
China,6,0,0.64,78.24
Colombia,6,0,0.93,87.04
Comoros,1,0,0.66,0
Congo,0,0,0.57,62.04
Costa Rica,0,0,1.14,61.11
Cote d'Ivoire,2,0.086,0.96,38.43
Croatia,2,0.127,1.06,35.19
Cuba,6,0.009,1.09,82.41
Cyprus,4,0.002,0.74,50
Czechia,2,0.042,1.34,36.11
Democratic Republic of Congo,4,0.158,1.06,46.3
Denmark,4,0.002,1.22,50.93
Djibouti,4,0,0.51,50.93
Dominica,2,0,0,36.11
Dominican Republic,6,0.157,0.93,78.7
Ecuador,0,0,0.98,73.61
Egypt,0,0,1.03,62.96
El Salvador,6,0.053,1.02,80.56
Equatorial Guinea,3,0,0.45,0
Eritrea,6,0,0.25,89.81
Estonia,5,0.01,1.28,23.15
Eswatini,0,0,0.85,64.81
Ethiopia,6,0.074,0.89,80.56
Fiji,4,0,0,51.85
Finland,5,0.001,1.21,32.41
France,4,0.039,1.27,48.15
Gabon,0,0,1.03,66.67
Gambia,0,0,0.89,72.22
Georgia,4,0,1.52,57.41
Germany,0,0,1.04,59.72
Ghana,4,0.086,0.97,52.78
Greece,4,0.016,1.11,56.02
Grenada,3,0,0,0
Guatemala,6,0.269,0.98,87.04
Guinea,0,0,1.08,70.83
Guinea-Bissau,1,0,0.55,0
Guyana,0,0,1.21,73.15
Haiti,5,0,0.93,21.3
Honduras,6,0,1.04,82.41
Hong Kong,0,0,0,66.67
Hungary,4,0.032,2.15,49.07
Iceland,4,0.008,0.94,46.3
India,6,0.082,1.09,81.02
Indonesia,0,0.182,1.17,59.72
International,3,0,0,0
Iran,0,0.083,0.8,60.19
Iraq,6,0.182,1.03,84.26
Ireland,0,0.011,1.19,70.83
Israel,2,0.065,1.24,37.96
Italy,4,0.015,1.22,54.63
Jamaica,6,0.167,1.43,78.7
Japan,5,0.043,0.77,32.41
Jordan,4,0,1.46,50.93
Kazakhstan,6,0.033,0.55,79.63
Kenya,0,0.057,0.72,70.37
Kosovo,4,0,0.87,58.33
Kuwait,0,0.154,1.02,65.74
Kyrgyzstan,0,0,0.7,73.61
Laos,2,0,0,36.11
Latvia,2,0.004,1.13,41.67
Lebanon,0,0,1.17,64.81
Lesotho,0,0,0.98,71.3
Liberia,0,0,0.91,60.19
Libya,6,0.166,1.2,89.81
Liechtenstein,3,0,0.12,0
Lithuania,2,0.008,1.13,34.26
Luxembourg,4,0,1.07,47.22
Madagascar,0,0.18,0.81,60.19
Malawi,0,0.055,0.81,64.81
Malaysia,4,0.001,1.28,57.41
Maldives,1,0.108,1,0
Mali,4,0,1.09,47.22
Malta,1,0.014,0.85,0
Marshall Islands,3,0,0,0
Mauritania,5,0.059,0.89,29.63
Mauritius,5,0,0.27,22.22
Mexico,6,0.402,0.98,74.54
Moldova,4,0,1.03,57.41
Monaco,3,0,0.46,0
Mongolia,0,0,0.36,60.19
Montenegro,1,0,1.29,0
Morocco,0,0.06,1.09,70.37
Mozambique,0,0.054,1.11,64.35
Myanmar,6,0.028,1.93,81.48
Namibia,0,0.155,1.03,61.11
Nepal,6,0.082,1.22,82.41
