country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,1,0,1.31,84.26
Albania,5,0,0.91,83.33
Algeria,5,0,1.01,76.85
Andorra,4,0,0.47,50
Angola,5,0,0,81.48
Antigua and Barbuda,2,0,0,0
Argentina,1,0.091,1.4,90.74
Armenia,2,0,1.41,0
Australia,6,0,0.75,67.13
Austria,0,0.008,0.88,59.26
Azerbaijan,5,0,1.25,77.78
Bahamas,2,0,0,0
Bahrain,6,0.04,1.22,75
Bangladesh,3,0.148,1.37,93.52
Barbados,5,0,0,81.48
Belarus,2,0.073,1.05,16.67
Belgium,6,0.017,0.71,75
Belize,1,0,0,85.19
Benin,0,0,0.97,57.41
Bhutan,5,0,0,83.33
Bolivia,1,0.339,1.39,84.26
Bosnia and Herzegovina,5,0,1.16,76.85
Botswana,5,0,0,78.7
Brazil,5,0,1.36,81.02
Brunei,0,0,0.01,52.78
Bulgaria,0,0.029,0.9,62.96
Burkina Faso,0,0,0.94,60.19
Burundi,2,0,0,13.89
Cambodia,0,0,0.03,57.41
Cameroon,0,0,1.22,63.89
Canada,6,0.042,0.88,70.83
Cape Verde,5,0,1.08,79.17
Central African Republic,5,0,0.92,75.93
Chad,6,0,0.9,74.07
Chile,5,0.229,1.44,78.24
China,5,0,0.8,81.94
Colombia,1,0,1.29,87.04
Comoros,2,0,0,0
Congo,5,0,0.82,82.41
Costa Rica,6,0,1.23,72.22
Cote d'Ivoire,0,0.066,1.18,64.81
Croatia,6,0.003,0.39,70.37
Cuba,3,0.006,0.68,100
Cyprus,3,0.001,0.75,92.59
Czechia,0,0.009,1.05,57.41
Democratic Republic of Congo,5,0,1.13,80.56
Denmark,6,0.005,0.82,65.74
Djibouti,0,0,1.93,59.26
Dominica,6,0,0,72.22
Dominican Republic,3,0.181,1.09,96.3
Ecuador,1,0,0.96,86.11
Egypt,1,0,1.35,84.26
El Salvador,3,0.031,1.18,100
Equatorial Guinea,2,0,0.63,0
Eritrea,3,0,0,93.52
Estonia,4,0.006,0.91,50
Eswatini,1,0,0.95,84.26
Ethiopia,5,0.004,1.6,80.56
Fiji,5,0,0,78.7
Finland,0,0.016,0.75,53.7
France,5,0.021,0.99,76.85
Gabon,5,0,1.14,80.56
Gambia,5,0,0,77.78
Georgia,3,0,0.81,96.3
Germany,0,0,0.78,59.72
Ghana,0,0.043,1.27,62.04
Greece,6,0.003,0.86,68.52
Grenada,2,0,0,0
Guatemala,3,0.207,1.38,96.3
Guinea,5,0,1.12,78.7
Guinea-Bissau,2,0,0.82,0
Guyana,1,0,0.53,87.04
Haiti,1,0,1.43,89.81
Honduras,3,0,1.31,100
Hungary,6,0.01,0.83,66.67
Iceland,4,0,0.48,50
India,5,0.05,1.32,79.17
Indonesia,6,0.133,1.2,74.54
International,2,0,0,0
Iran,4,0.137,1.25,45.37
Iraq,5,0.028,1.37,82.41
Ireland,5,0.028,0.56,83.33
Israel,5,0.003,0.51,77.78
Italy,0,0.013,0.67,63.89
Jamaica,1,0.009,0.83,87.04
Japan,4,0.009,0.45,40.74
Jordan,5,0,1.15,77.78
Kazakhstan,1,0.011,1.28,83.8
Kenya,1,0.019,1.43,88.89
Kosovo,1,0,0.98,87.04
Kuwait,3,0,1.25,100
Kyrgyzstan,1,0,1.22,84.72
Laos,0,0,0,56.48
Latvia,0,0.005,0.87,61.11
Lebanon,5,0,1.23,77.78
Lesotho,0,0,0,62.04
Liberia,1,0,0.98,87.96
Libya,3,0.005,0,100
Liechtenstein,2,0,0,0
Lithuania,6,0.002,0.91,71.3
Luxembourg,0,0.009,0.75,56.48
Madagascar,6,0.076,1.7,70.37
Malawi,0,0.022,0,60.19
Malaysia,6,0.001,1,69.44
Maldives,2,0.07,1.11,0
Mali,0,0,1.07,56.48
Malta,2,0.006,1.26,0
Marshall Islands,2,0,0,0
Mauritania,5,0.141,0,77.78
Mauritius,5,0,0.07,78.7
Mexico,5,0.353,1.27,82.41
Moldova,5,0,1.12,80.56
Monaco,6,0,0,68.52
Mongolia,6,0,0.4,71.3
Montenegro,2,0,0,0
Morocco,3,0.021,0.81,93.52
Mozambique,0,0.019,1.1,56.48
Myanmar,5,0.003,0.76,80.56
Namibia,6,0,0,66.67
Nepal,3,0.013,1.77,92.59
Netherlands,6,0,0.73,68.52
New Zealand,4,0,0.53,39.81
