country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,2,0,1.42,84.26
Albania,6,0,0.69,89.81
Algeria,2,0,1.22,76.85
Andorra,4,0,0.53,52.78
Angola,2,0,0,78.7
Antigua and Barbuda,5,0,0,0
Argentina,6,0.064,1.22,88.89
Armenia,3,0,1.37,0
Australia,0,0.001,0.64,69.44
Austria,0,0.009,0.61,67.59
Azerbaijan,6,0,1.14,87.96
Bahamas,5,0,0,0
Bahrain,0,0.023,1.29,75
Bangladesh,6,0.108,1.37,89.81
Barbados,6,0,0,88.89
Belarus,3,0.111,1.31,16.67
Belgium,2,0.034,0.71,81.48
Belize,2,0,0,76.85
Benin,0,0,0,70.83
Bhutan,2,0,0,83.33
Bolivia,2,0.251,1.46,84.26
Bosnia and Herzegovina,6,0,1.16,90.74
Botswana,6,0,0,86.11
Brazil,2,0,1.46,77.31
Brunei,4,0,0.05,58.33
Bulgaria,0,0.022,1.07,73.15
Burkina Faso,2,0,0.95,84.26
Burundi,5,0,0,13.89
Cambodia,4,0,0.04,57.41
Cameroon,0,0,1.25,63.89
Canada,0,0.065,1.03,72.69
Cape Verde,2,0,1.07,79.63
Central African Republic,0,0,0,68.52
Chad,6,0,0,88.89
Chile,0,0.117,1.49,73.15
China,4,0,0.32,56.94
Colombia,6,0,1.36,90.74
Comoros,5,0,0,0
Congo,1,0,0.8,97.22
Costa Rica,0,0,0.95,72.22
Cote d'Ivoire,2,0.096,1.18,80.56
Croatia,6,0.011,0.5,89.81
Cuba,2,0.019,0.87,83.33
Cyprus,1,0.003,0.66,94.44
Czechia,4,0.011,0.69,57.41
Democratic Republic of Congo,2,0,1.14,80.56
Denmark,0,0.011,0.9,68.52
Djibouti,1,0,0.76,94.44
Dominica,2,0,0,79.63
Dominican Republic,1,0.174,1.18,100
Ecuador,1,0,0.9,93.52
Egypt,2,0,1.33,84.26
El Salvador,1,0.016,1.2,94.44
Equatorial Guinea,3,0,0.53,0
Eritrea,1,0,0,93.52
Estonia,0,0.011,0.62,75
Eswatini,2,0,0.75,84.26
Ethiopia,2,0.002,0.68,80.56
Fiji,6,0,0,88.89
Finland,4,0.027,0.92,60.19
France,6,0,0.96,87.96
Gabon,2,0,1.16,79.63
Gambia,2,0,0,78.7
Georgia,1,0,1.04,96.3
Germany,2,0,0.67,76.85
Ghana,0,0.039,1.39,62.04
Greece,2,0.008,0.79,84.26
Grenada,5,0,0,0
Guatemala,1,0.113,1.32,96.3
Guinea,2,0,1.13,78.7
Guinea-Bissau,3,0,0.87,0
Guyana,6,0,0,87.04
Haiti,6,0,0,89.81
Honduras,1,0,1.38,100
Hungary,2,0.023,0.86,76.85
Iceland,4,0.002,0.2,53.7
India,1,0.035,1.42,96.3
Indonesia,2,0.09,1.11,80.09
International,5,0,0,0
Iran,4,0.099,0.82,53.7
Iraq,6,0.016,1.3,85.19
Ireland,6,0.054,0.74,90.74
Israel,2,0.012,0.47,84.26
Italy,1,0.035,0.72,93.52
Jamaica,6,0.064,0.85,87.04
Japan,4,0.057,0.7,47.22
Jordan,6,0,0.92,89.81
Kazakhstan,6,0.011,1.25,89.35
Kenya,6,0.015,1.33,88.89
Kosovo,1,0,0.86,92.59
Kuwait,6,0,1.55,88.89
Kyrgyzstan,6,0,1.07,88.43
Laos,1,0,0,96.3
Latvia,0,0.005,0.88,69.44
Lebanon,2,0,1.11,81.48
Lesotho,6,0,0,90.74
Liberia,6,0,0.94,87.96
Libya,1,0.003,0,100
Liechtenstein,5,0,0,0
Lithuania,2,0,0.73,77.78
Luxembourg,0,0.013,0.59,70.37
Madagascar,0,0,1.17,67.59
Malawi,4,0.014,0,60.19
Malaysia,0,0.008,0.9,73.15
Maldives,3,0.142,1.39,0
Mali,0,0,1.08,69.44
Malta,3,0.003,0.76,0
Marshall Islands,5,0,0,0
Mauritania,2,0.002,0,77.78
Mauritius,2,0,0.19,82.41
Mexico,2,0.303,1.41,82.41
Moldova,2,0,1.05,84.26
Monaco,6,0,0,85.19
Mongolia,0,0,0,74.07
Montenegro,5,0,0.16,0
Morocco,1,0.062,1.02,93.52
Mozambique,4,0.017,0,56.48
Myanmar,6,0.003,0.44,86.11
Namibia,0,0,0,73.15
Nepal,1,0.003,0,96.3
Netherlands,2,0,0.66,79.63
New Zealand,2,0.001,0.37,83.33
Nicaragua,5,0,0,24.07
Niger,4,0,0.83,61.11
Nigeria,6,0.204,1.56,85.65
North Macedonia,3,0.061,0.76,0
Norway,0,0.016,0.69,67.59
Oman,6,0,1.25,87.96
Pakistan,6,0.126,1.38,89.81
Palestine,1,0,1.22,96.3
Panama,1,0.193,1.07,93.52
Papua New Guinea,0,0,0,68.06
Paraguay,1,0.036,1.81,94.44
Peru,1,0,1.46,96.3
Philippines,1,0.051,1.1,96.3
Poland,2,0,0.95,83.33
Portugal,6,0.027,0.85,87.96
Qatar,2,0.255,1.11,83.33
Romania,6,0.035,0.96,87.04
Russia,6,0.037,1.41,85.19
Rwanda,6,0.008,0.89,90.74
Saint Kitts and Nevis,5,0,0,0
Saint Lucia,5,0,0,0
Saint Vincent and the Grenadines,5,0,0,0
Samoa,5,0,0,0
San Marino,1,0,0.88,92.59
Sao Tome and Principe,5,0,0,0
Saudi Arabia,6,0.128,1.35,91.67
Senegal,2,0.084,1.53,77.78
Serbia,1,0.042,0.76,96.3
Seychelles,1,0,0,93.52
