country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,2,0,0,41.67
Albania,1,0,0,81.48
Algeria,2,0,0,38.89
Andorra,3,0,0,31.48
Angola,0,0,0,8.33
Antigua and Barbuda,0,0,0,0
Argentina,5,0.101,0,75
Armenia,0,0,0,0
Australia,4,0,2.34,44.44
Austria,1,0.218,2.43,81.48
Azerbaijan,6,0,0,61.11
Bahamas,0,0,0,0
Bahrain,5,0.01,1.29,66.67
Bangladesh,5,0.056,0,75.93
Barbados,4,0,0,50
Belarus,0,0.005,0,8.33
Belgium,5,0.091,2.34,73.15
Belize,2,0,0,38.89
Benin,3,0,0,27.78
Bhutan,3,0,0,33.33
Bolivia,1,0,0,84.26
Bosnia and Herzegovina,5,0,0,77.78
Botswana,6,0,0,58.33
Brazil,5,0,2.43,66.2
Brunei,4,0,0,50
Bulgaria,5,0,0,70.37
Burkina Faso,3,0,0,33.33
Burundi,0,0,0,11.11
Cambodia,4,0,0,46.3
Cameroon,6,0,0,57.41
Canada,6,0.013,2.56,61.11
Cape Verde,3,0,0,33.33
Central African Republic,0,0,0,11.11
Chad,3,0,0,27.78
Chile,6,0,2.42,55.56
China,1,0,0.57,79.17
Colombia,4,0,1.86,50.93
Comoros,0,0,0,0
Congo,0,0,0,11.11
Costa Rica,6,0,0,62.96
Cote d'Ivoire,6,0,0,57.41
Croatia,4,0.11,0,50
Cuba,0,0,0,13.89
Cyprus,4,0,0,51.85
Czechia,1,0.063,2.36,79.63
Democratic Republic of Congo,4,0,0,52.78
Denmark,5,0.086,1.41,72.22
Djibouti,3,0,0,33.33
Dominica,0,0,0,0
Dominican Republic,1,0,0,81.48
Ecuador,1,0,3,93.52
Egypt,3,0,1.53,29.63
El Salvador,6,0,0,65.74
Equatorial Guinea,0,0,0,0
Eritrea,3,0,0,22.22
Estonia,4,0.109,1.34,50
Eswatini,6,0,0,55.56
Ethiopia,2,0,0,35.19
Fiji,1,0.02,0,79.63
Finland,6,0.063,1.5,64.81
France,1,0,2.16,87.96
Gabon,4,0,0,44.44
Gambia,4,0,0,45.37
Georgia,6,0,0,59.26
Germany,6,0,2.47,55.09
Ghana,4,0,0,50
Greece,5,0.072,1.29,65.74
Grenada,0,0,0,0
Guatemala,1,0.043,0,83.33
Guinea,0,0,0,13.89
Guinea-Bissau,0,0,0,0
Guyana,2,0,0,41.67
Haiti,1,0,0,82.41
