country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,1,0,1.37,84.26
Albania,1,0,0.81,89.81
Algeria,5,0,1.08,76.85
Andorra,0,0,0.51,52.78
Angola,5,0,0,75.93
Antigua and Barbuda,4,0,0,0
Argentina,1,0.063,1.33,88.89
Armenia,4,0,1.33,0
Australia,6,0.001,0.76,69.44
Austria,3,0.006,0.82,64.81
Azerbaijan,1,0,1.45,85.19
Bahamas,4,0,0,0
Bahrain,6,0.039,1.27,75
Bangladesh,1,0.149,1.33,89.81
Barbados,5,0,0,81.48
Belarus,4,0.106,1.14,16.67
Belgium,5,0.022,0.72,78.7
Belize,5,0,0,76.85
Benin,6,0,0.97,70.83
Bhutan,1,0,0,83.33
Bolivia,1,0.268,1.43,84.26
Bosnia and Herzegovina,1,0,1.16,90.74
Botswana,5,0,0,80.56
Brazil,5,0,1.4,81.02
Brunei,3,0,0.02,58.33
Bulgaria,3,0.04,0.96,60.19
Burkina Faso,6,0,0.95,67.59
Burundi,4,0,0,13.89
Cambodia,3,0,0.03,57.41
Cameroon,3,0,1.24,63.89
Canada,6,0.048,0.9,72.69
Cape Verde,5,0,1.08,79.63
Central African Republic,5,0,0.82,75.93
Chad,1,0,0.95,88.89
Chile,5,0.153,1.47,75.93
China,5,0,0.72,81.94
Colombia,1,0,1.34,87.04
Comoros,4,0,0,0
Congo,2,0,0.81,97.22
Costa Rica,6,0,1.12,72.22
Cote d'Ivoire,6,0.105,1.18,69.91
Croatia,1,0.013,0.83,89.81
Cuba,1,0.009,0.61,85.19
Cyprus,2,0.002,0.64,92.59
Czechia,3,0.008,0.81,57.41
Democratic Republic of Congo,5,0,1.14,80.56
Denmark,3,0.011,0.84,65.74
Djibouti,2,0,1.32,94.44
Dominica,5,0,0,75.93
Dominican Republic,2,0.219,1.14,100
Ecuador,1,0,0.87,86.11
Egypt,1,0,1.28,84.26
El Salvador,2,0.032,1.2,100
Equatorial Guinea,4,0,0.59,0
Eritrea,2,0,0,93.52
Estonia,3,0.004,0.71,66.67
Eswatini,1,0,0.84,84.26
Ethiopia,5,0.008,1.91,80.56
Fiji,1,0,0,88.89
Finland,3,0.034,0.84,60.19
France,1,0,0.93,87.96
Gabon,5,0,1.15,79.63
Gambia,5,0,0,78.7
Georgia,2,0,0.71,96.3
Germany,3,0.027,0.7,64.35
Ghana,3,0.075,1.34,62.04
Greece,6,0.005,0.85,72.22
Grenada,4,0,0,0
Guatemala,2,0.135,1.38,96.3
Guinea,5,0,1.12,78.7
Guinea-Bissau,4,0,0.85,0
Guyana,1,0,0,87.04
Haiti,1,0,1.41,89.81
Honduras,2,0,1.35,100
Hungary,3,0.01,0.74,66.67
Iceland,0,0.001,0.22,50
India,5,0.044,1.36,81.94
Indonesia,6,0.093,1.15,74.54
International,4,0,0,0
Iran,0,0.113,1.11,50.93
Iraq,1,0.019,1.23,85.19
Ireland,1,0.031,0.65,90.74
Israel,5,0.005,0.35,77.78
Italy,3,0.02,0.65,62.96
Jamaica,1,0.026,0.75,87.04
Japan,0,0.023,0.46,47.22
Jordan,1,0,1.36,87.04
Kazakhstan,1,0.011,1.16,89.35
Kenya,1,0.025,1.3,88.89
Kosovo,2,0,0.9,92.59
Kuwait,2,0,1.76,100
Kyrgyzstan,1,0,1.19,85.65
Laos,5,0,0,82.41
Latvia,6,0.005,0.89,69.44
Lebanon,5,0,1.24,77.78
Lesotho,3,0,0,62.04
Liberia,1,0,0.96,87.96
Libya,2,0.001,0,100
Liechtenstein,4,0,0,0
Lithuania,5,0.002,0.88,77.78
Luxembourg,3,0.008,0.64,66.67
Madagascar,6,0.049,1.67,67.59
Malawi,3,0.04,0,60.19
Malaysia,6,0.006,0.87,69.44
Maldives,4,0.096,1.22,0
Mali,3,0,1.07,56.48
Malta,4,0.002,1.21,0
Marshall Islands,4,0,0,0
Mauritania,5,0,0,77.78
Mauritius,5,0,0.11,82.41
Mexico,5,0.33,1.32,82.41
Moldova,1,0,1.09,84.26
Monaco,6,0,0,72.22
Mongolia,6,0,0,71.3
Montenegro,4,0,0.05,0
Morocco,2,0.049,0.96,93.52
Mozambique,3,0.008,0,56.48
Myanmar,1,0.009,0.52,84.26
Namibia,3,0,0,66.67
Nepal,2,0.01,1.7,92.59
Netherlands,5,0.071,0.65,79.63
New Zealand,1,0,0.39,83.33
Nicaragua,4,0,0,18.52
Niger,3,0,0.84,61.11
Nigeria,1,0.196,1.32,84.26
North Macedonia,4,0.071,1,0
Norway,3,0.011,0.65,67.59
Oman,1,0,1.27,87.96
Pakistan,1,0.138,1.31,89.81
Palestine,2,0,0.23,96.3
Panama,2,0.177,1.02,93.52
Papua New Guinea,3,0,0,64.35
Paraguay,2,0.073,1.33,94.44
Peru,2,0,1.33,96.3
Philippines,2,0.036,1.03,96.3
Poland,1,0.025,1.05,83.33
Portugal,6,0.024,0.85,75
Qatar,1,0.299,1.36,83.33
Romania,1,0.036,0.88,87.04
Russia,1,0.056,1.2,85.19
Rwanda,6,0.003,0.8,73.15
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,3,0,0.81,66.67
Sao Tome and Principe,4,0,0.42,0
Saudi Arabia,1,0.118,1.26,89.81
