country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,4,0.411,0.9,0
Albania,6,53.513,1.03,0
Algeria,9,8.438,0.89,0
Andorra,4,0,1.43,0
Angola,9,1.856,1.12,0
Antigua and Barbuda,8,0,0,0
Argentina,0,194.067,1.13,0
Armenia,8,37.459,0.9,0
Australia,9,5.922,0.63,0
Austria,2,23.428,1.17,2.554
Azerbaijan,9,13.117,1.01,0
Bahamas,8,38.144,1,0
Bahrain,0,209.805,1.02,0
Bangladesh,9,15.453,0.94,0
Barbados,2,10.439,0.81,0
Belarus,2,8.678,1.14,0
Belgium,7,30.631,0.99,7.334
Belize,1,42.754,1.17,0
Benin,4,0,0.94,0
Bhutan,9,22.032,0.76,0
Bolivia,3,72.903,0.89,0
Bosnia and Herzegovina,3,90.526,1.16,0
Botswana,4,0,0.77,0
Brazil,0,221.745,0.97,0
Brunei,4,2.286,0,0
Bulgaria,7,29.215,0.96,9.211
Burkina Faso,4,0,1,0
Burundi,8,0,0.72,0
Cambodia,4,0,0.24,0
Cameroon,5,7.949,1.01,0
Canada,5,8.187,1.12,0
Cape Verde,3,64.75,1.08,0
Central African Republic,4,2.485,0.6,0
Chad,5,0.487,0.98,0
Chile,3,74.126,0.97,0
China,9,0.024,0.59,0
Colombia,0,204.882,0.96,0
Comoros,8,0,0.66,0
Congo,5,0,0.58,0
Costa Rica,0,165.289,1.13,0
Cote d'Ivoire,4,2.123,0.94,0
Croatia,6,53.346,1.34,0
Cuba,9,2.384,0.95,0
Cyprus,7,26.259,0.97,0
Czechia,6,34.27,1.23,2.988
Democratic Republic of Congo,4,0.547,1.06,0
Denmark,7,14.502,1.16,0.518
Djibouti,4,0,0.37,0
Dominica,2,0,0,0
Dominican Republic,1,56.14,0.84,0
Ecuador,1,42,0.97,0
Egypt,5,1.378,0.99,0
El Salvador,1,26.98,1.02,0
Equatorial Guinea,8,0,0.42,0
Eritrea,9,2.538,0.25,0
Estonia,2,14.323,1.34,0
Eswatini,7,19.825,0.86,0
Ethiopia,9,13.439,1.13,0
Fiji,4,0,0,0
Finland,2,7.761,1.19,0
France,6,53.437,1.25,6.143
Gabon,5,0,1.03,0
Gambia,1,41.793,1.02,0
Georgia,5,2.005,0.97,0
Germany,7,17.438,1.1,0
Ghana,4,3.057,0.97,0
Greece,7,16.118,1.17,0
Grenada,8,0,0,0
Guatemala,3,62.404,1,0
Guinea,5,3.96,1.08,0
Guinea-Bissau,8,0,0.58,0
Guyana,1,39.412,1.26,0
Haiti,2,0.175,0.93,0
Honduras,1,40.183,1.05,0
Hungary,4,2.484,1.67,0
Iceland,4,11.722,0.94,0
India,1,41.467,1.09,0
Indonesia,5,8.946,1.13,0
International,8,0,0,0
Iran,7,26.347,0.98,0
Iraq,3,98.502,1.03,0
Ireland,9,17.214,1.22,0.81
Israel,0,225.982,1.14,0
Italy,7,14.488,1.48,1.092
Jamaica,1,40.525,1.58,0
Japan,2,5.772,0.82,0
Jordan,5,7.547,1.57,0
Kazakhstan,9,0,0.54,0
Kenya,5,4.575,0.74,0
Kosovo,3,70.365,0.89,0
Kuwait,3,143.541,1,0
Kyrgyzstan,9,18.24,0.66,0
Laos,2,0,0,0
Latvia,4,2.651,1.09,0
Lebanon,3,77.944,1.21,0
Lesotho,9,15.871,0.98,0
Liberia,5,0.989,0.9,0
Libya,1,39.585,1.21,0
Liechtenstein,6,52.443,0.14,0
Lithuania,2,7.714,1.18,0
Luxembourg,6,70.29,0.99,3.195
Madagascar,5,2.636,0.76,0
Malawi,5,0.209,0.84,0
Malaysia,5,0.34,1.02,0
Maldives,0,249.749,1.04,0
Mali,4,0.247,1.09,0
Malta,6,86.063,1,0
Marshall Islands,8,0,0,0
Mauritania,2,6.882,0.87,0
Mauritius,2,0.786,0.3,0
Mexico,1,38.128,0.97,0
Moldova,3,131.384,1.09,0
Monaco,8,0,0.47,0
Mongolia,5,0.61,0.32,0
Montenegro,6,105.085,1.1,0
Morocco,1,34.57,1.09,0
Mozambique,5,2.176,1.11,0
Myanmar,9,0.551,1.98,0
Namibia,1,51.163,1.12,0
Nepal,1,29.344,1.27,0
Netherlands,7,26.787,1.03,2.801
New Zealand,5,1.037,1.07,0
Nicaragua,2,27.625,0.37,0
Niger,2,0.041,0.75,0
Nigeria,5,1.222,0.83,0
North Macedonia,6,60.479,0.96,0
Norway,2,10.883,1.16,0
Oman,1,28.003,1.03,0
Pakistan,4,2.037,0.86,0
Palestine,3,91.151,1.27,0
Panama,0,207.659,0.94,0
Papua New Guinea,4,2.012,0.78,0
Paraguay,3,87.767,1.22,0
Peru,0,185.37,1.03,0
Philippines,1,26.574,0.97,0
Poland,7,20.16,1.01,0
Portugal,7,18.83,1.18,4.021
Qatar,3,80.526,0.88,0
Romania,6,55.1,1,25.471
Russia,7,31.788,0.97,0
Rwanda,9,17.835,1.35,0
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
