country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,19.549,0.98,0
Albania,0,23.977,1.66,0
Algeria,6,2.554,0.98,0
Andorra,4,0,0.35,0
Angola,7,0.061,1.09,0
Antigua and Barbuda,3,0,0,0
Argentina,0,26.728,1.3,0
Armenia,9,133.975,1.11,0
Australia,5,0.471,1.46,0
Austria,2,2.887,1.05,1.665
Azerbaijan,0,36.196,1.17,0
Bahamas,3,0,0.23,0
Bahrain,8,461.923,1.12,0
Bangladesh,6,18.817,1.16,0
Barbados,6,3.48,0,0
Belarus,0,74.82,0.86,0
Belgium,2,6.126,0.81,6.471
Belize,7,2.515,0,0
Benin,4,3.382,0.97,0
Bhutan,7,1.296,0,0
Bolivia,0,52.6,1.23,0
Bosnia and Herzegovina,0,44.806,1.18,0
Botswana,7,0,0,0
Brazil,9,97.135,1.15,0
Brunei,2,0,0,0
Bulgaria,4,7.34,1.36,2.159
Burkina Faso,2,0,0.95,0
Burundi,3,0,0,0
Cambodia,4,0,0.09,0
Cameroon,0,44.564,1.11,0
Canada,6,9.512,0.77,0
Cape Verde,7,17.986,1.1,0
Central African Republic,0,34.163,0.96,0
Chad,7,0,0.74,0
Chile,8,269.039,1,0
China,7,0.03,1.99,0
Colombia,0,41.743,1.28,0
Comoros,3,0,0.72,0
Congo,0,28.089,0.73,0
Costa Rica,7,5.693,1.44,0
Cote d'Ivoire,6,13.458,1.21,0
Croatia,5,0.487,2.19,0
Cuba,7,1.236,0.79,0
Cyprus,6,2.283,0.78,0
Czechia,4,3.735,1.11,0.84
Democratic Republic of Congo,7,0.659,1.09,0
Denmark,6,4.144,0.95,1.554
Djibouti,0,36.437,0.55,0
Dominica,7,0,0,0
Dominican Republic,0,28.485,1.15,0
Ecuador,0,32.364,1.11,0
Egypt,6,16.524,1.11,0
El Salvador,7,16.342,1.16,0
Equatorial Guinea,3,0,0.29,0
Eritrea,7,3.666,0,0
Estonia,4,0.754,0.59,0.754
Eswatini,7,13.791,1.34,0
Ethiopia,7,1.531,1.14,0
Fiji,7,0,0,0
Finland,4,0.722,0.69,0.541
France,7,2.329,1.05,12.532
Gabon,8,256.096,1.09,0
Gambia,7,0.828,0,0
Georgia,6,3.76,1.21,0
Germany,6,1.957,1.08,0
Ghana,5,0,1.2,0
Greece,4,1.247,1.2,0
Grenada,3,0,0,0
Guatemala,0,23.834,1.25,0
Guinea,7,3.046,1.1,0
Guinea-Bissau,3,16.26,0.8,0
Guyana,7,0,0.68,0
Haiti,0,24.205,1.1,0
Honduras,0,32.308,1.26,0
Hungary,6,0.725,0.54,0
Iceland,4,2.93,0.93,0
India,7,7.73,1.21,0
Indonesia,6,3.718,1.17,0
International,3,0,0,0
Iran,2,29.157,1.03,0
Iraq,0,27.497,1.37,0
Ireland,7,3.645,0.61,4.86
Israel,0,22.876,1.42,0
Italy,5,4.978,0.91,3.424
Jamaica,6,1.351,1.11,0
Japan,1,0.553,1.21,0
Jordan,2,1.764,1.06,0
Kazakhstan,0,37.067,1.17,0
Kenya,7,2.473,1.22,0
Kosovo,0,25.352,1.58,0
Kuwait,9,119.656,0.86,0
Kyrgyzstan,0,28.663,1.53,0
Laos,4,0,0,0
Latvia,5,0,0.89,0
Lebanon,7,2.637,1.15,0
Lesotho,6,0,0,0
Liberia,7,7.909,1.03,0
Libya,7,1.892,1.21,0
Liechtenstein,3,0,0,0
Lithuania,5,1.837,0.86,0
Luxembourg,4,3.195,1.29,3.195
Madagascar,6,0.65,1.21,0
Malawi,6,0.418,1.26,0
Malaysia,5,1.267,0.64,0
Maldives,3,55.5,0.99,0
Mali,5,2.518,1.04,0
