country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,4,4.47,0.79,0
Albania,0,28.494,1.07,0
Algeria,4,12.2,1.15,0
Andorra,9,0,0.83,0
Angola,4,0.548,1.15,0
Antigua and Barbuda,3,0,0,0
Argentina,1,93.615,1.2,0
Armenia,1,140.05,0.86,0
Australia,6,10.471,1.39,0
Austria,7,9.105,1.13,1.554
Azerbaijan,0,38.267,0.85,0
Bahamas,3,38.144,3.04,0
Bahrain,8,245.654,1,0
Bangladesh,4,14.931,0.92,0
Barbados,6,3.48,0.37,0
Belarus,7,15.028,0.78,0
Belgium,9,0,1.44,2.675
Belize,5,0,0,0
Benin,9,0,0.96,0
Bhutan,6,2.592,0,0
Bolivia,1,123.704,1.09,0
Bosnia and Herzegovina,0,54.56,1.17,0
Botswana,6,0,0.86,0
Brazil,1,110.694,1.05,0
Brunei,9,0,0,0
Bulgaria,7,13.672,1.11,4.893
Burkina Faso,9,0.239,0.98,0
Burundi,7,0,0.66,0
Cambodia,9,0,0.36,0
Cameroon,6,0,1,0
Canada,6,7.763,1.11,0
Cape Verde,0,55.757,1.09,0
Central African Republic,9,0,0.68,0
Chad,5,0,0.8,0
Chile,1,109.017,0.86,0
China,4,0.059,1.7,0
Colombia,1,129.277,1.24,0
Comoros,3,6.9,0.69,0
Congo,5,0,0.71,0
Costa Rica,1,110.52,1.28,0
Cote d'Ivoire,6,7.847,0.95,0
Croatia,6,22.41,1.03,0
Cuba,5,0.088,0.94,0
Cyprus,9,1.142,1.32,0
Czechia,9,8.404,1.22,1.774
Democratic Republic of Congo,4,0.882,1.06,0
Denmark,9,0.518,1.25,0.518
Djibouti,9,8.097,0.67,0
Dominica,9,0,0,0
Dominican Republic,1,123.157,1.13,0
Ecuador,0,35.765,1.06,0
Egypt,6,5.892,0.75,0
El Salvador,0,52.111,1.11,0
Equatorial Guinea,3,0,0.26,0
Eritrea,4,0,0.29,0
Estonia,7,0,1.06,1.508
Eswatini,0,55.165,1.21,0
Ethiopia,4,3.097,1.7,0
Fiji,9,1.116,0,0
Finland,7,3.068,1.21,0
France,9,0,1.23,6.863
Gabon,5,0,1.08,0
Gambia,5,0,0,0
Georgia,9,2.507,1.55,0
Germany,6,3.688,1.14,0
Ghana,6,19.535,1.1,0
Greece,6,2.303,1.17,0
Grenada,3,0,0,0
Guatemala,0,35.444,1.13,0
Guinea,6,4.036,1.09,0
Guinea-Bissau,3,0,0.72,0
Guyana,4,11.442,1.15,0
Haiti,5,0,0.91,0
Honduras,1,105.204,1.1,0
Hungary,9,1.863,1.34,0
Iceland,9,2.93,1.27,0
India,0,29.293,1.23,0
Indonesia,6,5.992,1.06,0
International,3,0,0,0
Iran,6,25.978,0.94,0
Iraq,0,57.431,1.03,0
Ireland,9,2.025,1.21,1.823
Israel,1,117.381,1.16,0
Italy,6,3.606,1.06,0.81
Jamaica,6,5.403,1.31,0
Japan,7,3.953,1.46,0
Jordan,9,0.392,1.11,0
Kazakhstan,2,166.962,0.91,0
Kenya,4,11.214,1.27,0
Kosovo,0,61.052,1.14,0
Kuwait,0,70.248,0.89,0
Kyrgyzstan,8,388.86,0.93,0
Laos,7,0,0,0
Latvia,9,1.59,1.15,0
Lebanon,6,12.307,1.31,0
Lesotho,5,0,1.03,0
Liberia,5,0.593,0.94,0
Libya,4,10.915,1.29,0
Liechtenstein,3,0,0,0
Lithuania,7,6.245,1.38,0
Luxembourg,2,194.896,1.31,11.183
Madagascar,5,7.223,1.21,0
Malawi,6,5.071,1.09,0
Malaysia,9,0.463,1.25,0
Maldives,3,66.6,1.21,0
Mali,9,0.148,1.02,0
Malta,3,4.53,0.42,0
Marshall Islands,3,0,0,0
Mauritania,7,12.904,0.79,0
Mauritius,7,0,0.05,0
Mexico,0,41.192,1.05,0
Moldova,0,46.109,1.06,0
Monaco,3,0,0.59,0
Mongolia,6,0,0.3,0
Montenegro,2,184.695,0.75,0
Morocco,6,5.987,1.2,0
Mozambique,4,1.792,1.12,0
Myanmar,4,0.018,0.85,0
Namibia,6,17.317,1.31,0
Nepal,4,5.354,0.86,0
Netherlands,9,8.521,1.44,1.517
New Zealand,7,0.207,0.89,0
Nicaragua,7,0,0.29,0
Niger,7,0,0.72,0
Nigeria,5,2.697,0.98,0
North Macedonia,3,60.959,0.99,0
Norway,9,0,1.12,0
Oman,2,226.569,1.02,0
Pakistan,6,7.184,0.73,0
Palestine,0,67.628,1.11,0
Panama,8,279.737,1.02,0
Papua New Guinea,9,0,0,0
Paraguay,4,12.899,1.24,0
Peru,1,124.045,1.11,0
Philippines,4,19.638,1.2,0
Poland,9,9.459,1.14,0
Portugal,0,24.125,0.83,5.982
Qatar,1,118.012,0.74,0
Romania,0,39.87,1.32,14.867
Russia,0,41.772,0.95,0
Rwanda,4,3.32,1.11,0
Saint Kitts and Nevis,3,0,0,0
Saint Lucia,3,0,0,0
Saint Vincent and the Grenadines,3,54.08,0,0
Samoa,3,0,0,0
San Marino,7,0,0.11,0
Sao Tome and Principe,3,13.689,0.57,0
Saudi Arabia,0,71.925,0.86,0
Senegal,7,8.421,1.05,0
Serbia,0,58.196,1.14,0
Seychelles,7,0,0.19,0
Sierra Leone,9,1.254,0.96,0
Singapore,0,43.929,1.15,0
Slovakia,9,0.549,1.26,0
Slovenia,9,2.886,1.07,1.443
Solomon Islands,7,0,0,0
Somalia,7,0.503,0.75,0
South Africa,2,226.763,1.06,0
South Korea,9,0.507,0.75,0
South Sudan,4,0.804,0.82,0
Spain,5,0,1.56,0
Sri Lanka,9,0.981,0.76,0
Sudan,5,7.07,1.04,0
Suriname,0,47.73,1.21,0
Sweden,6,10.892,0.98,0
Switzerland,9,11.439,1.18,0
Syria,5,0,1.28,0
Taiwan,7,0,0.4,0
Tajikistan,6,4.613,0.94,0
Tanzania,7,0,0,0
Thailand,9,0.057,1.05,0
Timor,7,0,0,0
Togo,9,0.483,1.05,0
Trinidad and Tobago,6,0,1.01,0
Tunisia,7,2.2,1.3,0
Turkey,6,10.956,0.92,0
Uganda,4,0.066,0.92,0
Ukraine,9,17.012,1.03,0
United Arab Emirates,9,21.334,0.8,0
United Kingdom,6,10.694,1.04,1.93
United States,2,183.431,1.07,19.287
Uruguay,7,2.879,1.16,0
Uzbekistan,6,16.911,1.19,0
Vanuatu,5,0,0,0
Vatican,3,0,0,0
Venezuela,4,14.348,1.22,0
Vietnam,9,0.01,0.91,0
Yemen,7,0.838,0.85,0
Zambia,9,0,0.89,0
Zimbabwe,4,8.948,1.35,0
