country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,2,2.749,0.88,0
Albania,4,48.648,1.12,0
Algeria,1,11.22,0.93,0
Andorra,3,0,1.28,0
Angola,1,1.704,1.12,0
Antigua and Barbuda,9,0,0,0
Argentina,5,155.833,1.12,0
Armenia,8,53.995,0.83,0
Australia,7,16.235,0.84,0
Austria,6,15.433,1.26,2.776
Azerbaijan,1,8.285,0.54,0
Bahamas,8,111.889,1.26,0
Bahrain,5,239.189,1.01,0
Bangladesh,7,18.192,1.07,0
Barbados,0,3.48,0.7,0
Belarus,6,6.138,0.93,0
Belgium,7,33.478,1.13,6.644
Belize,2,0,1.19,0
Benin,3,5.362,0.94,0
Bhutan,1,3.888,0.68,0
Bolivia,5,145.035,0.97,0
Bosnia and Herzegovina,4,64.008,1.16,0
Botswana,0,0,0.79,0
Brazil,5,245.39,1.01,0
Brunei,3,0,0,0
Bulgaria,6,30.223,0.9,9.211
Burkina Faso,0,0.335,1,0
Burundi,9,0,0.69,0
Cambodia,0,1.017,0.34,0
Cameroon,2,6.442,1.01,0
Canada,2,8.903,1.01,0
Cape Verde,4,66.548,1.08,0
Central African Republic,0,0.828,0.6,0
Chad,2,0.061,0.91,0
Chile,4,82.234,0.94,0
China,1,0.036,0.74,0
Colombia,5,252.148,1.09,0
Comoros,9,0,0.66,0
Congo,7,14.679,0.62,0
Costa Rica,4,124.85,1.14,0
Cote d'Ivoire,6,1.858,0.89,0
Croatia,6,22.167,1.51,0
Cuba,1,4.15,1.48,0
Cyprus,0,28.542,1.23,0
Czechia,6,26.987,1.12,2.148
Democratic Republic of Congo,0,0.112,1.05,0
Denmark,0,26.933,1.33,0.345
Djibouti,0,1.012,0.53,0
Dominica,3,0,0,0
Dominican Republic,4,54.849,0.88,0
Ecuador,4,48.858,1.04,0
Egypt,2,1.642,0.66,0
El Salvador,4,61.207,1.05,0
Equatorial Guinea,9,0,0.33,0
Eritrea,1,0,0.26,0
Estonia,6,6.785,1.23,1.508
Eswatini,4,87.057,1.05,0
Ethiopia,1,5.08,1.24,0
Fiji,0,0,0,0
Finland,3,3.971,1.27,0
France,3,0.092,1.33,5.622
Gabon,2,0,1.05,0
Gambia,4,45.931,1.33,0
Georgia,0,3.509,1.41,0
Germany,0,12.317,1.24,0
Ghana,0,6.179,0.99,0
Greece,0,18.517,1.4,0
Grenada,9,0,0,0
Guatemala,4,54.645,1.03,0
Guinea,2,6.701,1.09,0
Guinea-Bissau,9,18.293,0.66,0
Guyana,4,43.226,1.3,0
Haiti,6,1.315,0.96,0
Honduras,4,53.611,1.04,0
Hungary,0,1.553,1.36,0
Iceland,0,17.582,1.14,2.93
India,4,44.176,1.12,0
Indonesia,2,6.19,1.05,0
International,9,0,0,0
Iran,7,27.919,0.97,0
Iraq,4,84.43,1.15,0
Ireland,2,6.683,1.37,1.013
Israel,5,210.617,1.01,0
Italy,0,6.814,1.27,0.81
Jamaica,2,5.403,1.43,0
Japan,6,5.416,0.94,0
Jordan,0,1.47,1.55,0
Kazakhstan,4,41.488,0.64,0
Kenya,2,9.243,0.92,0
Kosovo,4,88.474,0.95,0
Kuwait,5,156.42,1.08,0
Kyrgyzstan,4,56.712,0.66,0
Laos,3,0,0,0
Latvia,0,1.59,1.09,0
Lebanon,6,45.272,1.27,0
Lesotho,2,0,1,0
Liberia,2,1.977,0.9,0
Libya,4,54.284,1.27,0
Liechtenstein,9,0,0,0
Lithuania,6,6.612,1.26,0
Luxembourg,6,41.535,0.83,4.793
Madagascar,2,4.153,0.76,0
Malawi,2,2.091,0.93,0
Malaysia,0,0.278,1.05,0
Maldives,8,122.1,1.13,0
Mali,3,0.198,1.07,0
Malta,8,65.679,1.39,0
Marshall Islands,9,0,0,0
Mauritania,6,9.248,0.89,0
Mauritius,6,0,0.12,0
Mexico,4,51.856,0.98,0
Moldova,4,94.696,1.1,0
Monaco,8,127.408,1.4,0
Mongolia,2,0,0.22,0
Montenegro,8,82.794,0.9,0
Morocco,7,30.669,1.28,0
Mozambique,2,2.24,1.12,0
Myanmar,2,0,1.23,0
Namibia,4,50.376,1.25,0
Nepal,1,21.897,1.35,0
Netherlands,3,19.434,1.38,2.626
New Zealand,6,0,1.14,0
Nicaragua,6,32.153,0.33,0
Niger,6,0,0.73,0
Nigeria,2,2.052,0.91,0
North Macedonia,8,67.678,1,0
Norway,3,12.359,1.35,0
Oman,4,51.502,0.96,0
Pakistan,0,2.404,0.81,0
Palestine,4,71.549,1.13,0
Panama,5,247.986,0.97,0
Papua New Guinea,1,0,0.83,0
Paraguay,4,39.958,1.37,0
Peru,5,198.563,1.12,0
Philippines,7,26.464,1.15,0
Poland,3,14.559,1.11,0
Portugal,7,11.769,1.01,3.432
Qatar,5,133.284,1.15,0
Romania,4,63.157,1.05,25.211
Russia,7,33.522,0.95,0
Rwanda,1,1.467,1.24,0
Saint Kitts and Nevis,9,0,0,0
Saint Lucia,9,0,0,0
Saint Vincent and the Grenadines,9,0,0,0
Samoa,9,0,0,0
San Marino,3,0,0.17,0
Sao Tome and Principe,9,13.689,0.53,0
Saudi Arabia,4,43.689,0.87,0
Senegal,6,4.061,1.09,0
Serbia,7,34.535,0.8,0
Seychelles,6,10.169,0.18,0
Sierra Leone,6,1.88,0.96,0
Singapore,0,10.427,0.51,0
Slovakia,3,2.931,1.29,0
Slovenia,0,8.177,1.23,0.962
Solomon Islands,3,0,0,0
Somalia,6,0,0.71,0
South Africa,4,42.338,0.59,0
South Korea,3,1.053,1.5,0
South Sudan,1,0.179,0.89,0
Spain,4,77.682,1.44,0
Sri Lanka,3,0.42,1,0
Sudan,2,1.756,1.04,0
Suriname,4,119.325,1.08,0
Sweden,4,41.29,1.07,0
Switzerland,3,21.607,1.19,0
Syria,2,4.114,1.37,0
Taiwan,6,0.126,0.73,0
Tajikistan,0,4.613,1.09,0
Tanzania,6,0,0,0
