country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,5,0,0,0
Albania,8,0,0,0
Algeria,5,0,0,0
Andorra,5,0,0,0
Angola,8,0,0,0
Antigua and Barbuda,5,0,0,0
Argentina,4,0,0,0
Armenia,5,0,0,0
Australia,3,0,0,0
Austria,5,0,0,0
Azerbaijan,1,0,0,0
Bahamas,5,0,0,0
Bahrain,3,0,0,0
Bangladesh,4,0,0,0
Barbados,4,0,0,0
Belarus,5,0,0,0
Belgium,4,0,0,0
Belize,8,0,0,0
Benin,1,0,0,0
Bhutan,4,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,4,0,0,0
Botswana,4,0,0,0
Brazil,8,0,0,0
Brunei,3,0,0,0
Bulgaria,8,0,0,0
Burkina Faso,5,0,0,0
Burundi,8,0,0,0
Cambodia,5,0,0,0
Cameroon,5,0,0,0
Canada,1,0,0,0
Cape Verde,4,0,0,0
Central African Republic,5,0,0,0
Chad,5,0,0,0
Chile,5,0,0,0
China,0,1.235,0.75,0
Colombia,8,0,0,0
Comoros,5,0,0,0
Congo,5,0,0,0
Costa Rica,4,0,0,0
Cote d'Ivoire,5,0,0,0
Croatia,4,0,0,0
Cuba,4,0,0,0
Cyprus,5,0,0,0
Czechia,3,0,0,0
Democratic Republic of Congo,5,0,0,0
Denmark,5,0,0,0
Djibouti,5,0,0,0
Dominica,5,0,0,0
Dominican Republic,5,0,0,0
Ecuador,8,0,0,0
Egypt,5,0,0,0
El Salvador,3,0,0,0
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,5,0,0,0
Eswatini,8,0,0,0
Ethiopia,1,0,0,0
Fiji,3,0,0,0
Finland,4,0,0,0
France,4,0,0,0
Gabon,4,0,0,0
Gambia,8,0,0,0
Georgia,3,0,0,0
Germany,4,0,0,0
Ghana,1,0,0,0
Greece,5,0,0,0
Grenada,5,0,0,0
Guatemala,4,0,0,0
Guinea,4,0,0,0
Guinea-Bissau,5,0,0,0
Guyana,4,0,0,0
Haiti,1,0,0,0
Honduras,5,0,0,0
Hungary,5,0,0,0
Iceland,3,0,0,0
India,4,0,0,0
Indonesia,3,0,0,0
International,5,0,0,0
Iran,5,0,0,0
Iraq,5,0,0,0
Ireland,8,0,0,0
Israel,3,0,0,0
Italy,3,0,0,0
Jamaica,3,0,0,0
Japan,2,0.095,0,0
Jordan,5,0,0,0
Kazakhstan,8,0,0,0
Kenya,1,0,0,0
Kosovo,5,0,0,0
Kuwait,4,0,0,0
Kyrgyzstan,4,0,0,0
Laos,5,0,0,0
Latvia,1,0,0,0
Lebanon,1,0,0,0
Lesotho,5,0,0,0
Liberia,8,0,0,0
Libya,8,0,0,0
Liechtenstein,5,0,0,0
Lithuania,5,0,0,0
Luxembourg,5,0,0,0
Madagascar,5,0,0,0
Malawi,8,0,0,0
Malaysia,3,0,0,0
Maldives,5,0,0,0
Mali,5,0,0,0
Malta,5,0,0,0
Marshall Islands,5,0,0,0
Mauritania,8,0,0,0
Mauritius,5,0,0,0
Mexico,5,0,0,0
Moldova,8,0,0,0
Monaco,4,0,0,0
Mongolia,0,0,0,0
Montenegro,5,0,0,0
Morocco,5,0,0,0
Mozambique,8,0,0,0
Myanmar,1,0,0,0
Namibia,5,0,0,0
Nepal,3,0,0,0
Netherlands,5,0,0,0
New Zealand,3,0,0,0
Nicaragua,5,0,0,0
Niger,5,0,0,0
Nigeria,4,0,0,0
North Macedonia,5,0,0,0
Norway,4,0,0,0
Oman,3,0,0,0
Pakistan,4,0,0,0
Palestine,5,0,0,0
Panama,8,0,0,0
Papua New Guinea,4,0,0,0
Paraguay,8,0,0,0
Peru,5,0,0,0
Philippines,3,0,0,0
Poland,8,0,0,0
Portugal,4,0,0,0
Qatar,4,0,0,0
Romania,8,0,0,0
Russia,8,0,0,0
Rwanda,4,0,0,0
Saint Kitts and Nevis,5,0,0,0
Saint Lucia,5,0,0,0
Saint Vincent and the Grenadines,5,0,0,0
Samoa,5,0,0,0
San Marino,5,0,0,0
Sao Tome and Principe,5,0,0,0
Saudi Arabia,4,0,0,0
Senegal,5,0,0,0
Serbia,1,0,0,0
Seychelles,3,0,0,0
Sierra Leone,5,0,0,0
Singapore,2,0.684,0,0
Slovakia,1,0,0,0
Slovenia,5,0,0,0
Solomon Islands,8,0,0,0
Somalia,5,0,0,0
South Africa,1,0,0,0
South Korea,3,0.02,0,0
South Sudan,5,0,0,0
Spain,4,0,0,0
Sri Lanka,8,0,0,0
Sudan,8,0,0,0
Suriname,5,0,0,0
Sweden,5,0,0,0
Switzerland,5,0,0,0
Syria,1,0,0,0
Taiwan,3,0,0,0
Tajikistan,4,0,0,0
Tanzania,1,0,0,0
Thailand,5,0,0,0
Timor,4,0,0,0
Togo,5,0,0,0
Trinidad and Tobago,4,0,0,0
Tunisia,5,0,0,0
Turkey,3,0,0,0
Uganda,3,0,0,0
Ukraine,5,0,0,0
United Arab Emirates,1,0,0,0
United Kingdom,4,0,0,0
United States,8,0,0,0
Uruguay,5,0,0,0
Uzbekistan,4,0,0,0
Vanuatu,5,0,0,0
Vatican,5,0,0,0
Venezuela,5,0,0,0
Vietnam,0,0,0,0
Yemen,5,0,0,0
Zambia,5,0,0,0
Zimbabwe,8,0,0,0
