country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,9,0.694,1.4,0
Albania,1,3.127,1.05,0
Algeria,1,2.645,1.18,0
Andorra,6,103.54,0.66,0
Angola,1,0.152,0,0
Antigua and Barbuda,0,0,0,0
Argentina,2,1.969,1.25,0
Armenia,0,15.861,1.21,0
Australia,3,1.804,0.43,0
Austria,3,8.438,0.46,23.095
Azerbaijan,1,3.255,0.79,0
Bahamas,0,2.543,0,0
Bahrain,8,19.394,1.32,0
Bangladesh,2,1.858,2.06,0
Barbados,1,0,0,0
Belarus,0,54.819,1.7,0
Belgium,6,90.167,0.99,93.273
Belize,3,0,0,0
Benin,3,0,0,0
Bhutan,9,0,0,0
Bolivia,9,2.399,1.41,0
Bosnia and Herzegovina,7,16.459,1.16,0
Botswana,9,0,0,0
Brazil,3,14.001,1.56,0
Brunei,5,2.286,0.22,0
Bulgaria,3,4.605,1.24,6.332
Burkina Faso,9,0.383,0.95,0
Burundi,0,0,0,0
Cambodia,5,0,0.08,0
Cameroon,3,0.791,1.27,0
Canada,8,40.856,1.23,0
Cape Verde,9,3.597,0,0
Central African Republic,3,0,0,0
Chad,1,0.365,0,0
Chile,8,47.447,1.36,0
China,5,0.019,0.89,0
Colombia,9,3.577,1.3,0
Comoros,0,0,0,0
Congo,2,0,0.79,0
Costa Rica,3,1.178,0.8,0
Cote d'Ivoire,9,4.284,1.25,0
Croatia,2,4.385,0.64,0
Cuba,9,5.562,1.15,0
Cyprus,7,12.559,0.71,0
Czechia,3,5.323,0.75,7.003
Democratic Republic of Congo,9,0.223,1.13,0
Denmark,8,29.177,0.99,15.02
Djibouti,2,0,1.37,0
Dominica,9,0,0,0
Dominican Republic,7,19.266,1.3,0
Ecuador,8,32.421,1.17,0
Egypt,9,1.837,1.31,0
El Salvador,1,2.004,1.17,0
Equatorial Guinea,0,0,0,0
Eritrea,2,1.128,0,0
Estonia,8,39.954,0.79,7.538
Eswatini,9,5.172,0,0
Ethiopia,9,0.078,0,0
Fiji,1,0,0,0
Finland,8,34.653,1.06,12.634
France,6,0.031,1.18,87.83
Gabon,9,0,1.15,0
Gambia,9,0,0,0
Georgia,2,4.512,1.05,0
Germany,8,23.214,0.75,0
Ghana,9,6.211,1.43,0
Greece,9,1.055,0.86,0
Grenada,0,0,0,0
Guatemala,2,1.172,1.28,0
Guinea,9,3.122,1.14,0
Guinea-Bissau,0,1.524,0,0
Guyana,9,0,0,0
Haiti,1,0.088,0,0
Honduras,2,1.514,1.29,0
Hungary,3,7.35,1.11,0
Iceland,5,17.582,0.37,14.652
India,2,0.993,1.56,0
Indonesia,3,1.188,1.23,0
International,0,0,0,0
Iran,5,16.359,0.77,0
Iraq,2,0.771,0.87,0
Ireland,4,157.56,1.13,27.138
Israel,8,33.62,0.77,0
Italy,6,57.739,0.85,45.202
Jamaica,9,6.754,0.96,0
Japan,5,4.665,1.06,0
Jordan,2,0.588,0.72,0
Kazakhstan,1,3.675,1.41,0
Kenya,1,0.298,1.05,0
Kosovo,7,16.039,1.15,0
Kuwait,7,21.777,1.37,0
Kyrgyzstan,1,2.606,1.1,0
Laos,2,0,0,0
Latvia,3,15.905,0.91,0
Lebanon,9,0.586,0.97,0
Lesotho,1,0,0,0
Liberia,1,0,0,0
Libya,2,0,0,0
Liechtenstein,0,0,0,0
Lithuania,8,33.06,0.95,0
Luxembourg,6,91.058,0.66,49.523
Madagascar,2,0.108,0.58,0
Malawi,5,0,0,0
Malaysia,3,1.668,0.77,0
Maldives,0,12.95,0,0
Mali,3,2.222,1.09,0
Malta,0,9.059,0.6,2.265
Marshall Islands,0,0,0,0
Mauritania,3,0,0,0
Mauritius,9,0.786,0.36,0
Mexico,9,4.824,1.55,0
Moldova,8,28.26,1.2,0
Monaco,9,0,0,0
Mongolia,3,0,0,0
Montenegro,0,6.369,0.46,0
Morocco,2,3.278,1.33,0
Mozambique,5,0.032,0,0
Myanmar,9,0.184,0,0
Namibia,3,0,0,0
Nepal,2,0.034,0,0
Netherlands,6,66.94,0.94,61.979
New Zealand,2,2.696,0.45,0
Nicaragua,0,0,0,0
Niger,5,0.496,0.87,0
Nigeria,9,0.238,1.65,0
North Macedonia,0,25.439,1,0
Norway,7,18.261,0.73,0
Oman,7,21.736,1.3,0
Pakistan,1,3.214,1.48,0
Palestine,2,1.176,0.85,0
Panama,8,44.962,1.18,0
Papua New Guinea,9,0,0,0
Paraguay,2,0.421,1.05,0
Peru,7,28.236,1.65,0
Philippines,2,1.907,1.02,0
Poland,9,9.591,1.1,0
Portugal,6,65.021,0.91,22.36
Qatar,4,119.748,1.65,0
Romania,7,18.245,1.09,12.891
Russia,8,32.789,1.86,0
Rwanda,1,0.077,0.66,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,4,589.31,1.07,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,8,32.516,1.66,0
Senegal,3,0.478,1.41,0
Serbia,8,44.676,1.17,0
Seychelles,1,0,0,0
Sierra Leone,9,0.501,0,0
Singapore,4,161.016,2.1,0
Slovakia,3,7.326,1.03,0
Slovenia,1,6.253,0.68,12.987
Solomon Islands,5,0,0,0
Somalia,5,1.195,0.91,0
South Africa,9,4.232,1.6,0
South Korea,3,0.351,0.42,0
South Sudan,9,0,0,0
Spain,7,18.971,0.97,0
Sri Lanka,9,0.467,1.31,0
Sudan,9,0.753,0,0
Suriname,9,0,0,0
Sweden,8,52.677,1.25,0
Switzerland,8,37.668,0.67,0
Syria,9,0,0,0
Taiwan,5,0.126,0.45,0
Tajikistan,5,0,0,0
Tanzania,5,0,0.69,0
Thailand,3,0.473,0.75,0
Timor,3,0,0,0
Togo,3,0.121,0,0
Trinidad and Tobago,9,0,0.11,0
Tunisia,1,0,0.82,0
Turkey,8,44.855,1.01,0
Uganda,1,-0.022,0,0
Ukraine,7,10.152,1.46,0
United Arab Emirates,9,0,1.27,0
United Kingdom,6,69.764,1.04,47.83
United States,6,84.371,1.03,44.619
Uruguay,3,2.591,0.97,0
Uzbekistan,1,2.54,1.14,0
Vanuatu,3,0,0,0
Vatican,0,0,0,0
Venezuela,9,0.809,1.15,0
Vietnam,1,0,0.25,0
Yemen,5,0,0,0
Zambia,3,0.272,0,0
Zimbabwe,1,0.067,0,0
