country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,6,1.182,0.91,0
Albania,8,52.818,1.06,0
Algeria,5,8.939,0.89,0
Andorra,6,0,1.41,0
Angola,5,1.126,1.12,0
Antigua and Barbuda,0,0,0,0
Argentina,3,118.418,1.12,0
Armenia,1,59.395,0.88,0
Australia,5,4.078,0.64,0
Austria,7,21.207,1.2,2.554
Azerbaijan,5,16.668,1.05,0
Bahamas,1,48.316,0.99,0
Bahrain,9,171.605,1.02,0
Bangladesh,5,11.98,0.93,0
Barbados,7,10.439,0.8,0
Belarus,7,19.366,1.14,0
Belgium,8,40.381,0.99,7.507
Belize,4,45.269,1.17,0
Benin,6,0,0.94,0
Bhutan,5,0,0.74,0
Bolivia,4,61.852,0.9,0
Bosnia and Herzegovina,2,0,1.16,0
Botswana,6,0,0.78,0
Brazil,3,110.186,0.96,0
Brunei,6,0,0,0
Bulgaria,7,22.451,0.93,10.65
Burkina Faso,6,1.1,1,0
Burundi,0,0.084,0.72,0
Cambodia,6,0,0.24,0
Cameroon,2,0,1.01,0
Canada,2,6.809,1.1,0
Cape Verde,3,97.124,1.08,0
Central African Republic,2,0,0.59,0
Chad,2,0.244,0.98,0
Chile,3,102.374,0.97,0
China,5,0.028,0.59,0
Colombia,9,157.931,0.97,0
Comoros,0,0,0.65,0
Congo,2,0,0.58,0
Costa Rica,9,144.48,1.13,0
Cote d'Ivoire,6,3.677,0.94,0
Croatia,1,66.987,1.42,0
Cuba,5,5.739,1,0
Cyprus,6,4.567,0.99,0
Czechia,7,12.419,1.17,2.241
Democratic Republic of Congo,6,0.212,1.05,0
Denmark,7,13.466,1.16,0.345
Djibouti,2,0,0.38,0
Dominica,6,0,0,0
Dominican Republic,4,55.31,0.84,0
Ecuador,8,38.542,0.96,0
Egypt,2,1.007,0.91,0
El Salvador,5,31.143,1.02,0
Equatorial Guinea,0,0,0.41,0
Eritrea,5,0,0.25,0
Estonia,6,5.277,1.34,0
Eswatini,8,31.03,0.88,0
Ethiopia,5,14.248,1.22,0
Fiji,2,0,0,0
Finland,6,2.527,1.2,0
France,4,75.023,1.24,5.684
Gabon,2,0,1.04,0
Gambia,3,102.621,1.07,0
Georgia,2,4.262,1.06,0
Germany,2,7.555,1.11,0
Ghana,2,5.793,0.97,0
Greece,8,27.151,1.19,0
Grenada,0,0,0,0
Guatemala,5,18.531,1,0
Guinea,2,2.665,1.08,0
Guinea-Bissau,0,0,0.6,0
Guyana,8,38.141,1.28,0
Haiti,6,2.806,0.94,0
Honduras,4,53.309,1.05,0
Hungary,6,2.277,1.46,0
Iceland,7,17.582,0.98,0
India,4,44.498,1.09,0
Indonesia,2,7.447,1.09,0
International,0,0,0,0
Iran,8,25.157,0.93,0
Iraq,4,81.82,1.03,0
Ireland,5,12.354,1.23,1.215
Israel,3,111.489,1.03,0
Italy,8,19.996,1.56,1.141
Jamaica,4,61.8,1.63,0
Japan,6,5.867,0.82,0
Jordan,2,3.234,1.57,0
Kazakhstan,4,51.127,0.54,0
Kenya,2,4.575,0.75,0
Kosovo,4,57.43,0.89,0
Kuwait,3,133.706,0.98,0
Kyrgyzstan,5,20.539,0.65,0
Laos,6,0,0,0
Latvia,6,2.121,1.07,0
Lebanon,4,74.281,1.22,0
Lesotho,2,0,0.98,0
Liberia,2,0,0.9,0
Libya,5,0,1.21,0
Liechtenstein,0,0,0,0
Lithuania,7,15.061,1.2,0
Luxembourg,7,20.768,0.96,1.598
Madagascar,5,1.806,0.74,0
Malawi,2,1.673,0.85,0
Malaysia,2,0.309,0.98,0
Maldives,9,220.149,1.06,0
Mali,6,0.296,1.08,0
Malta,1,79.268,1.03,0
