country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,3,2.672,0.103,1.2
Albania,3,100.076,1.042,1.13
Algeria,3,6.294,0.182,1.23
Andorra,0,3714.489,38.827,1.21
Angola,3,8.002,0.061,1.09
Antigua and Barbuda,3,0,0,0.31
Argentina,1,259.139,8.961,0.96
Armenia,1,328.357,5.4,1.29
Australia,2,0.549,0,0.85
Austria,1,272.695,1.443,1.52
Azerbaijan,3,51.977,0.789,1.38
Bahamas,3,0,0,0.77
Bahrain,3,163.377,2.351,0.88
Bangladesh,3,8.719,0.091,1
Barbados,3,20.879,0,0.8
Belarus,3,93.552,0.423,1.22
Belgium,0,1094.687,7.679,1.28
Belize,3,0,0,1.15
Benin,3,0,0,0.94
Bhutan,3,0,0,0.85
Bolivia,3,8.481,1.114,0.81
Bosnia and Herzegovina,1,214.276,5.486,1.17
Botswana,3,153.086,0,0.74
Brazil,3,73.984,1.237,1
Brunei,3,0,0,0
Bulgaria,1,322.806,6.045,1.53
Burkina Faso,3,0.383,0.096,0.99
Burundi,3,0,0,0.78
Cambodia,3,0.06,0,0.84
Cameroon,3,8.401,0.038,0.9
Canada,3,108.605,0.821,1.15
Cape Verde,3,48.562,0,1.06
Central African Republic,3,0.207,0,0.58
Chad,3,0.244,0,0.97
Chile,3,80.298,3.086,0.97
China,3,0.017,0,1.16
Colombia,3,180.159,3.813,1.06
Comoros,3,0,0,0.63
Congo,3,0,0,0.58
Costa Rica,1,269.33,5.889,0.99
Cote d'Ivoire,3,0.607,0,0.95
Croatia,1,201.692,3.654,1.51
Cuba,3,2.56,0,1.12
Cyprus,3,103.893,0,1.38
Czechia,1,959.288,15.314,1.21
Democratic Republic of Congo,3,0.346,0,1.1
Denmark,3,182.314,1.036,1.21
Djibouti,3,5.061,0,1.11
Dominica,3,0,0,0
Dominican Republic,3,29.13,0.184,1.01
Ecuador,3,30.777,1.134,1.06
Egypt,3,1.632,0.117,1.12
El Salvador,3,52.419,0.617,1.12
Equatorial Guinea,3,0,0,0.49
Eritrea,3,0,0,0.4
Estonia,3,12.815,0,1.34
Eswatini,3,7.758,0,0.92
Ethiopia,3,3.166,0.096,0.79
Fiji,3,0,0,0
Finland,3,22.019,0.18,1.1
France,0,1913.563,7.905,1.29
Gabon,3,8.087,0,1.09
Gambia,3,2.069,0,0.71
Georgia,1,469.27,3.509,1.41
Germany,3,149.909,0.346,1.45
Ghana,3,2.735,0,1.14
Greece,3,68.502,0.672,1.38
Grenada,3,0,0,0
Guatemala,3,5.972,0.391,1
Guinea,3,0,0,1.09
Guinea-Bissau,3,0,0,0.39
Guyana,3,3.814,0,0.99
Haiti,3,0,0,0.86
Honduras,3,75.924,1.01,1.01
Hong Kong,3,0,0,0
Hungary,1,239.743,4.865,1.4
Iceland,3,164.103,0,0.93
India,3,26.427,0.354,0.89
Indonesia,3,11.78,0.409,0.94
International,3,0,0,0
Iran,3,70.958,4.012,1.21
Iraq,3,91.765,1.193,0.99
Ireland,1,190.166,0.608,0.96
Israel,3,102.131,3.235,0.56
Italy,1,281.285,2.332,1.56
Jamaica,3,11.82,1.351,0.9
Japan,3,3.226,0.04,1.09
Jordan,3,192.882,4.41,1.33
Kazakhstan,3,8.841,0.053,1.42
Kenya,3,5.133,0.335,1.31
Kosovo,3,0,0,1.54
Kuwait,3,159.698,0.702,1.01
Kyrgyzstan,3,64.376,0,1.18
Laos,3,0,0,0
Latvia,3,41.883,2.121,1.36
Lebanon,3,116.622,2.051,1.11
Lesotho,3,1.4,0,0.81
Liberia,3,4.548,0,1.01
Libya,3,176.095,0.873,1.05
Liechtenstein,1,970.186,0,1.6
Lithuania,1,281.013,0.735,1.55
Luxembourg,0,2472.938,9.585,1.71
Madagascar,3,0,0,0.29
Malawi,3,0.209,0,0.91
Malaysia,3,38.312,0.216,1.24
Maldives,3,49.95,0,0.95
Mali,3,0.444,0.049,1.12
Malta,3,181.184,4.53,1.02
Marshall Islands,3,0,0,0
Mauritania,3,2.796,0,1.12
Mauritius,3,3.145,0,0.83
Mexico,3,32.311,1.916,1.02
Moldova,3,76.352,3.718,1.02
Monaco,3,101.926,0,1.48
Mongolia,3,0.305,0,0.7
Montenegro,3,178.326,6.369,1.04
Morocco,3,61.337,1.951,1.1
Mozambique,3,5.599,0.064,1.07
Myanmar,3,26.209,0.496,1.06
Namibia,3,5.903,0,0.95
Nepal,3,59.753,0.515,0.94
Netherlands,1,604.907,1.517,1.14
New Zealand,3,0.207,0,0.82
Nicaragua,3,0,0,0.49
Niger,3,0,0,1.15
Nigeria,3,0.577,0.01,0.99
North Macedonia,3,117.597,7.2,1.31
Norway,3,79.871,0,1.43
Oman,3,82.638,3.133,1.04
Pakistan,3,3.499,0.027,1.19
