country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,3,1.695,1.2,0
Albania,0,110.849,1.12,0
Algeria,3,7.275,1.22,0
Andorra,2,1268.362,1.15,0
Angola,3,8.793,1.08,0
Antigua and Barbuda,3,30.635,0.32,0
Argentina,0,296.023,0.93,0
Armenia,1,809.251,1.21,0
Australia,3,0.235,0.78,0
Austria,1,624.778,1.59,29.201
Azerbaijan,0,100.797,1.38,0
Bahamas,0,94.088,0.69,0
Bahrain,0,119.888,0.88,0
Bangladesh,3,9.74,1.05,0
Barbados,3,6.96,0.8,0
Belarus,0,102.653,1.19,0
Belgium,2,1730.515,1.12,95.344
Belize,1,505.506,1.16,0
Benin,3,0,0.94,0
Bhutan,3,2.592,0.87,0
Bolivia,3,12.593,0.83,0
Bosnia and Herzegovina,1,456.594,1.17,0
Botswana,3,0,0.74,0
Brazil,0,104.827,1,0
Brunei,3,0,0,0
Bulgaria,1,416.064,1.47,23.746
Burkina Faso,3,0.287,1,0
Burundi,3,1.85,0.79,0
Cambodia,3,0,0.85,0
Cameroon,3,0,0.91,0
Canada,0,94.218,1.15,0
Cape Verde,0,163.673,1.06,0
Central African Republic,3,0.621,0.57,0
Chad,3,0.609,0.97,0
Chile,3,79.566,0.97,0
China,3,0.028,1.16,0
Colombia,0,197.1,1.06,0
Comoros,3,22.999,0.64,0
Congo,3,0,0.58,0
Costa Rica,0,254.411,0.99,0
Cote d'Ivoire,3,2.426,0.96,0
Croatia,1,675.23,1.46,0
Cuba,3,3.09,1.1,0
Cyprus,0,189.52,1.32,0
Czechia,2,1270.429,1.09,106.173
Democratic Republic of Congo,3,1.061,1.11,0
Denmark,0,205.621,1.2,2.935
Djibouti,3,1.012,0.99,0
Dominica,3,55.563,0,0
Dominican Republic,3,38.625,1.02,0
Ecuador,3,47.894,0.99,0
Egypt,3,1.632,1.12,0
El Salvador,3,0,1.12,0
Equatorial Guinea,3,0,0.48,0
Eritrea,3,0.564,0.4,0
Estonia,3,75.384,1.47,3.015
Eswatini,3,8.619,0.95,0
Ethiopia,3,4.245,0.83,0
Fiji,3,0,0,0
Finland,3,62.086,1.11,1.805
France,1,758.271,1.21,51.598
Gabon,3,4.942,1.09,0
