country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,6,8.965,1.33,0
Albania,6,5.907,1.11,0
Algeria,4,4.378,1.08,0
Andorra,7,0,0.48,0
Angola,4,0,0,0
Antigua and Barbuda,3,0,0,0
Argentina,6,7.213,1.37,0
Armenia,2,80.655,1.4,0
Australia,7,0.353,0.77,0
Austria,7,10.215,1,5.552
Azerbaijan,6,15.583,1.38,0
Bahamas,3,0,0,0
Bahrain,5,96.381,1.24,0
Bangladesh,6,5.647,1.34,0
Barbados,4,3.48,0,0
Belarus,2,100.642,1.07,0
Belgium,7,29.768,0.71,29.768
Belize,6,0,0,0
Benin,7,0,0.97,0
Bhutan,6,0,0,0
Bolivia,6,21.331,1.4,0
Bosnia and Herzegovina,4,9.449,1.16,0
Botswana,4,0,0,0
Brazil,5,62.194,1.37,0
Brunei,7,0,0.01,0
Bulgaria,7,5.325,0.91,6.476
Burkina Faso,7,0.096,0.95,0
Burundi,3,0,0,0
Cambodia,7,0,0.03,0
Cameroon,7,0,1.23,0
Canada,5,33.04,0.88,0
Cape Verde,4,3.597,1.08,0
Central African Republic,4,5.383,0.88,0
Chad,6,2.8,0.92,0
Chile,0,286.929,1.48,0
China,4,0.004,0.79,0
Colombia,6,14.209,1.3,0
Comoros,3,0,0,0
Congo,6,0,0.82,0
Costa Rica,4,1.963,1.2,0
Cote d'Ivoire,7,1.668,1.17,0
Croatia,4,0.487,0.39,0
Cuba,6,1.942,0.69,0
Cyprus,6,4.567,0.7,0
Czechia,7,4.576,1,3.175
Democratic Republic of Congo,4,1.753,1.13,0
Denmark,7,11.567,0.82,4.834
Djibouti,6,22.267,1.71,0
Dominica,4,0,0,0
Dominican Republic,6,34.2,1.09,0
Ecuador,5,73.457,0.98,0
Egypt,6,4.798,1.29,0
El Salvador,6,8.48,1.19,0
Equatorial Guinea,3,0,0.64,0
Eritrea,6,0,0,0
Estonia,7,3.015,0.85,4.523
Eswatini,6,10.343,0.9,0
Ethiopia,4,0.165,1.48,0
Fiji,4,0,0,0
Finland,7,10.468,0.78,5.414
France,4,0,0.95,32.034
Gabon,5,49.871,1.14,0
Gambia,4,0,0,0
Georgia,6,3.008,1,0
Germany,7,6.195,0.74,0
Ghana,7,3.122,1.29,0
Greece,4,0.863,0.88,0
Grenada,3,0,0,0
Guatemala,6,6.698,1.38,0
Guinea,4,14.087,1.12,0
Guinea-Bissau,1,28.455,0.83,0
Guyana,6,1.271,0.51,0
Haiti,6,4.21,1.44,0
Honduras,6,10.601,1.32,0
Hungary,4,5.797,0.85,0
Iceland,7,0,0.33,0
India,4,3.525,1.33,0
Indonesia,4,1.934,1.2,0
International,3,0,0,0
Iran,7,20.918,1.16,0
Iraq,4,1.666,1.3,0
Ireland,6,18.632,0.6,10.936
Israel,4,0.578,0.41,0
Italy,7,14.472,0.66,12.818
Jamaica,6,2.026,0.78,0
Japan,7,0.427,0.45,0
Jordan,4,1.078,1.13,0
Kazakhstan,6,8.574,1.25,0
Kenya,6,0.911,1.39,0
Kosovo,6,5.174,0.99,0
Kuwait,0,220.58,1.41,0
Kyrgyzstan,6,0.92,1.19,0
Laos,4,0,0,0
Latvia,7,14.314,0.91,0
Lebanon,6,1.612,1.21,0
Lesotho,7,0,0,0
Liberia,6,0.791,0.97,0
Libya,6,0.146,0,0
Liechtenstein,3,0,0,0
Lithuania,4,4.041,0.89,0
Luxembourg,7,11.183,0.74,20.768
Madagascar,4,1.625,1.82,0
Malawi,7,0.105,0,0
Malaysia,4,0.525,0.89,0
Maldives,2,86.95,1.13,0
Mali,7,1.432,1.07,0
Malta,1,31.707,1.47,0
Marshall Islands,3,0,0,0
Mauritania,4,2.366,0,0
Mauritius,4,0,0.08,0
Mexico,6,16.381,1.29,0
Moldova,5,46.852,1.13,0
Monaco,4,0,0,0
Mongolia,4,11.286,0,0
Montenegro,3,0,0.01,0
Morocco,6,2.411,0.82,0
Mozambique,7,0.32,1.1,0
Myanmar,4,0,0.68,0
Namibia,4,0,0,0
Nepal,6,0.824,1.78,0
Netherlands,7,11.088,0.68,19.201
New Zealand,7,0.207,0.41,0
Nicaragua,3,0,0,0
Niger,7,0.165,0.79,0
Nigeria,6,0.83,1.22,0
North Macedonia,3,10.56,1.1,0
Norway,7,3.32,0.65,0
Oman,5,79.113,1.28,0
Pakistan,4,6.121,1.24,0
Palestine,6,0.196,1.51,0
Panama,5,41.949,1.05,0
Papua New Guinea,7,0,0,0
Paraguay,6,2.664,1.02,0
Peru,5,122.711,1.27,0
Philippines,6,1.953,1.04,0
Poland,6,6.368,1.03,0
Portugal,4,22.262,0.88,11.278
Qatar,0,536.955,1.26,0
Romania,4,13.879,0.83,10.708
Russia,5,63.042,1,0
Rwanda,4,0.154,0.97,0
Saint Kitts and Nevis,3,0,0,0
Saint Lucia,3,0,0,0
Saint Vincent and the Grenadines,3,0,0,0
Samoa,3,0,0,0
San Marino,7,29.465,0.71,0
Sao Tome and Principe,3,0,0.42,0
Saudi Arabia,5,81.577,1.22,0
Senegal,4,7.107,1.11,0
Serbia,6,8.524,0.74,0
Seychelles,4,0,0,0
Sierra Leone,4,1.88,0.99,0
Singapore,5,79.483,0.88,0
Slovakia,4,2.381,0.68,0
Slovenia,7,0,0.43,2.886
Solomon Islands,7,0,0,0
Somalia,7,4.593,0.87,0
South Africa,6,14.011,1.46,0
South Korea,7,0.254,0.76,0
South Sudan,4,0,0.87,0
Spain,6,11.015,0.76,0
Sri Lanka,4,1.168,1.09,0
Sudan,6,7.412,1.29,0
Suriname,4,0,0,0
Sweden,5,35.448,1.12,0
Switzerland,7,6.702,0.56,0
Syria,6,0.057,0,0
Taiwan,3,0,0.23,0
Tajikistan,7,21.389,2.11,0
Tanzania,7,0,0.1,0
Thailand,4,0,0.68,0
Timor,4,0,0,0
Togo,4,4.228,1.03,0
Trinidad and Tobago,6,0,0.01,0
Tunisia,6,0.169,0.62,0
Turkey,4,19.09,0.85,0
Uganda,6,0.525,1.22,0
Ukraine,6,12.073,0.97,0
United Arab Emirates,5,80.482,1.16,0
United Kingdom,7,30.522,0.69,18.178
United States,5,72.555,0.94,31.051
Uruguay,7,0.288,0.96,0
Uzbekistan,6,1.554,1.08,0
Vanuatu,4,0,0,0
Vatican,3,0,0,0
Venezuela,6,1.583,2.11,0
Vietnam,4,0.041,0.35,0
Yemen,7,0.536,1.05,0
Zambia,7,1.36,0.9,0
Zimbabwe,6,0,0,0
