country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,2,0.026,0,0
Albania,3,0,0,0
Algeria,3,0.046,0,0
Andorra,6,0,0,0
Angola,3,0,0,0
Antigua and Barbuda,6,0,0,0
Argentina,5,0.089,0,0
Armenia,6,0,0,0
Australia,5,0.51,0,0
Austria,5,2.776,0,0
Azerbaijan,2,0,0,0
Bahamas,6,0,0,0
Bahrain,2,0,0,0
Bangladesh,5,0.018,0,0
Barbados,5,0,0,0
Belarus,6,0,0,0
Belgium,5,2.675,2.42,0
Belize,5,0,0,0
Benin,5,0,0,0
Bhutan,2,0,0,0
Bolivia,4,0,0,0
Bosnia and Herzegovina,5,0,0,0
Botswana,5,0,0,0
Brazil,5,0.033,0,0
Brunei,5,0,0,0
Bulgaria,2,0.576,0,0
Burkina Faso,6,0,0,0
Burundi,5,0,0,0
Cambodia,5,0.06,0,0
Cameroon,6,0.038,0,0
Canada,3,0.265,0,0
Cape Verde,5,0,0,0
Central African Republic,6,0,0,0
Chad,5,0,0,0
Chile,6,0.366,0,0
China,1,0.037,0.22,0
Colombia,5,0,0,0
Comoros,6,0,0,0
Congo,3,0,0,0
Costa Rica,5,0.785,0,0
Cote d'Ivoire,6,0,0,0
Croatia,5,0,0,0
Cuba,5,0,0,0
Cyprus,5,0,0,0
Czechia,5,1.121,0,0
Democratic Republic of Congo,3,0,0,0
Denmark,2,2.244,0,0
Djibouti,6,0,0,0
Dominica,6,0,0,0
Dominican Republic,5,0.277,0,0
Ecuador,3,0.057,0,0
Egypt,6,0.332,0,0
El Salvador,5,0,0,0
Equatorial Guinea,6,0,0,0
Eritrea,6,0,0,0
Estonia,6,0,0,0
Eswatini,5,0,0,0
Ethiopia,6,0,0,0
Fiji,5,0,0,0
Finland,5,1.444,0,0
France,4,2.712,2.52,0
Gabon,5,0,0,0
Gambia,5,0,0,0
Georgia,4,2.256,0,0
Germany,2,2.876,2.91,0
Ghana,6,0,0,0
Greece,2,2.59,0,0
Grenada,6,0,0,0
Guatemala,2,0,0,0
Guinea,5,0,0,0
Guinea-Bissau,6,0,0,0
Guyana,5,0,0,0
Haiti,3,0,0,0
Honduras,5,0,0,0
Hungary,5,0.311,0,0
Iceland,5,0,0,0
India,2,0.004,0,0
Indonesia,4,0.007,0,0
International,6,0,0,0
Iran,4,8.846,1.54,0
Iraq,4,0.149,0,0
Ireland,5,0.203,0,0
Israel,2,1.04,0,0
Italy,1,24.677,2.49,10.751
Jamaica,5,0,0,0
Japan,4,0.261,1.49,0
Jordan,5,0,0,0
Kazakhstan,3,0,0,0
Kenya,5,0,0,0
Kosovo,3,0,0,0
Kuwait,2,0.702,0,0
Kyrgyzstan,2,0,0,0
Laos,6,0,0,0
Latvia,3,0.53,0,0
Lebanon,4,1.465,0,0
Lesotho,5,0,0,0
Liberia,3,0,0,0
Libya,3,0,0,0
Liechtenstein,6,0,0,0
Lithuania,5,0,0,0
Luxembourg,5,1.598,0,0
Madagascar,6,0,0,0
Malawi,5,0,0,0
Malaysia,2,0.185,0,0
Maldives,0,7.4,0,0
Mali,6,0,0,0
Malta,6,0,0,0
Marshall Islands,6,0,0,0
Mauritania,3,0,0,0
Mauritius,6,0,0,0
Mexico,6,0.008,0,0
Moldova,5,0.248,0,0
Monaco,2,0,0,0
Mongolia,4,0,0,0
Montenegro,6,0,0,0
Morocco,3,0,0,0
Mozambique,3,0,0,0
Myanmar,6,0,0,0
Namibia,6,0,0,0
Nepal,2,0,0,0
Netherlands,0,4.494,2.6,1.751
New Zealand,5,0,0,0
Nicaragua,3,0,0,0
Niger,6,0,0,0
Nigeria,5,0,0,0
North Macedonia,6,0,0,0
Norway,5,5.349,2.6,0
Oman,5,0,0,0
Pakistan,2,0,0,0
Palestine,4,0,0,0
Panama,3,0,0,0
Papua New Guinea,5,0,0,0
Paraguay,3,0.14,0,0
Peru,5,0.152,0,0
Philippines,2,0.037,0,0
Poland,5,0.159,0,0
Portugal,5,0.981,0,0
Qatar,5,2.43,0,0
Romania,2,0.312,0,0
Russia,2,0.027,0,0
Rwanda,2,0,0,0
Saint Kitts and Nevis,6,0,0,0
Saint Lucia,6,0,0,0
Saint Vincent and the Grenadines,6,0,0,0
Samoa,6,0,0,0
San Marino,1,383.051,0,0
Sao Tome and Principe,6,0,0,0
Saudi Arabia,5,0.172,0,0
Senegal,6,0,0,0
Serbia,5,0,0,0
Seychelles,5,0,0,0
Sierra Leone,6,0,0,0
Singapore,2,2.051,0.99,0
Slovakia,5,0.366,0,0
Slovenia,5,4.329,0,0
Solomon Islands,3,0,0,0
Somalia,6,0,0,0
South Africa,5,0.034,0,0
South Korea,4,5.325,0.63,0
South Sudan,3,0,0,0
Spain,5,3.7,2.54,0
Sri Lanka,5,0,0,0
Sudan,3,0,0,0
Suriname,6,0,0,0
Sweden,0,4.555,1.55,0
Switzerland,2,7.973,2.77,0
Syria,5,0,0,0
Taiwan,2,0,0,0
Tajikistan,5,0,0,0
Tanzania,6,0,0,0
Thailand,5,0,0,0
Timor,5,0,0,0
Togo,6,0,0,0
Trinidad and Tobago,5,0,0,0
Tunisia,5,0.085,0,0
Turkey,5,0,0,0
Uganda,5,0,0,0
Ukraine,5,0,0,0
United Arab Emirates,2,0,0,0
United Kingdom,5,0.795,1.89,0
United States,2,0.35,3.41,0
Uruguay,6,0,0,0
Uzbekistan,5,0,0,0
Vanuatu,6,0,0,0
Vatican,6,0,0,0
Venezuela,5,0,0,0
Vietnam,4,0.123,0,0
Yemen,6,0,0,0
Zambia,5,0,0,0
Zimbabwe,3,0,0,0
