country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,7,4.881,1.41,0
Albania,1,2.78,0.76,0
Algeria,4,3.968,1.22,0
Andorra,3,25.885,0.52,0
Angola,4,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,1,2.301,1.25,0
Armenia,0,40.834,1.37,0
Australia,4,0.98,0.76,0
Austria,3,2.665,0.61,12.325
Azerbaijan,1,5.129,1.3,0
Bahamas,0,0,0,0
Bahrain,5,88.153,1.29,0
Bangladesh,1,4.178,1.35,0
Barbados,4,0,0,0
Belarus,5,82.969,1.24,0
Belgium,2,31.149,0.7,55.74
Belize,4,0,0,0
Benin,4,0.495,0,0
Bhutan,4,0,0,0
Bolivia,7,7.453,1.46,0
Bosnia and Herzegovina,6,21.031,1.16,0
Botswana,1,0,0,0
Brazil,2,31.963,1.44,0
Brunei,3,0,0.03,0
Bulgaria,4,4.893,1.03,5.757
Burkina Faso,1,0.478,0.95,0
Burundi,0,0,0,0
Cambodia,3,0,0.04,0
Cameroon,3,1.017,1.24,0
Canada,2,38.498,0.98,0
Cape Verde,6,17.986,1.07,0
Central African Republic,3,2.692,0,0
Chad,1,0,0.97,0
Chile,2,51.265,1.48,0
China,3,0.001,0.36,0
Colombia,1,5.994,1.35,0
Comoros,0,0,0,0
Congo,1,1.269,0.81,0
Costa Rica,4,0.589,1.01,0
Cote d'Ivoire,4,1.289,1.18,0
Croatia,1,1.218,0.59,0
Cuba,1,1.677,0.73,0
Cyprus,1,2.283,0.63,0
Czechia,3,3.548,0.73,5.136
Democratic Republic of Congo,4,0.089,1.14,0
Denmark,2,25.379,0.88,9.841
Djibouti,1,4.049,0.83,0
Dominica,4,0,0,0
Dominican Republic,6,25.904,1.17,0
Ecuador,5,132.8,0.91,0
Egypt,1,3.401,1.32,0
El Salvador,1,10.021,1.2,0
Equatorial Guinea,0,0,0.54,0
Eritrea,1,0,0,0
Estonia,4,2.262,0.61,7.538
Eswatini,1,3.448,0.78,0
Ethiopia,4,0.043,1.57,0
Fiji,1,0,0,0
Finland,3,13.175,0.9,8.844
France,2,10.081,0.95,55.75
Gabon,7,14.377,1.16,0
Gambia,4,0,0,0
Georgia,1,1.003,0.71,0
Germany,4,5.825,0.67,0
Ghana,3,17.7,1.38,0
Greece,4,0.576,0.79,0
Grenada,0,0,0,0
Guatemala,1,1.507,1.33,0
Guinea,7,9.442,1.13,0
Guinea-Bissau,5,79.268,0.87,0
Guyana,7,12.714,0,0
Haiti,1,1.052,0,0
Honduras,6,12.418,1.38,0
Hungary,3,3.83,0.75,0
Iceland,3,0,0.19,0
India,4,2.849,1.42,0
Indonesia,4,1.444,1.12,0
International,0,0,0,0
Iran,3,14.561,1.08,0
Iraq,1,1.243,1.2,0
Ireland,2,53.87,0.7,18.429
Israel,7,6.123,0.36,0
Italy,2,20.195,0.66,24.462
Jamaica,1,0.675,0.79,0
Japan,3,1.328,0.6,0
Jordan,1,0.392,1.08,0
Kazakhstan,1,6.87,1.2,0
Kenya,1,0.465,1.41,0
Kosovo,6,14.487,0.85,0
Kuwait,5,69.078,1.55,0
Kyrgyzstan,1,5.365,1.12,0
Laos,4,0,0,0
Latvia,3,9.013,0.88,0
Lebanon,4,0.44,1.17,0
Lesotho,1,0,0,0
Liberia,1,1.582,0.95,0
Libya,1,0,0,0
Liechtenstein,0,0,0,0
Lithuania,4,3.306,0.74,0
Luxembourg,2,6.39,0.59,35.145
Madagascar,3,0,1.37,0
Malawi,3,0.105,0,0
Malaysia,4,1.699,0.88,0
Maldives,0,25.9,1.31,0
Mali,4,0.839,1.07,0
Malta,0,6.794,0.87,0
Marshall Islands,0,0,0,0
Mauritania,4,0,0,0
Mauritius,4,0,0.16,0
Mexico,7,11.122,1.37,0
Moldova,6,31.483,1.05,0
Monaco,4,0,0,0
Mongolia,4,0.305,0,0
Montenegro,0,1.592,0.26,0
Morocco,1,4.064,1.04,0
Mozambique,3,0,0,0
Myanmar,1,0.11,0.48,0
Namibia,4,0,0,0
Nepal,1,0,0,0
Netherlands,2,11.614,0.64,35.892
New Zealand,4,-0.207,0.35,0
Nicaragua,0,0,0,0
Niger,3,0.207,0.84,0
Nigeria,1,1.184,1.48,0
North Macedonia,0,3.36,0.77,0
Norway,3,10.514,0.71,0
Oman,7,13.512,1.25,0
Pakistan,1,5.016,1.36,0
Palestine,1,1.764,1.54,0
Panama,6,24.799,1.04,0
Papua New Guinea,3,0,0,0
Paraguay,1,2.664,1.51,0
Peru,6,43.795,1.41,0
Philippines,1,2.391,1.08,0
Poland,7,8.27,1,0
Portugal,2,23.733,0.9,14.024
Qatar,5,222.14,1.1,0
Romania,2,18.141,0.97,12.631
Russia,5,72.505,1.41,0
Rwanda,4,0.154,0.8,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,9.013,0,0
Samoa,0,0,0,0
San Marino,3,0,0.86,0
Sao Tome and Principe,0,31.94,0,0
Saudi Arabia,6,47.251,1.31,0
Senegal,4,5.315,1.39,0
Serbia,6,13.667,0.69,0
Seychelles,3,0,0,0
Sierra Leone,1,1.504,0.99,0
Singapore,5,97.943,0.97,0
Slovakia,4,0.916,0.65,0
Slovenia,4,0,0.46,9.62
Solomon Islands,3,0,0,0
Somalia,3,2.139,0.89,0
South Africa,7,7.368,1.44,0
South Korea,3,0.059,0.39,0
South Sudan,1,0,0,0
Spain,7,11.657,0.76,0
Sri Lanka,4,1.541,1.08,0
Sudan,1,1.961,1.36,0
Suriname,4,0,0,0
Sweden,2,47.132,1.16,0
Switzerland,3,8.781,0.53,0
Syria,1,0,0,0
Taiwan,3,0.084,0.38,0
Tajikistan,3,10.694,3.31,0
Tanzania,3,0,0.25,0
Thailand,4,0.258,0.62,0
Timor,3,0,0,0
Togo,4,0.242,1.02,0
Trinidad and Tobago,1,0,0.05,0
Tunisia,1,0.423,0.64,0
Turkey,7,19.137,0.66,0
Uganda,1,0.175,0,0
Ukraine,7,9.558,1.06,0
United Arab Emirates,5,57.328,1.12,0
United Kingdom,2,49.834,0.79,28.518
United States,5,70.64,0.93,38.356
