country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,0,0,0,0.051
Albania,1,0.347,0,6.602
Algeria,0,0.046,0,0.775
Andorra,3,0,0,401.217
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0,0.044,0,1.903
Armenia,0,0,0,4.725
Australia,1,0.039,0,14.196
Austria,2,0.777,0,89.825
Azerbaijan,0,0,0,1.479
Bahamas,0,0,0,2.543
Bahrain,1,0.588,0,8.815
Bangladesh,0,0.006,0,0.036
Barbados,0,0,0,3.48
Belarus,0,0,0,0
Belgium,2,2.934,40.899,45.385
Belize,0,0,0,0
Benin,0,0,0,0.082
Bhutan,0,0,0,0
Bolivia,0,0,0,0.171
Bosnia and Herzegovina,1,0.61,0,9.144
Botswana,0,0,0,0
Brazil,0,0.056,0,1.52
Brunei,2,0,0,29.715
Bulgaria,0,0,0,2.447
Burkina Faso,0,0,0,0.718
Burundi,0,0,0,0
Cambodia,0,0,0,0.239
Cameroon,0,0,0,0.377
Canada,1,0.026,0,18.6
Cape Verde,0,1.799,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0.122
Chile,1,0,0,9.207
China,0,0.005,0,0.065
Colombia,0,0,0,1.985
Comoros,0,0,0,0
Congo,0,0,0,0
Costa Rica,0,0,0,3.73
Cote d'Ivoire,0,0,0,1.82
Croatia,1,0,0,16.32
Cuba,0,0,0,0.706
Cyprus,1,2.283,0,9.133
Czechia,1,0.187,2.428,14.754
Democratic Republic of Congo,0,0.011,0,0.1
Denmark,1,1.381,11.913,25.206
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,1,0.277,0,6.176
Ecuador,0,0.51,0,5.725
Egypt,0,0.01,0,0.352
El Salvador,0,0,0,0.308
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,1,0,5.277,12.815
Eswatini,0,0,0,0
Ethiopia,0,0,0,0.009
Fiji,0,0,0,1.116
Finland,1,0,0,16.604
