country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,3.468
Albania,2,0,0,33.359
Algeria,0,0,0,12.018
Andorra,2,0,0,38.827
Angola,0,0,0,0.487
Antigua and Barbuda,0,0,0,0
Argentina,4,0,0,80.649
Armenia,4,0,0,114.402
Australia,0,0,0,9.255
Austria,0,8.216,0.999,8.105
Azerbaijan,2,0,0,53.555
Bahamas,0,0,0,7.629
Bahrain,3,0,0,353.788
Bangladesh,0,0,0,19.206
Barbados,0,0,0,0
Belarus,0,0,0,16.403
Belgium,0,12.684,2.33,6.385
Belize,0,0,0,5.03
Benin,0,0,0,0
Bhutan,0,0,0,0
Bolivia,4,0,0,138.524
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,3,0,0,196.919
Brunei,0,0,0,0
Bulgaria,1,79.298,3.886,33.677
Burkina Faso,0,0,0,0.048
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0,0,0,9.697
Cape Verde,2,0,0,43.166
Central African Republic,0,0,0,7.247
Chad,0,0,0,0.244
Chile,4,0,0,96.044
China,0,0,0,0.076
Colombia,4,0,0,110.469
Comoros,0,0,0,4.6
Congo,0,0,0,0
Costa Rica,4,0,0,87.552
Cote d'Ivoire,0,0,0,6.255
Croatia,1,31.423,0,12.667
Cuba,0,0,0,0.353
Cyprus,0,0,0,1.142
Czechia,0,6.537,1.587,9.618
Democratic Republic of Congo,0,0,0,0.67
Denmark,0,2.935,1.036,4.144
Djibouti,0,0,0,2.024
Dominica,0,0,0,0
Dominican Republic,4,0,0,73.655
Ecuador,2,0,0,62.971
Egypt,0,0,0,9.078
El Salvador,2,0,0,50.106
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,3.015,1.508,0.754
Eswatini,2,0,0,38.788
Ethiopia,0,0,0,1.766
Fiji,0,0,0,0
Finland,0,0,0,1.083
France,1,105.816,7.124,0
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,1.003
Germany,0,0,0,3.294
Ghana,0,0,0,0
Greece,0,0,0,5.469
Grenada,0,0,0,0
Guatemala,2,0,0,63.074
Guinea,0,0,0,4.493
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,10.171
Haiti,0,0,0,0
Honduras,2,0,0,53.208
Hungary,0,13.561,0,1.139
Iceland,0,0,0,5.861
India,0,0,0,21.325
Indonesia,0,0,0,5.817
International,0,0,0,0
Iran,2,0,0,30.014
Iraq,2,0,0,50.27
Ireland,0,2.633,2.025,6.481
Israel,3,0,0,185.315
Italy,0,13.843,0.992,1.885
Jamaica,0,0,0,1.013
Japan,0,0,0,2.467
Jordan,0,0,0,1.47
Kazakhstan,4,0,0,93.68
Kenya,0,0,0,9.243
Kosovo,4,0,0,96.752
Kuwait,3,0,0,155.951
Kyrgyzstan,0,0,0,0
Laos,0,0,0,0
Latvia,0,1.59,0,0
Lebanon,0,0,0,4.688
Lesotho,0,0,0,5.135
Liberia,0,0,0,0
Libya,0,0,0,7.422
Liechtenstein,0,0,0,0
Lithuania,0,0,0,0.367
Luxembourg,3,60.705,6.39,159.751
Madagascar,0,0,0,9.498
Malawi,0,0,0,3.502
Malaysia,0,0,0,0.124
Maldives,4,0,0,72.15
Mali,0,0,0,0.543
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,15.485
Mauritius,0,0,0,0
Mexico,2,0,0,54.687
Moldova,2,0,0,66.684
Monaco,0,0,0,0
Mongolia,0,0,0,5.491
