country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,3,0,0,1.695
Albania,1,0,0,8.687
Algeria,3,0,0.182,2.121
Andorra,3,0,0,0
Angola,3,0,0,0
Antigua and Barbuda,3,0,0,0
Argentina,3,0.05,0.243,1.991
Armenia,0,0,0.675,20.923
Australia,3,0.318,0,0.863
Austria,1,0.674,2.332,8.661
Azerbaijan,1,0,0.099,4.34
Bahamas,1,0,0,12.715
Bahrain,2,2.394,0,38.787
Bangladesh,3,0.019,0.055,2.635
Barbados,3,0,0,0
Belarus,2,0.633,0.423,48.575
Belgium,2,0.939,14.668,83.954
Belize,3,0,0,0
Benin,3,0,0,0
Bhutan,3,0,0,1.296
Bolivia,3,0.01,0.086,2.913
Bosnia and Herzegovina,1,0,0.61,10.058
Botswana,3,0,0,0
Brazil,1,0,0.725,10.99
Brunei,3,0,0,0
Bulgaria,1,0,0.288,6.62
Burkina Faso,3,0,0,0.909
Burundi,3,0,0,0
Cambodia,3,0,0,0
Cameroon,3,0,0.038,0
Canada,2,0.273,4.849,46.208
Cape Verde,3,0,0,1.799
Central African Republic,3,0,0,0.414
Chad,3,0,0,0
Chile,0,0.185,0.418,17.001
China,3,0,0,0.025
Colombia,3,0.064,0.138,3.38
Comoros,3,0,0,0
Congo,3,0,0,0.906
Costa Rica,3,0.052,0,1.374
Cote d'Ivoire,3,0.01,0.152,2.616
Croatia,1,0,0.244,6.577
Cuba,1,0.164,0.177,4.414
Cyprus,1,1.513,0,13.7
Czechia,1,0.779,0.654,12.419
Democratic Republic of Congo,3,0.001,0,0.201
Denmark,0,1.688,1.036,31.076
Djibouti,2,0,0,100.202
Dominica,3,0,0,0
Dominican Republic,1,0.119,0.922,7.375
Ecuador,0,0.035,0.737,15.303
Egypt,3,0,0.137,1.534
El Salvador,3,0.158,0,1.079
Equatorial Guinea,3,0,0,2.851
Eritrea,3,0,0,0
Estonia,1,1.251,2.262,12.815
Eswatini,1,0,0,6.034
