country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,0,0,0.18,16.055
Albania,0,0,0,7.297
Algeria,3,0,0.137,3.649
Andorra,3,0,0,0
Angola,3,0,0,0.03
Antigua and Barbuda,3,0,0,0
Argentina,0,0.106,0.354,15.599
Armenia,1,0,2.362,125.539
Australia,3,1.965,0,0.431
Austria,3,0.835,0.222,3.775
Azerbaijan,0,0,0.197,16.274
Bahamas,3,0,0,0
Bahrain,2,2.882,0.588,191.586
Bangladesh,0,0.049,0.134,9.357
Barbados,3,0,0,0
Belarus,1,0,0.635,94.927
Belgium,0,1.533,2.589,11.821
Belize,3,0,0,0
Benin,3,0,0,0.165
Bhutan,3,0,0,1.296
Bolivia,4,0.122,0.514,54.142
Bosnia and Herzegovina,3,0,0.61,5.791
Botswana,3,0,0,0
Brazil,1,0,5.109,96.909
Brunei,3,0,2.286,0
Bulgaria,3,0.224,0.432,2.447
Burkina Faso,3,0,0.048,0.622
Burundi,3,0,0,0
Cambodia,3,0,0,0
Cameroon,3,0,0,0
Canada,4,0.74,3.259,23.82
Cape Verde,3,0,0,0
Central African Republic,0,0,0,6.419
Chad,3,0,0.122,0.913
Chile,2,0.701,1.831,226.405
China,3,0,0,0.002
Colombia,0,0.243,0.531,21.638
Comoros,3,0,1.15,0
Congo,0,0,0.544,15.223
Costa Rica,3,0.127,0,5.497
Cote d'Ivoire,3,0.016,0.038,2.995
Croatia,3,0.142,0,0
Cuba,3,0.12,0,0.971
Cyprus,3,3.014,0,0
Czechia,3,0.639,0,3.362
Democratic Republic of Congo,3,0.004,0,1.597
Denmark,0,2.553,0.345,9.15
Djibouti,2,0,4.049,231.781
Dominica,3,0,0,0
Dominican Republic,4,0.137,0.553,42.312
Ecuador,4,0.09,4.081,42.396
Egypt,0,0,0.186,8.892
El Salvador,0,0.39,0.463,10.33
Equatorial Guinea,3,0,0,0
Eritrea,3,0,0,0
Estonia,3,1.038,0.754,4.523
Eswatini,0,0,0,9.481
Ethiopia,3,0.038,0,0.261
Fiji,3,0.124,0,0
Finland,0,0.536,0.18,11.551
France,3,0.716,1.011,2.926
Gabon,4,0,0,36.393
Gambia,3,0,0,0
Georgia,3,0,0,0.752
Germany,3,0,0.668,3.867
Ghana,0,0.078,0,5.986
Greece,3,0.504,0,1.055
Grenada,3,0,0,0
Guatemala,0,0.061,0.279,10.661
Guinea,3,0,0,0
Guinea-Bissau,0,0,0,8.638
Guyana,3,0,0,0
Haiti,0,0,0.088,12.804
Honduras,4,0,0.606,24.13
Hungary,3,0.383,0.621,2.277
Iceland,3,1.547,0,2.93
India,3,0.084,0.138,5.285
Indonesia,3,0.026,0.201,2.508
International,3,0,0,0
Iran,4,0.232,0.667,24.764
Iraq,0,0,0.149,7.135
Ireland,0,0.696,3.24,13.771
Israel,3,0.777,0.231,4.621
Italy,0,1.113,1.935,9.659
Jamaica,3,0,0,1.689
Japan,3,0.024,0.055,0.206
Jordan,3,0,0,0.196
Kazakhstan,0,1.229,0,17.841
Kenya,3,0.057,0.056,2.287
Kosovo,3,0,0,4.657
Kuwait,2,0.641,0.702,162.04
Kyrgyzstan,0,0,0,7.97
Laos,3,0,0,0
Latvia,3,1.036,0.53,2.121
Lebanon,3,0,0,3.077
Lesotho,3,0,0,0
Liberia,3,0,0.198,0
Libya,3,0.048,0.146,3.202
Liechtenstein,3,0,0,0
Lithuania,3,2.302,0.367,2.939
Luxembourg,0,1.925,0,9.585
Madagascar,3,0,0,0.939
Malawi,3,0,0,0
Malaysia,3,0,0,0.463
Maldives,4,1.521,0,35.15
Mali,3,0,0,1.926
Malta,3,2.772,2.265,2.265
Marshall Islands,3,0,0,0
Mauritania,3,0,0.645,5.162
Mauritius,3,0,0,0
Mexico,4,0.073,3.591,26.859
Moldova,4,0,1.735,57.512
Monaco,3,0,0,0
Mongolia,3,0,0,2.135
Montenegro,3,0,0,0
Morocco,3,0.253,0,0.65
Mozambique,3,0.009,0,0.448
Myanmar,3,0.019,0,0
Namibia,3,0.006,0,0.394
Nepal,3,0.123,0,3.913
Netherlands,0,0,0.875,11.088
New Zealand,3,0.722,0.207,0
Nicaragua,3,0,0,0
Niger,3,0,0,0
