country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,1,0,0.103,2.466
Albania,0,0,1.39,58.378
Algeria,1,0,0.137,3.01
Andorra,1,0,0,0
Angola,1,0,0,3.651
Antigua and Barbuda,1,0,0,0
Argentina,4,0.336,6.35,228.428
Armenia,4,0,1.35,241.29
Australia,1,0,0,0.863
Austria,3,1.534,-0.111,99.485
Azerbaijan,0,0,0.099,22.684
Bahamas,3,0,2.543,139.861
Bahrain,4,5.167,1.175,192.174
Bangladesh,1,0.057,0.146,7.244
Barbados,1,0,0,6.96
Belarus,3,0,1.164,112.495
Belgium,2,2.621,1.381,459.636
Belize,4,0,5.03,261.556
Benin,1,0,0,0
Bhutan,1,0,0,3.888
Bolivia,1,0.045,1.371,9.509
Bosnia and Herzegovina,3,0,0.305,92.05
Botswana,1,0,0,0
Brazil,0,0,1.364,58.064
Brunei,1,0,0,0
Bulgaria,1,0.546,0.144,11.945
Burkina Faso,1,0,0,0
Burundi,1,0,0,0.589
Cambodia,1,0,0,0
Cameroon,1,0,0,0
Canada,0,1.798,0.132,43.347
Cape Verde,2,0.558,1.799,285.977
Central African Republic,1,0,0,0
Chad,1,0,0,0.791
Chile,3,2.051,2.406,92.905
China,1,0,0,0.024
Colombia,4,0.525,3.42,168.406
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,1,0.478,0,0
Cote d'Ivoire,1,0.034,0,0.986
Croatia,3,1.215,1.705,123.743
Cuba,1,0.698,0,2.649
Cyprus,0,3.842,0,22.834
Czechia,2,1.074,3.642,289.944
Democratic Republic of Congo,1,0,0,0.112
Denmark,0,4.621,0.345,58.7
Djibouti,1,0,0,0
Dominica,1,0,0,0
Dominican Republic,0,0,0.553,42.681
Ecuador,1,0.059,0.17,11.619
Egypt,1,0,0.117,1.261
El Salvador,0,0.376,0.463,37.772
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,1,1.086,0,14.323
Eswatini,1,0,0,7.758
Ethiopia,1,0.064,0.087,7.533
Fiji,1,0,0,0
Finland,0,1.771,0,26.892
France,1,0.484,0,0
Gabon,1,0,0,0
Gambia,1,0,0,1.655
Georgia,3,0,1.755,131.105
Germany,0,0,0.072,33.968
Ghana,1,0.014,0,0
Greece,0,0.879,1.247,26.864
Grenada,1,0,0,0
Guatemala,1,0.048,1.061,9.545
Guinea,1,0,0,1.98
Guinea-Bissau,1,0,0,0
Guyana,3,0,1.271,81.367
Haiti,1,0,0,1.929
Honduras,3,0,0.808,94.401
Hong Kong,1,0,0,0
Hungary,3,1.056,2.174,110.555
Iceland,4,3.092,0,193.407
India,0,0.782,0.591,48.356
Indonesia,1,0.081,0.289,16.441
International,1,0,0,0
Iran,0,0,2.988,45.504
Iraq,0,0.411,1.541,54.845
Ireland,4,1.62,0.405,164.851
Israel,4,2.671,5.315,190.167
Italy,3,1.731,0.43,90.239
Jamaica,0,0.183,0.338,53.695
Japan,1,0.04,0.016,3.463
Jordan,3,0,0.98,90.952
Kazakhstan,1,1.04,0.107,18.747
Kenya,1,0.08,0.112,7.216
Kosovo,0,0,1.035,25.352
Kuwait,3,0.636,0.702,128.32
