country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,1.259,1.03,0
Albania,2,42.046,0.94,0
Algeria,4,4.242,0.8,0
Andorra,3,931.858,1.48,0
Angola,4,3.864,1.12,0
Antigua and Barbuda,1,10.212,0,0
Argentina,6,279.34,1.06,0
Armenia,1,70.869,1.27,0
Australia,4,0.314,0.56,0
Austria,5,75.613,1.12,8.549
Azerbaijan,4,14.4,0.96,0
Bahamas,3,383.982,1.26,0
Bahrain,3,359.665,0.97,0
Bangladesh,4,10.116,0.92,0
Barbados,0,0,0.64,0
Belarus,1,26.774,1.2,0
Belgium,5,143.318,1.39,8.197
Belize,6,178.562,1.16,0
Benin,0,2.557,0.94,0
Bhutan,4,0,0.78,0
Bolivia,2,46.003,0.82,0
Bosnia and Herzegovina,5,104.852,1.16,0
Botswana,4,0,0.76,0
Brazil,4,0,0.96,0
Brunei,0,0,0,0
Bulgaria,0,23.027,1.22,4.174
Burkina Faso,0,1.052,0.99,0
Burundi,1,0.168,0.74,0
Cambodia,0,0,0.28,0
Cameroon,4,3.466,0.96,0
Canada,2,28.721,1.3,0
Cape Verde,5,134.895,1.07,0
Central African Republic,4,0,0.55,0
Chad,4,0.548,1,0
Chile,2,72.19,0.99,0
China,4,0.007,0.88,0
Colombia,5,132.284,0.96,0
Comoros,1,0,0.65,0
Congo,4,0.544,0.56,0
Costa Rica,6,268.938,1.04,0
Cote d'Ivoire,0,3.298,0.92,0
Croatia,2,49.692,0.94,0
Cuba,4,4.238,0.96,0
Cyprus,2,41.101,1.51,0
Czechia,6,215.333,1.34,12.233
Democratic Republic of Congo,0,0.156,1.07,0
Denmark,5,96.854,1.24,2.59
Djibouti,0,0,0.95,0
Dominica,0,0,0,0
Dominican Republic,2,43.142,0.9,0
Ecuador,5,127.472,1.08,0
Egypt,4,1.182,0.9,0
El Salvador,4,0,1.07,0
Equatorial Guinea,1,0,0.47,0
Eritrea,4,0,0.28,0
Estonia,2,42.969,1.27,2.262
Eswatini,2,31.03,0.85,0
Ethiopia,4,5.75,0.89,0
Fiji,4,0,0,0
Finland,0,16.785,1.36,0.722
France,0,20.008,1.29,15.244
Gabon,4,5.391,1.05,0
Gambia,4,0.828,0.65,0
Georgia,2,56.904,1.49,0
Germany,0,19.252,1.15,0
Ghana,0,2.929,1.02,0
Greece,2,34.347,1.14,0
Grenada,1,0,0,0
Guatemala,2,45.714,1,0
Guinea,4,3.579,1.08,0
Guinea-Bissau,1,0,0.47,0
Guyana,5,124.593,1.11,0
Haiti,0,1.14,0.92,0
Honduras,2,37.255,1.03,0
Hong Kong,4,0,0,0
Hungary,5,98.444,1.22,0
Iceland,6,167.033,1.88,0
India,2,62.687,0.98,0
Indonesia,4,16.324,1.1,0
International,1,0,0,0
Iran,2,42.92,1.25,0
Iraq,5,125.676,1.03,0
Ireland,2,46.782,1.26,3.443
Israel,3,823.172,1.4,0
Italy,2,27.125,1.11,4.036
Jamaica,2,42.213,1.1,0
Japan,0,1.866,0.88,0
Jordan,2,35.577,1.78,0
Kazakhstan,4,23.433,0.89,0
Kenya,4,2.418,1.05,0
Kosovo,2,32.078,0.91,0
Kuwait,5,144.243,0.92,0
Kyrgyzstan,4,13.488,1.16,0
Laos,0,0,0,0
Latvia,0,6.362,1.52,0
Lebanon,5,137.72,1.17,0
Lesotho,2,38.744,0.95,0
Liberia,4,0.198,0.96,0
Libya,5,94.742,1.11,0
Liechtenstein,1,26.221,0.91,0
Lithuania,0,26.816,1.36,0
Luxembourg,5,118.215,1.24,4.793
Madagascar,4,1.119,0.78,0
Malawi,4,0.366,0.83,0
Malaysia,4,4.542,1.58,0
Maldives,5,123.95,0.9,0
Mali,0,0.198,1.1,0
Malta,5,95.122,0.94,0
Marshall Islands,1,0,0,0
Mauritania,1,4.732,0.88,0
Mauritius,0,0,0.42,0
Mexico,2,37.12,1.03,0
Moldova,6,194.846,1.14,0
Monaco,1,50.963,1.01,0
Mongolia,0,0,0.34,0
Montenegro,3,461.738,1.22,0
Morocco,2,64.941,1.09,0
Mozambique,4,4.735,1.1,0
Myanmar,4,15.953,1.58,0
Namibia,2,22.039,0.86,0
Nepal,2,40.224,1.13,0
Netherlands,5,143.567,1.4,7.062
New Zealand,0,0.622,0.87,0
Nicaragua,1,0,0.48,0
Niger,1,0,0.91,0
Nigeria,4,0.538,0.93,0
North Macedonia,5,87.358,1.13,0
Norway,0,22.873,1.08,0
Oman,5,122.978,1.15,0
Pakistan,0,3.617,1.08,0
Palestine,5,98.6,0.79,0
Panama,5,163.624,0.98,0
Papua New Guinea,0,0,0.7,0
Paraguay,5,104.171,1.05,0
Peru,6,232.046,0.94,0
Philippines,2,25.57,0.87,0
Poland,0,25.735,1.38,0
Portugal,5,78.653,1.17,7.551
Qatar,5,89.55,1.07,0
Romania,5,91.851,1.12,25.887
Russia,2,43.376,1.14,0
Rwanda,4,3.165,0.68,0
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,0,0,0.32,0
Sao Tome and Principe,1,0,0.53,0
Saudi Arabia,4,16.114,0.85,0
Senegal,0,2.15,0.73,0
Serbia,4,11.904,0.99,0
Seychelles,0,0,0.24,0
Sierra Leone,0,1.128,0.96,0
Singapore,0,2.051,0.6,0
Slovakia,2,61.909,1.46,0
Slovenia,2,65.418,1.34,4.81
Solomon Islands,0,0,0,0
Somalia,0,0,0.7,0
South Africa,2,32.137,0.95,0
South Korea,0,2.438,0.97,0
South Sudan,0,0.357,1.04,0
Spain,6,241.451,1.17,30.713
Sri Lanka,0,0.514,0.98,0
Sudan,4,0,1.01,0
Suriname,2,34.093,0.81,0
Sweden,2,31.685,1.35,0
Switzerland,2,50.493,1.18,0
Syria,0,2.686,0.92,0
Taiwan,0,0,1.13,0
Tajikistan,0,4.508,1.05,0
Tanzania,1,0,0,0
Thailand,0,0.029,0.95,0
Timor,0,0,0,0
Togo,0,2.174,1.04,0
Trinidad and Tobago,5,78.6,0.87,0
Tunisia,5,103.142,1.47,0
Turkey,4,20.951,1.04,0
Uganda,4,3.651,1.11,0
Ukraine,5,82.271,1.12,0
United Arab Emirates,5,109.5,1.15,0
United Kingdom,5,91.138,1.57,3.359
United States,5,116.558,1.04,18.74
Uruguay,0,3.455,1.12,0
Uzbekistan,0,17.628,1,0
Vanuatu,0,0,0,0
Vatican,1,0,0,0
Venezuela,2,34.674,0.95,0
Vietnam,4,0.01,0.53,0
Yemen,0,0.034,0.63,0
Zambia,0,2.937,0.89,0
Zimbabwe,4,0.942,0.91,0
