country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,2,15.182,1.25,0
Albania,1,2.085,1.29,0
Algeria,1,4.492,1.01,0
Andorra,3,12.942,0.48,0
Angola,1,0.03,0,0
Antigua and Barbuda,0,0,0,0
Argentina,4,12.214,1.37,0
Armenia,6,152.536,1.36,0
Australia,3,0.471,0.89,0
Austria,3,3.997,0.78,3.442
Azerbaijan,2,14.695,1.28,0
Bahamas,0,0,0.06,0
Bahrain,2,19.394,1.2,0
Bangladesh,4,11.992,1.27,0
Barbados,1,0,0,0
Belarus,6,100.113,1.01,0
Belgium,2,21.571,0.72,21.485
Belize,1,0,0,0
Benin,3,0,0.97,0
Bhutan,1,3.888,0,0
Bolivia,2,34.01,1.37,0
Bosnia and Herzegovina,1,1.524,1.17,0
Botswana,3,0,0,0
Brazil,6,54.982,1.3,0
Brunei,3,0,0.01,0
Bulgaria,3,0.864,0.88,2.878
Burkina Faso,3,0.861,0.94,0
Burundi,0,0,0,0
Cambodia,3,0,0.04,0
Cameroon,3,0,1.2,0
Canada,2,26.84,0.85,0
Cape Verde,2,17.986,1.08,0
Central African Republic,2,9.938,0.98,0
Chad,1,0.731,0.85,0
Chile,5,256.065,1.36,0
China,1,0.005,1.02,0
Colombia,2,15.84,1.3,0
Comoros,0,0,0,0
Congo,1,0,0.81,0
Costa Rica,1,4.122,1.33,0
Cote d'Ivoire,3,1.782,1.19,0
Croatia,3,0,0.19,0
Cuba,4,0.53,0.9,0
Cyprus,1,2.283,0.86,0
Czechia,3,4.389,0.95,1.868
Democratic Republic of Congo,1,1.742,1.12,0
Denmark,3,4.661,0.83,3.453
Djibouti,5,200.404,1.5,0
Dominica,1,0,0,0
Dominican Republic,2,25.074,1.07,0
Ecuador,2,33.951,0.93,0
Egypt,1,6.86,1.34,0
El Salvador,4,10.484,1.17,0
Equatorial Guinea,0,59.16,0.53,0
Eritrea,4,0,0,0
Estonia,3,0.754,0.96,3.769
Eswatini,1,5.172,1.08,0
Ethiopia,1,0.635,2.14,0
Fiji,1,0,0,0
Finland,3,3.61,0.74,3.249
France,1,5.485,1.1,24.083
Gabon,6,90.308,1.12,0
Gambia,1,0,0,0
Georgia,1,0.251,0.65,0
Germany,3,3.246,0.76,0
Ghana,3,4.023,1.25,0
Greece,1,0.384,0.9,0
Grenada,0,8.887,0,0
Guatemala,4,18.755,1.35,0
Guinea,1,0,1.11,0
Guinea-Bissau,0,32.52,0.81,0
Guyana,4,2.543,0.59,0
Haiti,4,8.156,1.4,0
Honduras,2,24.13,1.3,0
Hungary,3,1.553,0.74,0
Iceland,3,0,0.66,0
India,1,4.648,1.29,0
Indonesia,1,1.751,1.11,0
International,0,0,0,0
Iran,3,24.085,1.01,0
Iraq,1,4.052,1.62,0
Ireland,2,11.949,0.55,9.721
Israel,1,2.542,1.09,0
Italy,3,4.962,0.65,8.948
Jamaica,4,1.351,0.89,0
Japan,3,0.166,0.66,0
Jordan,1,0.294,0.84,0
Kazakhstan,2,23.327,1.24,0
Kenya,4,1.339,1.45,0
Kosovo,4,3.104,1.06,0
Kuwait,6,155.717,0.97,0
Kyrgyzstan,1,4.598,1.22,0
Laos,3,0,0,0
Latvia,3,1.06,0.83,0
Lebanon,1,0.733,1.17,0
Lesotho,3,0,0,0
Liberia,1,0,1,0
Libya,4,0,0,0
Liechtenstein,0,0,0,0
Lithuania,1,4.408,0.87,0
Luxembourg,3,1.598,0.7,7.988
