country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,4,0.051,0,0
Albania,2,1.39,0,0
Algeria,4,0.137,0,0
Andorra,5,478.871,0,0
Angola,0,0,0,0
Antigua and Barbuda,6,0,0,0
Argentina,4,0.266,0,0
Armenia,6,8.774,0,0
Australia,4,2.941,2.33,0
Austria,2,34.864,2.62,0
Azerbaijan,3,0,0,0
Bahamas,6,0,0,0
Bahrain,4,8.228,1.29,0
Bangladesh,4,0.012,0,0
Barbados,4,6.96,0,0
Belarus,0,0,0,0
Belgium,3,15.963,2.41,8.628
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,0
Bolivia,2,0,0,0
Bosnia and Herzegovina,2,0.305,0,0
Botswana,4,0,0,0
Brazil,3,0.569,2.4,0
Brunei,3,4.572,0,0
Bulgaria,3,2.159,0,0
Burkina Faso,4,0,0,0
Burundi,0,0,0,0
Cambodia,3,1.555,0,0
Cameroon,6,0.226,0,0
Canada,4,1.669,2.61,0
Cape Verde,4,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,3,2.406,2.47,0
China,2,0.017,0.43,0
Colombia,3,0.354,0,0
Comoros,6,0,0,0
Congo,0,0,0,0
Costa Rica,3,1.178,0,0
Cote d'Ivoire,4,0.152,0,0
Croatia,4,1.949,0,0
Cuba,0,0.088,0,0
Cyprus,3,14.842,0,0
Czechia,2,9.151,2.34,0.374
Democratic Republic of Congo,0,0.011,0,0
Denmark,3,15.883,1.43,3.108
Djibouti,6,0,0,0
Dominica,6,0,0,0
Dominican Republic,4,0.922,0,0
Ecuador,2,1.19,0,0
Egypt,0,0.45,1.55,0
El Salvador,3,0,0,0
Equatorial Guinea,6,0,0,0
Eritrea,0,0,0,0
Estonia,3,15.077,1.41,0
Eswatini,3,0,0,0
Ethiopia,4,0,0,0
Fiji,4,0,0,0
Finland,3,7.941,1.5,0
France,2,15.81,2.25,10.709
Gabon,4,0,0,0
Gambia,0,0.414,0,0
Georgia,3,0.251,0,0
Germany,3,23.692,2.66,0
Ghana,3,0.032,0,0
Greece,3,5.373,1.32,0
Grenada,6,0,0,0
Guatemala,2,0.223,0,0
Guinea,0,0,0,0
Guinea-Bissau,6,0,0,0
Guyana,4,3.814,0,0
Haiti,0,0,0,0
Honduras,2,0.202,0,0
Hungary,3,1.139,0,0
Iceland,5,117.216,1.7,5.861
India,3,0.017,1.88,0
Indonesia,4,0.139,2.02,0
International,6,0,0,0
Iran,3,14.025,1.22,0
Iraq,2,0.746,1.26,0
Ireland,3,10.936,2.41,0
Israel,2,5.083,2.17,0
Italy,2,58.318,1.84,34.071
Jamaica,3,0.675,0,0
Japan,4,0.395,1.14,0
Jordan,4,1.666,0,0
Kazakhstan,3,1.225,0,0
Kenya,3,0,0,0
Kosovo,2,1.552,0,0
Kuwait,2,1.639,0.74,0
Kyrgyzstan,3,0,0,0
Laos,0,0,0,0
Latvia,3,7.952,0,0
Lebanon,3,1.465,1.1,0
Lesotho,0,0,0,0
Liberia,4,0,0,0
Libya,4,0,0,0
Liechtenstein,1,78.664,0,0
Lithuania,2,2.939,0,0
Luxembourg,5,100.643,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,4,3.306,2.1,0
Maldives,6,0,0,0
Mali,6,0,0,0
Malta,1,18.118,0,0
Marshall Islands,6,0,0,0
Mauritania,4,0,0,0
Mauritius,6,0,0,0
Mexico,6,0.085,0,0
Moldova,3,1.735,0,0
Monaco,2,0,0,0
Mongolia,3,1.22,0,0
Montenegro,6,3.184,0,0
Morocco,3,0.244,0,0
Mozambique,0,0,0,0
Myanmar,4,0,0,0
Namibia,3,0,0,0
Nepal,0,0,0,0
Netherlands,3,17.216,2.37,10.738
New Zealand,4,0.829,0,0
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0.005,0,0
North Macedonia,6,3.84,0,0
Norway,3,23.98,1.82,0
Oman,3,0.392,0,0
Pakistan,3,0.285,2.28,0
Palestine,2,0.196,0,0
Panama,3,3.245,0,0
Papua New Guinea,0,0,0,0
Paraguay,2,0.14,0,0
Peru,2,0.94,0,0
Philippines,2,0.411,1.73,0
Poland,3,1.612,2.32,0
Portugal,4,11.474,2.97,1.667
Qatar,3,0,0.49,0
Romania,3,1.352,1.89,0
Russia,3,0.164,0,0
Rwanda,4,0.154,0,0
Saint Kitts and Nevis,6,0,0,0
Saint Lucia,6,0,0,0
Saint Vincent and the Grenadines,6,0,0,0
Samoa,6,0,0,0
San Marino,2,0,0.96,0
Sao Tome and Principe,6,0,0,0
Saudi Arabia,2,1.522,2.02,0
Senegal,4,0.119,0,0
Serbia,3,1.47,0,0
Seychelles,4,10.169,0,0
Sierra Leone,6,0,0,0
Singapore,4,3.931,1.82,0
Slovakia,2,1.648,0,0
Slovenia,3,10.582,1.24,2.405
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,4,0,0,0
South Korea,3,1.638,0.44,0
South Sudan,4,0,0,0
Spain,2,38.627,2.17,0
Sri Lanka,3,0.747,0,0
Sudan,3,0,0,0
Suriname,3,0,0,0
Sweden,4,11.783,1.49,0
Switzerland,2,57.773,2.45,0
Syria,3,0,0,0
Taiwan,4,0.42,0,0
Tajikistan,0,0,0,0
Tanzania,4,0,0,0
Thailand,4,0.43,1.6,0
Timor,0,0,0,0
Togo,0,0,0,0
Trinidad and Tobago,3,0.715,0,0
Tunisia,4,0.338,0,0
Turkey,3,0.344,0,0
Uganda,0,0,0,0
Ukraine,2,0.16,0,0
United Arab Emirates,4,0,0,0
United Kingdom,0,11.343,2.36,0
United States,3,5.538,3.58,0
Uruguay,3,6.045,0,0
Uzbekistan,3,0.12,0,0
Vanuatu,6,0,0,0
Vatican,6,0,0,0
Venezuela,2,0.563,0,0
Vietnam,3,0.051,0,0
Yemen,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,4,0,0,0
