country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,2.903,1.2,0
Albania,2,108.069,1.12,0
Algeria,5,7.297,1.25,0
Andorra,6,1384.844,1.18,0
Angola,5,6.177,1.09,0
Antigua and Barbuda,0,0,0.31,0
Argentina,4,308.082,0.95,0
Armenia,3,756.268,1.26,0
Australia,5,0.471,0.81,0
Austria,4,376.843,1.55,24.871
Azerbaijan,2,97.444,1.39,0
Bahamas,1,119.517,0.73,0
Bahrain,1,151.036,0.88,0
Bangladesh,5,9.066,1.03,0
Barbados,0,3.48,0.8,0
Belarus,2,99.055,1.21,0
Belgium,6,1816.108,1.21,85.766
Belize,1,153.412,1.16,0
Benin,5,7.094,0.94,0
Bhutan,5,1.296,0.86,0
Bolivia,5,16.877,0.82,0
Bosnia and Herzegovina,3,483.416,1.17,0
Botswana,5,0,0.74,0
Brazil,1,134.687,1,0
Brunei,0,0,0,0
Bulgaria,3,397.211,1.52,23.315
Burkina Faso,0,0,0.99,0
Burundi,0,0.084,0.78,0
Cambodia,0,0,0.85,0
Cameroon,5,0,0.9,0
Canada,2,70.558,1.15,0
Cape Verde,1,136.694,1.06,0
Central African Republic,0,0,0.58,0
Chad,5,0.487,0.97,0
Chile,2,52.573,0.96,0
China,5,0.034,1.2,0
Colombia,1,171.315,1.06,0
Comoros,0,0,0.63,0
Congo,5,0,0.58,0
Costa Rica,4,241.651,0.99,0
Cote d'Ivoire,0,2.54,0.96,0
Croatia,3,579.256,1.52,0
Cuba,5,4.326,1.12,0
Cyprus,1,129.01,1.34,0
Czechia,6,1212.067,1.16,96.274
Democratic Republic of Congo,0,0.223,1.1,0
Denmark,1,175.581,1.2,3.108
Djibouti,5,11.134,1.05,0
Dominica,0,0,0,0
Dominican Republic,2,51.807,1.01,0
Ecuador,2,97.262,1.04,0
Egypt,5,1.495,1.12,0
El Salvador,5,0,1.12,0
Equatorial Guinea,0,0,0.49,0
Eritrea,5,0,0.4,0
Estonia,2,94.23,1.44,3.015
Eswatini,5,9.481,0.94,0
Ethiopia,5,5.236,0.85,0
Fiji,5,0,0,0
Finland,5,38.804,1.11,1.805
France,3,551.112,1.25,46.512
Gabon,5,8.986,1.09,0
Gambia,5,0,0.71,0
Georgia,3,433.924,1.29,0
Germany,1,193.378,1.44,0
Ghana,5,0,1.15,0
Greece,1,148.421,1.4,0
Grenada,0,0,0,0
Guatemala,5,41.807,1,0
Guinea,0,0,1.09,0
Guinea-Bissau,0,0,0.39,0
Guyana,5,16.528,0.99,0
Haiti,5,0.526,0.85,0
Honduras,2,58.155,1.01,0
Hong Kong,5,0,0,0
Hungary,4,237.155,1.39,0
Iceland,4,284.249,0.92,0
India,5,36.146,0.9,0
Indonesia,5,14.73,0.93,0
International,0,0,0,0
Iran,2,81.245,1.29,0
Iraq,2,100.516,0.99,0
Ireland,1,135.081,0.91,8.101
Israel,2,83.53,0.6,0
Italy,3,413.286,1.55,25.404
Jamaica,5,21.613,0.91,0
Japan,5,5.78,1.17,0
Jordan,4,302.554,1.36,0
Kazakhstan,5,22.475,1.48,0
Kenya,5,18.932,1.3,0
Kosovo,4,353.378,1.63,0
Kuwait,1,190.607,1.01,0
Kyrgyzstan,2,82.462,1.15,0
Laos,0,0,0,0
Latvia,1,133.072,1.35,0
Lebanon,4,271.045,1.11,0
Lesotho,5,0,0.8,0
Liberia,5,0,1.01,0
Libya,1,130.834,1.04,0
Liechtenstein,3,576.868,1.46,0
Lithuania,4,285.054,1.54,0
Luxembourg,6,1238.067,1.61,33.548
Madagascar,0,0,0.27,0
Malawi,5,0.366,0.9,0
Malaysia,5,24.748,1.18,0
Maldives,0,44.4,0.96,0
Mali,0,0.741,1.13,0
Malta,1,169.86,1,0
Marshall Islands,0,33.787,0,0
Mauritania,0,1.721,1.16,0
Mauritius,0,0,0.8,0
Mexico,5,43.395,1.02,0
Moldova,1,213.438,1.06,0
Monaco,3,433.187,1.5,0
Mongolia,0,0,0.74,0
Montenegro,3,479.252,1.28,0
Morocco,2,107.964,1.12,0
Mozambique,5,4.543,1.07,0
Myanmar,5,25.841,1.05,0
Namibia,5,30.304,0.95,0
Nepal,2,67.063,0.94,0
Netherlands,3,475.988,1.09,34.958
New Zealand,0,1.244,0.85,0
Nicaragua,0,0,0.5,0
Niger,0,0,1.18,0
Nigeria,5,0.713,1.03,0
North Macedonia,3,417.591,1.38,0
Norway,2,74.337,1.45,0
Oman,1,120.236,1.04,0
Pakistan,5,4.111,1.21,0
Palestine,2,82.33,1.1,0
Panama,1,191.204,1.06,0
Papua New Guinea,5,0,0.7,0
Paraguay,2,102.769,0.99,0
Peru,2,58.322,0.94,0
Philippines,5,18.58,0.92,0
Poland,3,497.27,1.49,0
Portugal,3,388.361,1.35,25.695
Qatar,2,86.774,1,0
Romania,4,277.736,1.25,44.756
Russia,2,108.857,1.1,0
Rwanda,5,3.474,1.2,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,10.892,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,1.19,0
Sao Tome and Principe,0,9.126,0.82,0
Saudi Arabia,5,11.949,0.97,0
Senegal,0,0.657,0.75,0
Serbia,1,195.162,1.91,0
Seychelles,0,0,0.17,0
Sierra Leone,0,0.501,0.94,0
Singapore,5,1.197,0.95,0
Slovakia,3,528.789,1.23,0
Slovenia,6,1256.414,1.41,49.064
Solomon Islands,5,0,0,0
Somalia,0,0,0.71,0
South Africa,5,31.412,1.01,0
South Korea,5,2.438,1.24,0
South Sudan,0,0,1.06,0
Spain,3,422.737,1.2,50.647
Sri Lanka,0,15.645,1.3,0
Sudan,0,0.41,1.31,0
Suriname,5,8.523,0.79,0
Sweden,1,210.708,1.52,0
Switzerland,6,995.538,1.63,0
Syria,5,2.971,1.06,0
Taiwan,0,0,1.19,0
Tajikistan,0,4.194,0.99,0
Tanzania,0,0,0,0
Thailand,5,0.057,1.02,0
Timor,0,0,0,0
Togo,5,1.087,1.05,0
Trinidad and Tobago,5,18.578,0.88,0
Tunisia,1,158.986,1.17,0
Turkey,5,27.33,1.14,0
Uganda,5,3.192,1.17,0
Ukraine,1,178.123,1.16,0
United Arab Emirates,1,141.551,1,0
United Kingdom,4,364.051,1.18,14.097
United States,4,237.714,1.2,27.595
Uruguay,5,18.712,1.18,0
Uzbekistan,5,7.768,0.89,0
Vanuatu,0,0,0,0
Vatican,0,0,0,0
Venezuela,5,16.739,0.88,0
Vietnam,5,0.01,1.16,0
Yemen,0,0.034,0.7,0
Zambia,5,2.285,0.9,0
Zimbabwe,5,0.336,1.1,0
