country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,8,0.154,0,1.207
Albania,6,2.085,0,48.301
Algeria,1,0.296,0,12.565
Andorra,9,0,0,0
Angola,8,0.091,0,1.552
Antigua and Barbuda,9,0,0,0
Argentina,2,2.81,0,158.134
Armenia,5,0.675,0,97.191
Australia,1,0.314,0,17.451
Austria,3,0,2.776,9.438
Azerbaijan,1,0.296,0,19.035
Bahamas,5,0,0,91.545
Bahrain,0,1.763,0,224.497
Bangladesh,1,0.2,0,16.115
Barbados,7,0,0,3.48
Belarus,1,0.317,0,13.334
Belgium,6,0.604,5.263,44.005
Belize,5,0,0,72.934
Benin,8,0,0,1.815
Bhutan,9,0,0,0
Bolivia,2,5.568,0,152.488
Bosnia and Herzegovina,5,1.829,0,85.954
Botswana,9,0,0,0
Brazil,0,6.76,0,268.875
Brunei,9,0,0,0
Bulgaria,6,1.295,5.901,43.607
Burkina Faso,9,0,0,0
Burundi,9,0,0,0
Cambodia,9,0,0,0
Cameroon,9,0,0,0
Canada,3,0.132,0,9.909
Cape Verde,5,1.799,0,104.319
Central African Republic,9,0,0,0
Chad,9,0,0,0.061
Chile,5,2.459,0,92.121
China,9,0.001,0,0.085
Colombia,0,6.073,0,210.975
Comoros,9,0,0,0
Congo,9,0,0,0
Costa Rica,2,1.963,0,113.857
Cote d'Ivoire,8,0,0,2.123
Croatia,1,0,0,14.128
Cuba,8,0,0,2.207
Cyprus,1,0,0,17.125
Czechia,4,0.467,1.401,22.691
Democratic Republic of Congo,8,0,0,0.837
Denmark,4,0,0.345,21.753
Djibouti,5,0,0,82.996
Dominica,9,0,0,0
Dominican Republic,2,0.83,0,125.831
Ecuador,6,2.211,0,51.182
Egypt,8,0.176,0,1.202
El Salvador,5,1.85,0,67.682
Equatorial Guinea,9,0,0,0
Eritrea,9,0,0,0
Estonia,1,0,0.754,16.585
Eswatini,6,3.448,0,45.683
Ethiopia,7,0.113,0,3.993
Fiji,9,0,0,0
Finland,7,0,0,5.234
France,9,0,5.515,0
Gabon,5,0,0,63.35
Gambia,6,0.828,0,52.966
Georgia,7,0,0,3.76
Germany,1,0.191,0,15.337
Ghana,6,0.257,0,40.646
Greece,1,0.096,0,11.417
Grenada,9,0,0,0
Guatemala,5,1.954,0,63.855
Guinea,3,0.076,0,6.548
Guinea-Bissau,4,0,0,25.915
Guyana,1,0,0,15.256
Haiti,7,0.438,0,2.894
Honduras,5,2.322,0,80.67
Hungary,8,0.104,0,1.139
Iceland,4,0,0,23.443
India,6,0.655,0,40.784
Indonesia,3,0.234,0,6.636
International,9,0,0,0
Iran,4,2.203,0,32.11
Iraq,5,1.914,0,70.458
Ireland,3,0,1.215,10.126
Israel,0,1.155,0,195.251
Italy,3,0.165,0.678,6.351
Jamaica,7,0,0,2.702
Japan,3,0.04,0,10.587
Jordan,9,0,0,0.686
Kazakhstan,2,0,0,152.37
Kenya,1,0.056,0,12.479
Kosovo,2,7.761,0,112.791
Kuwait,2,0.702,0,152.439
Kyrgyzstan,5,1.686,0,87.214
Laos,9,0,0,0
Latvia,7,0,0,4.241
Lebanon,6,0.44,0,52.011
Lesotho,9,0,0,0
Liberia,8,0,0,0.989
Libya,6,0.437,0,36.529
Liechtenstein,9,0,0,0
Lithuania,7,0.367,0,3.673
Luxembourg,2,0,14.378,143.775
Madagascar,1,0.144,0,11.809
Malawi,7,0.418,0,3.398
Malaysia,9,0,0,0.649
Maldives,0,0,0,273.799
Mali,9,0,0,0.148
Malta,5,0,0,81.533
Marshall Islands,9,0,0,0
Mauritania,7,0,0,5.592
Mauritius,9,0,0,0
Mexico,6,6.43,0,47.614
Moldova,5,3.223,0,101.141
Monaco,6,0,0,50.963
Mongolia,9,0,0,0
Montenegro,5,6.369,0,79.61
Morocco,6,0.488,0,34.76
Mozambique,8,0,0,1.6
Myanmar,9,0,0,0.018
Namibia,4,0,0,27.549
Nepal,1,0.069,0,13.076
Netherlands,4,0.175,2.043,27.488
New Zealand,9,0,0,0
Nicaragua,9,0,0,0
Niger,9,0,0,0
Nigeria,8,0.082,0,2.217
North Macedonia,6,2.88,0,41.759
Norway,3,0,0,8.67
